# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 43K of event 'cycles'
# Event count (approx.): 8986606922361
#
# Children      Self  Command          Shared Object     Symbol                                   
# ........  ........  ...............  ................  .........................................
#
     1.43%     0.01%  iou-wrk-68049    [kernel.vmlinux]  [k] io_read
     1.43%     0.00%  iou-wrk-68036    [kernel.vmlinux]  [k] io_wq_submit_work
     1.43%     0.01%  iou-wrk-68036    [kernel.vmlinux]  [k] io_issue_sqe
     1.43%     0.02%  iou-wrk-68040    [kernel.vmlinux]  [k] io_worker_handle_work
     1.42%     0.00%  iou-wrk-68047    [kernel.vmlinux]  [k] io_wq_submit_work
     1.42%     0.03%  iou-wrk-68068    [kernel.vmlinux]  [k] filemap_read
     1.42%     0.00%  iou-wrk-68047    [kernel.vmlinux]  [k] io_issue_sqe
     1.42%     0.01%  iou-wrk-68036    [kernel.vmlinux]  [k] io_read
     1.42%     0.02%  iou-wrk-68032    [kernel.vmlinux]  [k] io_worker_handle_work
     1.42%     0.03%  iou-wrk-68061    [kernel.vmlinux]  [k] filemap_read
     1.42%     0.00%  iou-wrk-68047    [kernel.vmlinux]  [k] io_read
     1.42%     0.01%  iou-wrk-68050    [kernel.vmlinux]  [k] io_worker_handle_work
     1.42%     0.00%  iou-wrk-68063    [kernel.vmlinux]  [k] io_wq_submit_work
     1.42%     0.02%  iou-wrk-68057    [kernel.vmlinux]  [k] io_worker_handle_work
     1.41%     0.01%  iou-wrk-68060    [kernel.vmlinux]  [k] io_worker_handle_work
     1.41%     0.01%  iou-wrk-68048    [kernel.vmlinux]  [k] io_worker_handle_work
     1.41%     0.00%  iou-wrk-68063    [kernel.vmlinux]  [k] io_read
     1.41%     0.00%  iou-wrk-68063    [kernel.vmlinux]  [k] io_issue_sqe
     1.41%     0.00%  iou-wrk-68065    [kernel.vmlinux]  [k] io_wq_submit_work
     1.41%     0.00%  iou-wrk-68038    [kernel.vmlinux]  [k] io_wq_submit_work
     1.41%     0.02%  iou-wrk-68052    [kernel.vmlinux]  [k] filemap_read
     1.41%     0.00%  iou-wrk-68065    [kernel.vmlinux]  [k] io_read
     1.41%     0.00%  iou-wrk-68065    [kernel.vmlinux]  [k] io_issue_sqe
     1.41%     0.05%  iou-wrk-68066    [kernel.vmlinux]  [k] filemap_read
     1.41%     0.01%  iou-wrk-68038    [kernel.vmlinux]  [k] io_issue_sqe
     1.41%     0.04%  iou-wrk-68055    [kernel.vmlinux]  [k] filemap_read
     1.40%     0.00%  iou-wrk-68038    [kernel.vmlinux]  [k] io_read
     1.40%     0.01%  iou-wrk-68064    [kernel.vmlinux]  [k] io_worker_handle_work
     1.40%     0.01%  iou-wrk-68054    [kernel.vmlinux]  [k] io_worker_handle_work
     1.40%     0.02%  iou-wrk-68034    [kernel.vmlinux]  [k] filemap_read
     1.40%     0.00%  iou-wrk-68035    [kernel.vmlinux]  [k] io_wq_submit_work
     1.40%     0.00%  iou-wrk-68035    [kernel.vmlinux]  [k] io_read
     1.40%     0.00%  iou-wrk-68035    [kernel.vmlinux]  [k] io_issue_sqe
     1.39%     0.05%  iou-wrk-68049    [kernel.vmlinux]  [k] filemap_read
     1.39%     0.02%  iou-wrk-68046    [kernel.vmlinux]  [k] io_worker_handle_work
     1.39%     0.03%  iou-wrk-68058    [kernel.vmlinux]  [k] filemap_read
     1.38%     0.01%  iou-wrk-68069    [kernel.vmlinux]  [k] io_worker_handle_work
     1.38%     0.02%  iou-wrk-68047    [kernel.vmlinux]  [k] filemap_read
     1.38%     0.02%  iou-wrk-68063    [kernel.vmlinux]  [k] filemap_read
     1.37%     0.00%  iou-wrk-68070    [kernel.vmlinux]  [k] io_wq_submit_work
     1.37%     0.00%  iou-wrk-68031    [kernel.vmlinux]  [k] io_wq_submit_work
     1.37%     0.01%  iou-wrk-68070    [kernel.vmlinux]  [k] io_issue_sqe
     1.37%     0.03%  iou-wrk-68065    [kernel.vmlinux]  [k] filemap_read
     1.37%     0.01%  iou-wrk-68031    [kernel.vmlinux]  [k] io_issue_sqe
     1.37%     0.00%  iou-wrk-68044    [kernel.vmlinux]  [k] filemap_get_pages
     1.37%     0.02%  iou-wrk-68033    [kernel.vmlinux]  [k] io_worker_handle_work
     1.37%     0.01%  iou-wrk-68067    [kernel.vmlinux]  [k] io_worker_handle_work
     1.36%     0.00%  iou-wrk-68043    [kernel.vmlinux]  [k] io_wq_submit_work
     1.36%     0.04%  iou-wrk-68036    [kernel.vmlinux]  [k] filemap_read
     1.36%     0.01%  iou-wrk-68041    [kernel.vmlinux]  [k] io_issue_sqe
     1.36%     0.00%  iou-wrk-68041    [kernel.vmlinux]  [k] io_wq_submit_work
     1.36%     0.01%  iou-wrk-68056    [kernel.vmlinux]  [k] io_worker_handle_work
     1.36%     0.01%  iou-wrk-68070    [kernel.vmlinux]  [k] io_read
     1.36%     0.00%  iou-wrk-68043    [kernel.vmlinux]  [k] io_issue_sqe
