# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 40K of event 'cycles'
# Event count (approx.): 7834943067802
#
# Children      Self  Command          Shared Object     Symbol                                 
# ........  ........  ...............  ................  .......................................
#
     1.23%     0.00%  kswapd0          [kernel.vmlinux]  [k] lru_gen_shrink_lruvec
     1.23%     0.00%  kswapd0          [kernel.vmlinux]  [k] shrink_lruvec
     1.22%     0.01%  iou-wrk-3099     [kernel.vmlinux]  [k] io_worker_handle_work
     1.22%     0.03%  fio              [kernel.vmlinux]  [k] raw_spin_rq_lock_nested.constprop.0
     1.21%     0.01%  iou-wrk-3082     [kernel.vmlinux]  [k] io_worker_handle_work
     1.19%     0.02%  iou-wrk-3079     [kernel.vmlinux]  [k] io_worker_handle_work
     1.17%     0.01%  iou-wrk-3076     [kernel.vmlinux]  [k] io_worker_handle_work
     1.16%     0.02%  iou-wrk-3067     [kernel.vmlinux]  [k] io_worker_handle_work
     1.15%     0.01%  iou-wrk-3073     [kernel.vmlinux]  [k] io_worker_handle_work
     1.15%     0.03%  iou-wrk-3069     [kernel.vmlinux]  [k] io_worker_handle_work
     1.14%     0.01%  iou-wrk-3065     [kernel.vmlinux]  [k] io_worker_handle_work
     1.13%     0.02%  iou-wrk-3075     [kernel.vmlinux]  [k] io_worker_handle_work
     1.13%     0.02%  iou-wrk-3094     [kernel.vmlinux]  [k] io_worker_handle_work
     1.13%     0.02%  iou-wrk-3100     [kernel.vmlinux]  [k] io_worker_handle_work
     1.13%     0.02%  iou-wrk-3064     [kernel.vmlinux]  [k] io_worker_handle_work
     1.12%     0.03%  iou-wrk-3072     [kernel.vmlinux]  [k] io_worker_handle_work
     1.11%     0.01%  iou-wrk-3089     [kernel.vmlinux]  [k] io_worker_handle_work
     1.11%     0.01%  iou-wrk-3083     [kernel.vmlinux]  [k] io_worker_handle_work
     1.11%     0.01%  iou-wrk-3063     [kernel.vmlinux]  [k] io_worker_handle_work
     1.10%     0.01%  iou-wrk-3087     [kernel.vmlinux]  [k] io_worker_handle_work
     1.09%     0.01%  iou-wrk-3068     [kernel.vmlinux]  [k] io_worker_handle_work
     1.08%     0.02%  iou-wrk-3096     [kernel.vmlinux]  [k] io_worker_handle_work
     1.08%     0.01%  iou-wrk-3079     [kernel.vmlinux]  [k] io_issue_sqe
     1.08%     0.00%  iou-wrk-3079     [kernel.vmlinux]  [k] io_wq_submit_work
     1.07%     0.02%  iou-wrk-3084     [kernel.vmlinux]  [k] io_worker_handle_work
     1.07%     0.01%  iou-wrk-3079     [kernel.vmlinux]  [k] io_read
     1.06%     1.06%  swapper          [kernel.vmlinux]  [k] intel_idle
     1.06%     0.03%  iou-wrk-3095     [kernel.vmlinux]  [k] io_worker_handle_work
     1.06%     0.01%  iou-wrk-3093     [kernel.vmlinux]  [k] io_worker_handle_work
     1.06%     0.03%  iou-wrk-3078     [kernel.vmlinux]  [k] io_worker_handle_work
     1.05%     0.02%  iou-wrk-3092     [kernel.vmlinux]  [k] io_worker_handle_work
     1.05%     0.02%  iou-wrk-3090     [kernel.vmlinux]  [k] io_worker_handle_work
     1.05%     0.03%  iou-wrk-3066     [kernel.vmlinux]  [k] io_worker_handle_work
     1.05%     0.00%  iou-wrk-3082     [kernel.vmlinux]  [k] io_wq_submit_work
     1.05%     0.00%  iou-wrk-3099     [kernel.vmlinux]  [k] io_wq_submit_work
     1.05%     0.02%  iou-wrk-3077     [kernel.vmlinux]  [k] io_worker_handle_work
     1.05%     0.01%  iou-wrk-3074     [kernel.vmlinux]  [k] io_worker_handle_work
     1.05%     0.00%  iou-wrk-3076     [kernel.vmlinux]  [k] io_issue_sqe
     1.05%     0.00%  iou-wrk-3076     [kernel.vmlinux]  [k] io_wq_submit_work
     1.05%     0.01%  iou-wrk-3082     [kernel.vmlinux]  [k] io_issue_sqe
     1.04%     0.00%  iou-wrk-3076     [kernel.vmlinux]  [k] io_read
     1.04%     0.01%  iou-wrk-3099     [kernel.vmlinux]  [k] io_issue_sqe
     1.04%     0.07%  kswapd0          [kernel.vmlinux]  [k] shrink_page_list
     1.04%     0.00%  iou-wrk-3082     [kernel.vmlinux]  [k] io_read
     1.03%     0.02%  iou-wrk-3062     [kernel.vmlinux]  [k] io_worker_handle_work
     1.03%     0.00%  iou-wrk-3099     [kernel.vmlinux]  [k] io_read
     1.02%     0.00%  iou-wrk-3069     [kernel.vmlinux]  [k] io_wq_submit_work
     1.02%     0.01%  iou-wrk-3067     [kernel.vmlinux]  [k] io_issue_sqe
     1.02%     0.00%  iou-wrk-3067     [kernel.vmlinux]  [k] io_wq_submit_work
     1.02%     0.01%  iou-wrk-3069     [kernel.vmlinux]  [k] io_issue_sqe
     1.02%     0.02%  iou-wrk-3091     [kernel.vmlinux]  [k] io_worker_handle_work
     1.02%     0.06%  fio              [kernel.vmlinux]  [k] ttwu_do_wakeup
     1.01%     0.03%  iou-wrk-3080     [kernel.vmlinux]  [k] io_worker_handle_work
     1.01%     0.00%  iou-wrk-3067     [kernel.vmlinux]  [k] io_read
     1.01%     0.01%  iou-wrk-3073     [kernel.vmlinux]  [k] io_issue_sqe
     1.01%     0.00%  iou-wrk-3073     [kernel.vmlinux]  [k] io_wq_submit_work
     1.01%     0.00%  iou-wrk-3069     [kernel.vmlinux]  [k] io_read
     1.01%     0.00%  iou-wrk-3065     [kernel.vmlinux]  [k] io_issue_sqe
     1.01%     0.00%  iou-wrk-3065     [kernel.vmlinux]  [k] io_wq_submit_work
     1.01%     0.00%  iou-wrk-3100     [kernel.vmlinux]  [k] io_wq_submit_work
