# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 12K of event 'cycles'
# Event count (approx.): 2697294022688
#
# Children      Self  Command          Shared Object               Symbol                                 
# ........  ........  ...............  ..........................  .......................................
#
     1.21%     0.00%  iou-wrk-3260     [kernel.vmlinux]            [k] io_wq_submit_work
     1.21%     0.01%  iou-wrk-3266     [kernel.vmlinux]            [k] io_read
     1.21%     0.00%  iou-wrk-3266     [kernel.vmlinux]            [k] io_issue_sqe
     1.21%     0.00%  iou-wrk-3266     [kernel.vmlinux]            [k] io_wq_submit_work
     1.21%     0.00%  iou-wrk-3255     [kernel.vmlinux]            [k] io_worker_handle_work
     1.21%     0.01%  iou-wrk-3263     [kernel.vmlinux]            [k] io_worker_handle_work
     1.20%     0.01%  iou-wrk-3268     [kernel.vmlinux]            [k] io_issue_sqe
     1.20%     0.00%  iou-wrk-3268     [kernel.vmlinux]            [k] io_wq_submit_work
     1.20%     0.00%  iou-wrk-3268     [kernel.vmlinux]            [k] io_read
     1.20%     0.03%  iou-wrk-3232     [kernel.vmlinux]            [k] filemap_read
     1.20%     0.01%  iou-wrk-3260     [kernel.vmlinux]            [k] io_read
     1.18%     0.00%  iou-wrk-3233     [kernel.vmlinux]            [k] io_issue_sqe
     1.18%     0.00%  iou-wrk-3233     [kernel.vmlinux]            [k] io_read
     1.18%     0.00%  iou-wrk-3233     [kernel.vmlinux]            [k] io_wq_submit_work
     1.18%     0.01%  iou-wrk-3255     [kernel.vmlinux]            [k] io_read
     1.18%     0.00%  iou-wrk-3255     [kernel.vmlinux]            [k] io_issue_sqe
     1.18%     0.00%  iou-wrk-3255     [kernel.vmlinux]            [k] io_wq_submit_work
     1.18%     0.04%  iou-wrk-3258     [kernel.vmlinux]            [k] io_read
     1.18%     0.00%  iou-wrk-3258     [kernel.vmlinux]            [k] io_issue_sqe
     1.18%     0.00%  iou-wrk-3258     [kernel.vmlinux]            [k] io_wq_submit_work
     1.17%     0.00%  fio              [kernel.vmlinux]            [k] raw_spin_rq_lock_nested.constprop.0
     1.17%     0.06%  iou-wrk-3266     [kernel.vmlinux]            [k] filemap_read
     1.16%     0.03%  iou-wrk-3245     [kernel.vmlinux]            [k] io_worker_handle_work
     1.16%     0.01%  iou-wrk-3265     [kernel.vmlinux]            [k] io_issue_sqe
     1.16%     0.00%  iou-wrk-3265     [kernel.vmlinux]            [k] io_wq_submit_work
     1.16%     0.00%  iou-wrk-3247     [kernel.vmlinux]            [k] io_worker_handle_work
     1.16%     0.01%  iou-wrk-3256     [kernel.vmlinux]            [k] io_issue_sqe
     1.16%     0.00%  iou-wrk-3256     [kernel.vmlinux]            [k] io_wq_submit_work
     1.16%     0.01%  iou-wrk-3239     [kernel.vmlinux]            [k] io_worker_handle_work
     1.16%     0.00%  iou-wrk-3265     [kernel.vmlinux]            [k] io_read
     1.15%     0.00%  iou-wrk-3256     [kernel.vmlinux]            [k] io_read
     1.15%     0.01%  iou-wrk-3255     [kernel.vmlinux]            [k] filemap_read
     1.15%     0.04%  iou-wrk-3268     [kernel.vmlinux]            [k] filemap_read
     1.15%     0.01%  iou-wrk-3240     [kernel.vmlinux]            [k] io_worker_handle_work
     1.15%     0.05%  iou-wrk-3260     [kernel.vmlinux]            [k] filemap_read
     1.13%     0.01%  iou-wrk-3237     [kernel.vmlinux]            [k] io_read
     1.13%     0.00%  iou-wrk-3237     [kernel.vmlinux]            [k] io_issue_sqe
     1.13%     0.00%  iou-wrk-3237     [kernel.vmlinux]            [k] io_wq_submit_work
     1.13%     0.01%  iou-wrk-3263     [kernel.vmlinux]            [k] io_issue_sqe
     1.13%     0.00%  iou-wrk-3263     [kernel.vmlinux]            [k] io_wq_submit_work
     1.12%     0.01%  iou-wrk-3263     [kernel.vmlinux]            [k] io_read
     1.12%     0.01%  iou-wrk-3231     [kernel.vmlinux]            [k] io_issue_sqe
     1.12%     0.00%  iou-wrk-3231     [kernel.vmlinux]            [k] io_wq_submit_work
     1.12%     0.01%  iou-wrk-3267     [kernel.vmlinux]            [k] io_worker_handle_work
     1.11%     0.01%  iou-wrk-3231     [kernel.vmlinux]            [k] io_read
     1.11%     0.00%  iou-wrk-3257     [kernel.vmlinux]            [k] io_worker_handle_work
     1.11%     0.03%  iou-wrk-3233     [kernel.vmlinux]            [k] filemap_read
     1.11%     0.01%  iou-wrk-3247     [kernel.vmlinux]            [k] io_issue_sqe
     1.11%     0.00%  iou-wrk-3247     [kernel.vmlinux]            [k] io_wq_submit_work
     1.11%     0.03%  iou-wrk-3265     [kernel.vmlinux]            [k] filemap_read
     1.10%     0.02%  iou-wrk-3247     [kernel.vmlinux]            [k] io_read
     1.09%     0.03%  iou-wrk-3256     [kernel.vmlinux]            [k] filemap_read
     1.09%     0.01%  iou-wrk-3240     [kernel.vmlinux]            [k] io_read
