# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 42K of event 'cycles'
# Event count (approx.): 8473004961970
#
# Children      Self  Command          Shared Object               Symbol                                  
# ........  ........  ...............  ..........................  ........................................
#
     1.29%     0.00%  iou-wrk-3463     [kernel.vmlinux]            [k] io_issue_sqe
     1.29%     0.00%  iou-wrk-3463     [kernel.vmlinux]            [k] io_wq_submit_work
     1.29%     0.02%  iou-wrk-3457     [kernel.vmlinux]            [k] io_worker_handle_work
     1.29%     0.02%  iou-wrk-3449     [kernel.vmlinux]            [k] io_worker_handle_work
     1.29%     0.01%  iou-wrk-3463     [kernel.vmlinux]            [k] io_read
     1.29%     0.02%  iou-wrk-3477     [kernel.vmlinux]            [k] io_worker_handle_work
     1.27%     0.01%  iou-wrk-3473     [kernel.vmlinux]            [k] io_worker_handle_work
     1.27%     0.03%  iou-wrk-3479     [kernel.vmlinux]            [k] filemap_read
     1.27%     0.05%  iou-wrk-3445     [kernel.vmlinux]            [k] filemap_read
     1.26%     0.02%  iou-wrk-3466     [kernel.vmlinux]            [k] io_worker_handle_work
     1.26%     0.01%  iou-wrk-3470     [kernel.vmlinux]            [k] io_worker_handle_work
     1.26%     0.07%  kswapd0          [kernel.vmlinux]            [k] shrink_page_list
     1.25%     0.00%  iou-wrk-3460     [kernel.vmlinux]            [k] io_wq_submit_work
     1.25%     0.02%  iou-wrk-3458     [kernel.vmlinux]            [k] io_worker_handle_work
     1.25%     0.01%  iou-wrk-3471     [kernel.vmlinux]            [k] io_worker_handle_work
     1.25%     0.01%  iou-wrk-3460     [kernel.vmlinux]            [k] io_issue_sqe
     1.25%     0.09%  iou-wrk-3453     [kernel.vmlinux]            [k] io_wq_submit_work
     1.24%     0.01%  iou-wrk-3468     [kernel.vmlinux]            [k] io_worker_handle_work
     1.24%     0.00%  iou-wrk-3460     [kernel.vmlinux]            [k] io_read
     1.24%     0.01%  iou-wrk-3472     [kernel.vmlinux]            [k] io_worker_handle_work
     1.24%     0.01%  iou-wrk-3442     [kernel.vmlinux]            [k] io_worker_handle_work
     1.24%     0.01%  iou-wrk-3447     [kernel.vmlinux]            [k] io_worker_handle_work
     1.23%     0.04%  iou-wrk-3440     [kernel.vmlinux]            [k] filemap_read
     1.23%     0.02%  iou-wrk-3443     [kernel.vmlinux]            [k] io_worker_handle_work
     1.22%     0.00%  iou-wrk-3465     [kernel.vmlinux]            [k] io_read
     1.22%     0.00%  iou-wrk-3465     [kernel.vmlinux]            [k] io_issue_sqe
     1.22%     0.00%  iou-wrk-3465     [kernel.vmlinux]            [k] io_wq_submit_work
     1.21%     0.03%  iou-wrk-3463     [kernel.vmlinux]            [k] filemap_read
     1.21%     0.05%  iou-wrk-3460     [kernel.vmlinux]            [k] filemap_read
     1.21%     0.00%  iou-wrk-3446     [kernel.vmlinux]            [k] io_issue_sqe
     1.21%     0.00%  iou-wrk-3446     [kernel.vmlinux]            [k] io_wq_submit_work
     1.21%     0.00%  iou-wrk-3457     [kernel.vmlinux]            [k] io_wq_submit_work
     1.21%     0.01%  iou-wrk-3446     [kernel.vmlinux]            [k] io_read
     1.21%     0.01%  iou-wrk-3457     [kernel.vmlinux]            [k] io_read
     1.21%     0.00%  iou-wrk-3457     [kernel.vmlinux]            [k] io_issue_sqe
     1.21%     0.01%  iou-wrk-3459     [kernel.vmlinux]            [k] io_read
     1.21%     0.00%  iou-wrk-3459     [kernel.vmlinux]            [k] io_issue_sqe
     1.21%     0.00%  iou-wrk-3459     [kernel.vmlinux]            [k] io_wq_submit_work
     1.21%     1.18%  fio              [kernel.vmlinux]            [k] available_idle_cpu
     1.21%     0.01%  iou-wrk-3462     [kernel.vmlinux]            [k] io_worker_handle_work
     1.20%     0.00%  iou-wrk-3481     [kernel.vmlinux]            [k] io_issue_sqe
     1.20%     0.00%  iou-wrk-3481     [kernel.vmlinux]            [k] io_wq_submit_work
     1.20%     0.00%  iou-wrk-3481     [kernel.vmlinux]            [k] io_read
     1.20%     0.01%  iou-wrk-3448     [kernel.vmlinux]            [k] io_worker_handle_work
     1.20%     0.00%  iou-wrk-3478     [kernel.vmlinux]            [k] io_wq_submit_work
     1.20%     0.00%  iou-wrk-3450     [kernel.vmlinux]            [k] io_wq_submit_work
     1.20%     0.00%  iou-wrk-3478     [kernel.vmlinux]            [k] io_issue_sqe
     1.20%     0.02%  iou-wrk-3456     [kernel.vmlinux]            [k] io_worker_handle_work
     1.20%     0.01%  iou-wrk-3450     [kernel.vmlinux]            [k] io_issue_sqe
     1.19%     0.00%  iou-wrk-3477     [kernel.vmlinux]            [k] io_wq_submit_work
     1.19%     0.01%  iou-wrk-3478     [kernel.vmlinux]            [k] io_read
     1.19%     0.00%  iou-wrk-3477     [kernel.vmlinux]            [k] io_issue_sqe
     1.19%     0.03%  iou-wrk-3475     [kernel.vmlinux]            [k] io_worker_handle_work
     1.19%     0.00%  iou-wrk-3477     [kernel.vmlinux]            [k] io_read
     1.19%     0.00%  iou-wrk-3450     [kernel.vmlinux]            [k] io_read
     1.18%     1.18%  swapper          [kernel.vmlinux]            [k] intel_idle
     1.18%     0.01%  iou-wrk-3473     [kernel.vmlinux]            [k] io_issue_sqe
     1.18%     0.00%  iou-wrk-3473     [kernel.vmlinux]            [k] io_wq_submit_work
     1.18%     0.00%  iou-wrk-3449     [kernel.vmlinux]            [k] io_wq_submit_work
     1.18%     0.01%  iou-wrk-3470     [kernel.vmlinux]            [k] io_issue_sqe
     1.18%     0.00%  iou-wrk-3470     [kernel.vmlinux]            [k] io_wq_submit_work
     1.17%     0.01%  iou-wrk-3473     [kernel.vmlinux]            [k] io_read
     1.17%     0.01%  iou-wrk-3449     [kernel.vmlinux]            [k] io_issue_sqe
     1.17%     0.00%  iou-wrk-3470     [kernel.vmlinux]            [k] io_read
     1.17%     0.05%  iou-wrk-3481     [kernel.vmlinux]            [k] filemap_read
     1.17%     0.00%  iou-wrk-3449     [kernel.vmlinux]            [k] io_read
     1.16%     0.00%  iou-wrk-3469     [kernel.vmlinux]            [k] io_wq_submit_work
     1.16%     0.04%  iou-wrk-3459     [kernel.vmlinux]            [k] filemap_read
     1.16%     0.01%  iou-wrk-3469     [kernel.vmlinux]            [k] io_issue_sqe
     1.16%     0.04%  iou-wrk-3457     [kernel.vmlinux]            [k] filemap_read
     1.16%     0.01%  iou-wrk-3466     [kernel.vmlinux]            [k] io_wq_submit_work
     1.16%     0.01%  iou-wrk-3441     [kernel.vmlinux]            [k] io_worker_handle_work
     1.16%     0.01%  iou-wrk-3452     [kernel.vmlinux]            [k] io_worker_handle_work
     1.16%     0.04%  iou-wrk-3465     [kernel.vmlinux]            [k] filemap_read
     1.15%     0.01%  iou-wrk-3453     [kernel.vmlinux]            [k] io_issue_sqe
     1.15%     0.02%  iou-wrk-3444     [kernel.vmlinux]            [k] io_worker_handle_work
     1.15%     0.00%  iou-wrk-3472     [kernel.vmlinux]            [k] io_wq_submit_work
     1.15%     0.00%  iou-wrk-3458     [kernel.vmlinux]            [k] io_issue_sqe
     1.15%     0.00%  iou-wrk-3458     [kernel.vmlinux]            [k] io_wq_submit_work
     1.15%     0.00%  iou-wrk-3466     [kernel.vmlinux]            [k] io_issue_sqe
     1.15%     0.01%  iou-wrk-3472     [kernel.vmlinux]            [k] io_issue_sqe
     1.15%     0.01%  iou-wrk-3458     [kernel.vmlinux]            [k] io_read
     1.15%     0.01%  iou-wrk-3469     [kernel.vmlinux]            [k] io_read
     1.15%     0.00%  iou-wrk-3466     [kernel.vmlinux]            [k] io_read
     1.14%     0.01%  iou-wrk-3447     [kernel.vmlinux]            [k] io_read
     1.14%     0.00%  iou-wrk-3447     [kernel.vmlinux]            [k] io_issue_sqe
     1.14%     0.00%  iou-wrk-3447     [kernel.vmlinux]            [k] io_wq_submit_work
     1.14%     0.00%  iou-wrk-3468     [kernel.vmlinux]            [k] io_issue_sqe
     1.14%     0.00%  iou-wrk-3468     [kernel.vmlinux]            [k] io_wq_submit_work
     1.14%     0.00%  iou-wrk-3453     [kernel.vmlinux]            [k] io_read
     1.14%     0.04%  iou-wrk-3477     [kernel.vmlinux]            [k] filemap_read
     1.14%     0.01%  iou-wrk-3472     [kernel.vmlinux]            [k] io_read
     1.14%     0.00%  iou-wrk-3468     [kernel.vmlinux]            [k] io_read
     1.14%     0.11%  iou-wrk-3446     [kernel.vmlinux]            [k] filemap_read
     1.14%     0.00%  iou-wrk-3471     [kernel.vmlinux]            [k] io_wq_submit_work
     1.14%     0.02%  iou-wrk-3482     [kernel.vmlinux]            [k] io_worker_handle_work
     1.14%     0.01%  iou-wrk-3471     [kernel.vmlinux]            [k] io_issue_sqe
     1.13%     0.02%  iou-wrk-3454     [kernel.vmlinux]            [k] io_worker_handle_work
