# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 895K of event 'cycles'
# Event count (approx.): 94767389225873
#
# Children      Self  Command          Shared Object               Symbol                                        
# ........  ........  ...............  ..........................  ..............................................
#
     1.17%     0.00%  iou-wrk-2977     [kernel.vmlinux]            [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3004     [kernel.vmlinux]            [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3004     [kernel.vmlinux]            [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3011     [kernel.vmlinux]            [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3011     [kernel.vmlinux]            [k] ret_from_fork
     1.17%     0.00%  iou-wrk-2982     [kernel.vmlinux]            [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-2982     [kernel.vmlinux]            [k] ret_from_fork
     1.17%     0.00%  iou-wrk-2999     [kernel.vmlinux]            [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-2999     [kernel.vmlinux]            [k] ret_from_fork
     1.17%     0.00%  iou-wrk-2937     [kernel.vmlinux]            [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-2937     [kernel.vmlinux]            [k] ret_from_fork
     1.17%     0.00%  iou-wrk-2979     [kernel.vmlinux]            [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-2979     [kernel.vmlinux]            [k] ret_from_fork
     1.17%     0.01%  iou-wrk-2941     [kernel.vmlinux]            [k] io_worker_handle_work
     1.17%     0.00%  iou-wrk-2955     [kernel.vmlinux]            [k] io_wq_submit_work
     1.17%     0.00%  iou-wrk-2978     [kernel.vmlinux]            [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-2978     [kernel.vmlinux]            [k] ret_from_fork
     1.17%     0.00%  iou-wrk-2944     [kernel.vmlinux]            [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-2944     [kernel.vmlinux]            [k] ret_from_fork
     1.17%     0.00%  iou-wrk-2952     [kernel.vmlinux]            [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-2952     [kernel.vmlinux]            [k] ret_from_fork
     1.17%     0.00%  iou-wrk-2940     [kernel.vmlinux]            [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-2940     [kernel.vmlinux]            [k] ret_from_fork
     1.17%     0.00%  iou-wrk-2961     [kernel.vmlinux]            [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-2961     [kernel.vmlinux]            [k] ret_from_fork
     1.17%     0.00%  iou-wrk-2936     [kernel.vmlinux]            [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-2936     [kernel.vmlinux]            [k] ret_from_fork
     1.17%     0.00%  iou-wrk-2960     [kernel.vmlinux]            [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-2960     [kernel.vmlinux]            [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3000     [kernel.vmlinux]            [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3000     [kernel.vmlinux]            [k] ret_from_fork
     1.17%     0.00%  iou-wrk-2969     [kernel.vmlinux]            [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-2969     [kernel.vmlinux]            [k] ret_from_fork
     1.17%     0.00%  iou-wrk-2955     [kernel.vmlinux]            [k] io_issue_sqe
     1.17%     0.00%  iou-wrk-2942     [kernel.vmlinux]            [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-2942     [kernel.vmlinux]            [k] ret_from_fork
     1.17%     0.01%  iou-wrk-2967     [kernel.vmlinux]            [k] io_worker_handle_work
     1.17%     0.00%  iou-wrk-2998     [kernel.vmlinux]            [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-2998     [kernel.vmlinux]            [k] ret_from_fork
     1.17%     0.00%  iou-wrk-2957     [kernel.vmlinux]            [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-2957     [kernel.vmlinux]            [k] ret_from_fork
     1.17%     0.00%  iou-wrk-2955     [kernel.vmlinux]            [k] io_read
     1.17%     0.00%  iou-wrk-2973     [kernel.vmlinux]            [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-2973     [kernel.vmlinux]            [k] ret_from_fork
     1.17%     0.00%  iou-wrk-2956     [kernel.vmlinux]            [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-2956     [kernel.vmlinux]            [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3001     [kernel.vmlinux]            [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3001     [kernel.vmlinux]            [k] ret_from_fork
     1.17%     0.01%  iou-wrk-2943     [kernel.vmlinux]            [k] io_worker_handle_work
     1.17%     0.00%  iou-wrk-2950     [kernel.vmlinux]            [k] io_worker_handle_work
     1.17%     0.00%  iou-wrk-2993     [kernel.vmlinux]            [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-2993     [kernel.vmlinux]            [k] ret_from_fork
     1.17%     0.00%  iou-wrk-2983     [kernel.vmlinux]            [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-2983     [kernel.vmlinux]            [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3005     [kernel.vmlinux]            [k] io_worker_handle_work
     1.17%     0.01%  iou-wrk-2972     [kernel.vmlinux]            [k] io_worker_handle_work
     1.16%     0.00%  iou-wrk-2933     [kernel.vmlinux]            [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-2933     [kernel.vmlinux]            [k] ret_from_fork
     1.16%     0.01%  iou-wrk-3002     [kernel.vmlinux]            [k] io_worker_handle_work
     1.16%     0.01%  iou-wrk-2985     [kernel.vmlinux]            [k] filemap_read
     1.16%     0.01%  iou-wrk-2980     [kernel.vmlinux]            [k] io_worker_handle_work
     1.16%     0.00%  iou-wrk-2981     [kernel.vmlinux]            [k] io_wq_submit_work
     1.16%     0.01%  iou-wrk-2975     [kernel.vmlinux]            [k] io_worker_handle_work
     1.16%     0.00%  iou-wrk-2946     [kernel.vmlinux]            [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-2946     [kernel.vmlinux]            [k] ret_from_fork
     1.16%     0.00%  iou-wrk-2964     [kernel.vmlinux]            [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-2964     [kernel.vmlinux]            [k] ret_from_fork
     1.16%     0.00%  iou-wrk-2932     [kernel.vmlinux]            [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-2932     [kernel.vmlinux]            [k] ret_from_fork
     1.16%     0.00%  iou-wrk-2981     [kernel.vmlinux]            [k] io_issue_sqe
     1.16%     0.01%  iou-wrk-2937     [kernel.vmlinux]            [k] io_worker_handle_work
     1.16%     0.00%  iou-wrk-2988     [kernel.vmlinux]            [k] io_worker_handle_work
     1.16%     0.00%  iou-wrk-2995     [kernel.vmlinux]            [k] io_worker_handle_work
     1.16%     0.00%  iou-wrk-2954     [kernel.vmlinux]            [k] io_wq_submit_work
     1.16%     0.00%  iou-wrk-2981     [kernel.vmlinux]            [k] io_read
     1.16%     0.00%  iou-wrk-2970     [kernel.vmlinux]            [k] io_worker_handle_work
     1.16%     0.00%  iou-wrk-2947     [kernel.vmlinux]            [k] io_worker_handle_work
     1.16%     0.00%  iou-wrk-2951     [kernel.vmlinux]            [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-2951     [kernel.vmlinux]            [k] ret_from_fork
     1.16%     0.01%  iou-wrk-2978     [kernel.vmlinux]            [k] io_worker_handle_work
     1.16%     0.01%  iou-wrk-2945     [kernel.vmlinux]            [k] io_worker_handle_work
     1.16%     0.00%  iou-wrk-2987     [kernel.vmlinux]            [k] io_worker_handle_work
     1.16%     0.01%  iou-wrk-2994     [kernel.vmlinux]            [k] io_worker_handle_work
     1.16%     0.00%  iou-wrk-2954     [kernel.vmlinux]            [k] io_issue_sqe
     1.16%     0.00%  iou-wrk-2939     [kernel.vmlinux]            [k] io_worker_handle_work
     1.16%     0.01%  iou-wrk-3008     [kernel.vmlinux]            [k] io_worker_handle_work
     1.16%     0.01%  iou-wrk-2990     [kernel.vmlinux]            [k] io_worker_handle_work
     1.16%     0.00%  iou-wrk-2971     [kernel.vmlinux]            [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-2971     [kernel.vmlinux]            [k] ret_from_fork
     1.16%     0.00%  iou-wrk-2954     [kernel.vmlinux]            [k] io_read
     1.16%     0.01%  iou-wrk-2996     [kernel.vmlinux]            [k] io_worker_handle_work
     1.16%     0.00%  iou-wrk-2966     [kernel.vmlinux]            [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-2966     [kernel.vmlinux]            [k] ret_from_fork
     1.16%     0.00%  iou-wrk-2965     [kernel.vmlinux]            [k] io_worker_handle_work
     1.16%     0.00%  iou-wrk-3007     [kernel.vmlinux]            [k] io_wq_submit_work
     1.16%     0.00%  iou-wrk-3009     [kernel.vmlinux]            [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3009     [kernel.vmlinux]            [k] ret_from_fork
     1.16%     0.00%  iou-wrk-2935     [kernel.vmlinux]            [k] io_wq_submit_work
     1.16%     0.01%  iou-wrk-2958     [kernel.vmlinux]            [k] io_worker_handle_work
     1.16%     0.00%  iou-wrk-2935     [kernel.vmlinux]            [k] io_issue_sqe
     1.16%     0.00%  iou-wrk-2984     [kernel.vmlinux]            [k] io_wq_submit_work
     1.16%     0.01%  iou-wrk-3004     [kernel.vmlinux]            [k] io_worker_handle_work
     1.16%     0.00%  iou-wrk-2991     [kernel.vmlinux]            [k] io_wq_submit_work
     1.16%     0.00%  iou-wrk-2949     [kernel.vmlinux]            [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-2949     [kernel.vmlinux]            [k] ret_from_fork
     1.16%     0.01%  iou-wrk-2961     [kernel.vmlinux]            [k] io_worker_handle_work
     1.16%     0.00%  iou-wrk-2962     [kernel.vmlinux]            [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-2962     [kernel.vmlinux]            [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3007     [kernel.vmlinux]            [k] io_issue_sqe
     1.16%     0.06%  fio              [kernel.vmlinux]            [k] io_issue_sqe
     1.15%     0.00%  iou-wrk-2935     [kernel.vmlinux]            [k] io_read
     1.15%     0.00%  iou-wrk-2984     [kernel.vmlinux]            [k] io_issue_sqe
     1.15%     0.00%  iou-wrk-2991     [kernel.vmlinux]            [k] io_issue_sqe
     1.15%     0.00%  iou-wrk-3007     [kernel.vmlinux]            [k] io_read
     1.15%     0.01%  iou-wrk-2998     [kernel.vmlinux]            [k] io_worker_handle_work
     1.15%     0.00%  iou-wrk-2976     [kernel.vmlinux]            [k] io_wqe_worker
     1.15%     0.00%  iou-wrk-2976     [kernel.vmlinux]            [k] ret_from_fork
     1.15%     0.00%  iou-wrk-2984     [kernel.vmlinux]            [k] io_read
     1.15%     0.00%  iou-wrk-3006     [kernel.vmlinux]            [k] io_wqe_worker
     1.15%     0.00%  iou-wrk-3006     [kernel.vmlinux]            [k] ret_from_fork
     1.15%     0.00%  iou-wrk-2977     [kernel.vmlinux]            [k] io_worker_handle_work
     1.15%     0.00%  iou-wrk-2991     [kernel.vmlinux]            [k] io_read
     1.15%     0.00%  iou-wrk-2959     [kernel.vmlinux]            [k] io_wqe_worker
     1.15%     0.00%  iou-wrk-2959     [kernel.vmlinux]            [k] ret_from_fork
     1.15%     0.00%  iou-wrk-2974     [kernel.vmlinux]            [k] io_wqe_worker
     1.15%     0.00%  iou-wrk-2974     [kernel.vmlinux]            [k] ret_from_fork
     1.15%     0.01%  iou-wrk-3011     [kernel.vmlinux]            [k] io_worker_handle_work
     1.15%     0.00%  iou-wrk-2938     [kernel.vmlinux]            [k] io_wqe_worker
     1.15%     0.00%  iou-wrk-2938     [kernel.vmlinux]            [k] ret_from_fork
     1.15%     0.00%  iou-wrk-2948     [kernel.vmlinux]            [k] io_wq_submit_work
     1.15%     0.00%  iou-wrk-2986     [kernel.vmlinux]            [k] io_wqe_worker
     1.15%     0.00%  iou-wrk-2986     [kernel.vmlinux]            [k] ret_from_fork
     1.15%     0.00%  iou-wrk-2963     [kernel.vmlinux]            [k] io_wq_submit_work
     1.15%     0.00%  iou-wrk-2948     [kernel.vmlinux]            [k] io_issue_sqe
     1.15%     0.00%  iou-wrk-3003     [kernel.vmlinux]            [k] io_worker_handle_work
     1.15%     0.01%  iou-wrk-2942     [kernel.vmlinux]            [k] io_worker_handle_work
     1.15%     0.00%  iou-wrk-2993     [kernel.vmlinux]            [k] io_worker_handle_work
     1.15%     0.00%  iou-wrk-2953     [kernel.vmlinux]            [k] io_wqe_worker
     1.15%     0.00%  iou-wrk-2953     [kernel.vmlinux]            [k] ret_from_fork
     1.15%     0.01%  iou-wrk-2952     [kernel.vmlinux]            [k] io_worker_handle_work
     1.15%     0.00%  iou-wrk-2956     [kernel.vmlinux]            [k] io_worker_handle_work
     1.15%     0.00%  iou-wrk-2963     [kernel.vmlinux]            [k] io_issue_sqe
     1.15%     0.00%  iou-wrk-2948     [kernel.vmlinux]            [k] io_read
     1.15%     0.01%  iou-wrk-3001     [kernel.vmlinux]            [k] io_worker_handle_work
     1.15%     0.00%  iou-wrk-2968     [kernel.vmlinux]            [k] io_wqe_worker
     1.15%     0.00%  iou-wrk-2968     [kernel.vmlinux]            [k] ret_from_fork
     1.15%     0.00%  iou-wrk-2992     [kernel.vmlinux]            [k] io_worker_handle_work
     1.15%     0.05%  fio              [kernel.vmlinux]            [k] io_wqe_activate_free_worker
     1.15%     0.01%  iou-wrk-2934     [kernel.vmlinux]            [k] filemap_read
     1.15%     0.00%  iou-wrk-2936     [kernel.vmlinux]            [k] io_worker_handle_work
     1.15%     0.00%  iou-wrk-2963     [kernel.vmlinux]            [k] io_read
     1.15%     0.00%  iou-wrk-2969     [kernel.vmlinux]            [k] io_worker_handle_work
     1.15%     0.00%  iou-wrk-2950     [kernel.vmlinux]            [k] io_wq_submit_work
     1.15%     0.00%  iou-wrk-2960     [kernel.vmlinux]            [k] io_worker_handle_work
     1.15%     0.00%  iou-wrk-3010     [kernel.vmlinux]            [k] io_wqe_worker
     1.15%     0.00%  iou-wrk-3010     [kernel.vmlinux]            [k] ret_from_fork
     1.15%     0.01%  iou-wrk-2964     [kernel.vmlinux]            [k] io_worker_handle_work
     1.15%     0.01%  iou-wrk-2957     [kernel.vmlinux]            [k] io_worker_handle_work
     1.15%     0.00%  iou-wrk-2982     [kernel.vmlinux]            [k] io_worker_handle_work
     1.15%     0.00%  iou-wrk-2989     [kernel.vmlinux]            [k] io_wqe_worker
     1.15%     0.00%  iou-wrk-2989     [kernel.vmlinux]            [k] ret_from_fork
     1.15%     0.01%  iou-wrk-3000     [kernel.vmlinux]            [k] io_worker_handle_work
     1.15%     0.00%  iou-wrk-2943     [kernel.vmlinux]            [k] io_wq_submit_work
     1.14%     0.00%  iou-wrk-2933     [kernel.vmlinux]            [k] io_worker_handle_work
     1.14%     0.00%  iou-wrk-2950     [kernel.vmlinux]            [k] io_issue_sqe
     1.14%     0.00%  iou-wrk-2943     [kernel.vmlinux]            [k] io_issue_sqe
