# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 11K of event 'cycles'
# Event count (approx.): 2293805531353
#
# Children      Self  Command          Shared Object     Symbol                                 
# ........  ........  ...............  ................  .......................................
#
     0.93%     0.02%  iou-wrk-2968     [kernel.vmlinux]  [k] io_worker_handle_work
     0.92%     0.05%  iou-wrk-2977     [kernel.vmlinux]  [k] filemap_read
     0.92%     0.00%  iou-wrk-2966     [kernel.vmlinux]  [k] io_worker_handle_work
     0.92%     0.06%  iou-wrk-2959     [kernel.vmlinux]  [k] filemap_read
     0.91%     0.00%  iou-wrk-2975     [kernel.vmlinux]  [k] io_read
     0.91%     0.03%  iou-wrk-2951     [kernel.vmlinux]  [k] io_worker_handle_work
     0.91%     0.03%  iou-wrk-2978     [kernel.vmlinux]  [k] io_worker_handle_work
     0.91%     0.01%  iou-wrk-2976     [kernel.vmlinux]  [k] io_issue_sqe
     0.90%     0.02%  iou-wrk-2944     [kernel.vmlinux]  [k] io_wq_submit_work
     0.90%     0.01%  iou-wrk-2976     [kernel.vmlinux]  [k] io_read
     0.90%     0.02%  iou-wrk-2965     [kernel.vmlinux]  [k] filemap_read
     0.90%     0.01%  kswapd0          [kernel.vmlinux]  [k] __delete_from_page_cache
     0.90%     0.02%  iou-wrk-2972     [kernel.vmlinux]  [k] io_worker_handle_work
     0.89%     0.02%  iou-wrk-2946     [kernel.vmlinux]  [k] io_worker_handle_work
     0.89%     0.00%  iou-wrk-2971     [kernel.vmlinux]  [k] io_worker_handle_work
     0.89%     0.02%  iou-wrk-2944     [kernel.vmlinux]  [k] io_read
     0.89%     0.00%  iou-wrk-2944     [kernel.vmlinux]  [k] io_issue_sqe
     0.88%     0.01%  iou-wrk-2945     [kernel.vmlinux]  [k] io_wq_submit_work
     0.88%     0.02%  iou-wrk-2979     [kernel.vmlinux]  [k] io_read
     0.88%     0.00%  iou-wrk-2979     [kernel.vmlinux]  [k] io_issue_sqe
     0.88%     0.00%  iou-wrk-2979     [kernel.vmlinux]  [k] io_wq_submit_work
     0.88%     0.05%  iou-wrk-2954     [kernel.vmlinux]  [k] filemap_read
     0.87%     0.01%  iou-wrk-2945     [kernel.vmlinux]  [k] io_issue_sqe
     0.87%     0.03%  iou-wrk-2974     [kernel.vmlinux]  [k] filemap_read
     0.87%     0.02%  iou-wrk-2945     [kernel.vmlinux]  [k] io_read
     0.86%     0.00%  iou-wrk-2970     [kernel.vmlinux]  [k] schedule_timeout
     0.85%     0.02%  iou-wrk-2976     [kernel.vmlinux]  [k] filemap_read
     0.85%     0.00%  iou-wrk-2981     [kernel.vmlinux]  [k] io_issue_sqe
     0.85%     0.00%  iou-wrk-2981     [kernel.vmlinux]  [k] io_read
     0.85%     0.00%  iou-wrk-2981     [kernel.vmlinux]  [k] io_wq_submit_work
     0.85%     0.03%  iou-wrk-2975     [kernel.vmlinux]  [k] filemap_read
     0.85%     0.01%  iou-wrk-2963     [kernel.vmlinux]  [k] io_issue_sqe
     0.85%     0.00%  iou-wrk-2963     [kernel.vmlinux]  [k] io_wq_submit_work
     0.85%     0.39%  fio              [kernel.vmlinux]  [k] reweight_entity
     0.85%     0.00%  iou-wrk-2980     [kernel.vmlinux]  [k] schedule_timeout
     0.84%     0.02%  iou-wrk-2953     [kernel.vmlinux]  [k] io_worker_handle_work
     0.84%     0.02%  iou-wrk-2963     [kernel.vmlinux]  [k] io_read
     0.83%     0.00%  iou-wrk-2952     [kernel.vmlinux]  [k] io_worker_handle_work
     0.83%     0.02%  iou-wrk-2949     [kernel.vmlinux]  [k] io_worker_handle_work
     0.83%     0.03%  iou-wrk-2956     [kernel.vmlinux]  [k] io_worker_handle_work
     0.82%     0.02%  iou-wrk-2944     [kernel.vmlinux]  [k] filemap_read
     0.82%     0.00%  iou-wrk-2967     [kernel.vmlinux]  [k] filemap_get_pages
     0.82%     0.01%  iou-wrk-2948     [kernel.vmlinux]  [k] io_worker_handle_work
     0.82%     0.01%  iou-wrk-2964     [kernel.vmlinux]  [k] io_read
     0.82%     0.00%  iou-wrk-2964     [kernel.vmlinux]  [k] io_issue_sqe
     0.82%     0.00%  iou-wrk-2964     [kernel.vmlinux]  [k] io_wq_submit_work
     0.82%     0.07%  iou-wrk-2979     [kernel.vmlinux]  [k] filemap_read
     0.82%     0.01%  iou-wrk-2966     [kernel.vmlinux]  [k] io_read
     0.82%     0.00%  iou-wrk-2966     [kernel.vmlinux]  [k] io_issue_sqe
     0.82%     0.00%  iou-wrk-2966     [kernel.vmlinux]  [k] io_wq_submit_work
     0.81%     0.00%  iou-wrk-2983     [kernel.vmlinux]  [k] io_issue_sqe
     0.81%     0.00%  iou-wrk-2983     [kernel.vmlinux]  [k] io_read
     0.81%     0.00%  iou-wrk-2983     [kernel.vmlinux]  [k] io_wq_submit_work
     0.81%     0.01%  iou-wrk-2981     [kernel.vmlinux]  [k] schedule_timeout
     0.81%     0.00%  iou-wrk-2958     [kernel.vmlinux]  [k] io_worker_handle_work
     0.81%     0.01%  iou-wrk-2970     [kernel.vmlinux]  [k] io_worker_handle_work
     0.80%     0.02%  iou-wrk-2978     [kernel.vmlinux]  [k] io_read
     0.80%     0.00%  iou-wrk-2978     [kernel.vmlinux]  [k] io_issue_sqe
     0.80%     0.00%  iou-wrk-2978     [kernel.vmlinux]  [k] io_wq_submit_work
     0.80%     0.00%  iou-wrk-2961     [kernel.vmlinux]  [k] filemap_get_pages
     0.79%     0.07%  iou-wrk-2945     [kernel.vmlinux]  [k] filemap_read
     0.79%     0.01%  iou-wrk-2952     [kernel.vmlinux]  [k] io_issue_sqe
     0.79%     0.00%  iou-wrk-2952     [kernel.vmlinux]  [k] io_wq_submit_work
     0.78%     0.02%  iou-wrk-2962     [kernel.vmlinux]  [k] io_worker_handle_work
     0.78%     0.02%  iou-wrk-2968     [kernel.vmlinux]  [k] io_issue_sqe
     0.78%     0.00%  iou-wrk-2968     [kernel.vmlinux]  [k] io_wq_submit_work
     0.78%     0.00%  iou-wrk-2952     [kernel.vmlinux]  [k] io_read
     0.78%     0.02%  kswapd0          [kernel.vmlinux]  [k] xas_store
     0.77%     0.06%  iou-wrk-2964     [kernel.vmlinux]  [k] filemap_read
     0.77%     0.02%  iou-wrk-2980     [kernel.vmlinux]  [k] io_worker_handle_work
     0.77%     0.07%  iou-wrk-2981     [kernel.vmlinux]  [k] filemap_read
     0.76%     0.01%  iou-wrk-2968     [kernel.vmlinux]  [k] io_read
     0.76%     0.00%  iou-wrk-2982     [kernel.vmlinux]  [k] io_worker_handle_work
     0.76%     0.01%  iou-wrk-2983     [kernel.vmlinux]  [k] schedule_timeout
     0.76%     0.01%  iou-wrk-2958     [kernel.vmlinux]  [k] io_wq_submit_work
     0.76%     0.01%  iou-wrk-2968     [kernel.vmlinux]  [k] schedule_timeout
     0.76%     0.01%  iou-wrk-2970     [kernel.vmlinux]  [k] schedule
     0.76%     0.75%  kswapd0          [kernel.vmlinux]  [k] xas_create
     0.76%     0.03%  iou-wrk-2963     [kernel.vmlinux]  [k] filemap_read
     0.75%     0.00%  iou-wrk-2980     [kernel.vmlinux]  [k] schedule
     0.75%     0.00%  iou-wrk-2958     [kernel.vmlinux]  [k] io_issue_sqe
     0.75%     0.00%  iou-wrk-2958     [kernel.vmlinux]  [k] io_read
     0.75%     0.00%  iou-wrk-2951     [kernel.vmlinux]  [k] io_issue_sqe
     0.75%     0.00%  iou-wrk-2951     [kernel.vmlinux]  [k] io_read
