# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 11K of event 'cycles'
# Event count (approx.): 2379524085286
#
# Children      Self  Command          Shared Object     Symbol                                         
# ........  ........  ...............  ................  ...............................................
#
     1.08%     0.01%  iou-wrk-2966     [kernel.vmlinux]  [k] io_worker_handle_work
     1.08%     0.02%  iou-wrk-2957     [kernel.vmlinux]  [k] filemap_read
     1.08%     0.01%  iou-wrk-2970     [kernel.vmlinux]  [k] io_wq_submit_work
     1.07%     0.01%  iou-wrk-2981     [kernel.vmlinux]  [k] io_wq_submit_work
     1.07%     0.02%  iou-wrk-2970     [kernel.vmlinux]  [k] io_issue_sqe
     1.07%     0.05%  iou-wrk-2964     [kernel.vmlinux]  [k] filemap_read
     1.06%     0.00%  iou-wrk-2981     [kernel.vmlinux]  [k] io_issue_sqe
     1.06%     0.00%  iou-wrk-2981     [kernel.vmlinux]  [k] io_read
     1.06%     0.01%  iou-wrk-2950     [kernel.vmlinux]  [k] io_wqe_worker
     1.06%     0.00%  iou-wrk-2950     [kernel.vmlinux]  [k] ret_from_fork
     1.06%     0.01%  iou-wrk-2979     [kernel.vmlinux]  [k] io_read
     1.06%     0.00%  iou-wrk-2979     [kernel.vmlinux]  [k] io_issue_sqe
     1.06%     0.00%  iou-wrk-2979     [kernel.vmlinux]  [k] io_wq_submit_work
     1.06%     0.01%  iou-wrk-2982     [kernel.vmlinux]  [k] io_worker_handle_work
     1.05%     0.00%  iou-wrk-2978     [kernel.vmlinux]  [k] io_wqe_worker
     1.05%     0.00%  iou-wrk-2978     [kernel.vmlinux]  [k] ret_from_fork
     1.05%     0.00%  iou-wrk-2970     [kernel.vmlinux]  [k] io_read
     1.05%     0.01%  iou-wrk-2983     [kernel.vmlinux]  [k] io_wqe_worker
     1.05%     0.00%  iou-wrk-2983     [kernel.vmlinux]  [k] ret_from_fork
     1.04%     0.01%  iou-wrk-2956     [kernel.vmlinux]  [k] io_wqe_worker
     1.04%     0.00%  iou-wrk-2956     [kernel.vmlinux]  [k] ret_from_fork
     1.04%     0.02%  iou-wrk-2958     [kernel.vmlinux]  [k] io_worker_handle_work
     1.04%     0.02%  iou-wrk-2959     [kernel.vmlinux]  [k] io_worker_handle_work
     1.02%     0.20%  fio              [kernel.vmlinux]  [k] check_preempt_wakeup
     1.00%     0.00%  iou-wrk-2968     [kernel.vmlinux]  [k] io_worker_handle_work
     1.00%     0.01%  iou-wrk-2963     [kernel.vmlinux]  [k] io_wq_submit_work
     1.00%     0.02%  iou-wrk-2980     [kernel.vmlinux]  [k] io_worker_handle_work
     0.99%     0.01%  iou-wrk-2973     [kernel.vmlinux]  [k] io_wq_submit_work
     0.99%     0.02%  iou-wrk-2960     [kernel.vmlinux]  [k] io_worker_handle_work
     0.99%     0.00%  iou-wrk-2963     [kernel.vmlinux]  [k] io_issue_sqe
     0.99%     0.00%  iou-wrk-2963     [kernel.vmlinux]  [k] io_read
     0.98%     0.03%  iou-wrk-2979     [kernel.vmlinux]  [k] filemap_read
     0.98%     0.07%  iou-wrk-2954     [kernel.vmlinux]  [k] filemap_read
     0.98%     0.01%  iou-wrk-2947     [kernel.vmlinux]  [k] io_wqe_worker
     0.98%     0.00%  iou-wrk-2947     [kernel.vmlinux]  [k] ret_from_fork
     0.98%     0.00%  iou-wrk-2973     [kernel.vmlinux]  [k] io_issue_sqe
     0.98%     0.00%  iou-wrk-2973     [kernel.vmlinux]  [k] io_read
     0.97%     0.06%  iou-wrk-2977     [kernel.vmlinux]  [k] io_worker_handle_work
     0.96%     0.03%  iou-wrk-2949     [kernel.vmlinux]  [k] io_worker_handle_work
     0.96%     0.01%  iou-wrk-2966     [kernel.vmlinux]  [k] io_read
     0.96%     0.00%  iou-wrk-2966     [kernel.vmlinux]  [k] io_issue_sqe
     0.96%     0.00%  iou-wrk-2966     [kernel.vmlinux]  [k] io_wq_submit_work
     0.96%     0.01%  iou-wrk-2962     [kernel.vmlinux]  [k] io_wqe_worker
     0.96%     0.00%  iou-wrk-2962     [kernel.vmlinux]  [k] ret_from_fork
     0.96%     0.05%  iou-wrk-2970     [kernel.vmlinux]  [k] filemap_read
     0.96%     0.02%  iou-wrk-2967     [kernel.vmlinux]  [k] io_worker_handle_work
     0.95%     0.03%  iou-wrk-2953     [kernel.vmlinux]  [k] io_worker_handle_work
     0.95%     0.03%  iou-wrk-2973     [kernel.vmlinux]  [k] filemap_read
     0.95%     0.01%  iou-wrk-2972     [kernel.vmlinux]  [k] io_worker_handle_work
     0.94%     0.01%  iou-wrk-2985     [kernel.vmlinux]  [k] io_wq_submit_work
     0.94%     0.05%  fio              [kernel.vmlinux]  [k] io_file_get_normal
     0.94%     0.02%  iou-wrk-2955     [kernel.vmlinux]  [k] io_worker_handle_work
     0.94%     0.02%  iou-wrk-2985     [kernel.vmlinux]  [k] io_issue_sqe
     0.93%     0.02%  iou-wrk-2951     [kernel.vmlinux]  [k] io_read
     0.93%     0.00%  iou-wrk-2951     [kernel.vmlinux]  [k] io_issue_sqe
     0.93%     0.00%  iou-wrk-2951     [kernel.vmlinux]  [k] io_wq_submit_work
     0.93%     0.02%  iou-wrk-2976     [kernel.vmlinux]  [k] io_worker_handle_work
     0.93%     0.05%  iou-wrk-2966     [kernel.vmlinux]  [k] filemap_read
     0.92%     0.07%  iou-wrk-2963     [kernel.vmlinux]  [k] filemap_read
     0.92%     0.01%  iou-wrk-2982     [kernel.vmlinux]  [k] io_issue_sqe
     0.92%     0.00%  iou-wrk-2982     [kernel.vmlinux]  [k] io_wq_submit_work
     0.92%     0.01%  iou-wrk-2974     [kernel.vmlinux]  [k] io_worker_handle_work
     0.91%     0.02%  iou-wrk-2985     [kernel.vmlinux]  [k] io_read
