# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 31570845903901
#
# Children      Self  Command          Shared Object               Symbol                                        
# ........  ........  ...............  ..........................  ..............................................
#
     1.19%     0.00%  iou-wrk-3071     [kernel.vmlinux]            [k] io_wq_submit_work
     1.19%     0.00%  iou-wrk-3078     [kernel.vmlinux]            [k] io_wqe_worker
     1.19%     0.00%  iou-wrk-3078     [kernel.vmlinux]            [k] ret_from_fork
     1.19%     0.01%  iou-wrk-3078     [kernel.vmlinux]            [k] io_worker_handle_work
     1.19%     0.00%  iou-wrk-3071     [kernel.vmlinux]            [k] io_issue_sqe
     1.19%     0.00%  iou-wrk-3109     [kernel.vmlinux]            [k] io_wq_submit_work
     1.19%     0.00%  iou-wrk-3097     [kernel.vmlinux]            [k] io_wqe_worker
     1.19%     0.00%  iou-wrk-3097     [kernel.vmlinux]            [k] ret_from_fork
     1.19%     0.00%  iou-wrk-3104     [kernel.vmlinux]            [k] io_wq_submit_work
     1.19%     0.01%  iou-wrk-3097     [kernel.vmlinux]            [k] io_worker_handle_work
     1.19%     0.00%  iou-wrk-3071     [kernel.vmlinux]            [k] io_read
     1.19%     0.00%  iou-wrk-3109     [kernel.vmlinux]            [k] io_issue_sqe
     1.19%     0.00%  iou-wrk-3069     [kernel.vmlinux]            [k] io_wqe_worker
     1.19%     0.00%  iou-wrk-3069     [kernel.vmlinux]            [k] ret_from_fork
     1.19%     0.00%  iou-wrk-3109     [kernel.vmlinux]            [k] io_read
     1.19%     0.00%  iou-wrk-3104     [kernel.vmlinux]            [k] io_issue_sqe
     1.19%     0.01%  iou-wrk-3088     [kernel.vmlinux]            [k] io_worker_handle_work
     1.19%     0.00%  iou-wrk-3104     [kernel.vmlinux]            [k] io_read
     1.19%     0.00%  iou-wrk-3141     [kernel.vmlinux]            [k] io_wq_submit_work
     1.18%     0.01%  iou-wrk-3101     [kernel.vmlinux]            [k] io_worker_handle_work
     1.18%     0.00%  iou-wrk-3116     [kernel.vmlinux]            [k] io_wqe_worker
     1.18%     0.00%  iou-wrk-3116     [kernel.vmlinux]            [k] ret_from_fork
     1.18%     0.00%  iou-wrk-3126     [kernel.vmlinux]            [k] io_wq_submit_work
     1.18%     0.00%  iou-wrk-3129     [kernel.vmlinux]            [k] io_wqe_worker
     1.18%     0.00%  iou-wrk-3129     [kernel.vmlinux]            [k] ret_from_fork
     1.18%     0.00%  iou-wrk-3141     [kernel.vmlinux]            [k] io_issue_sqe
     1.18%     0.00%  iou-wrk-3126     [kernel.vmlinux]            [k] io_issue_sqe
     1.18%     0.00%  iou-wrk-3107     [kernel.vmlinux]            [k] io_wq_submit_work
     1.18%     0.00%  iou-wrk-3141     [kernel.vmlinux]            [k] io_read
     1.18%     0.00%  iou-wrk-3099     [kernel.vmlinux]            [k] io_wqe_worker
     1.18%     0.00%  iou-wrk-3099     [kernel.vmlinux]            [k] ret_from_fork
     1.18%     0.00%  iou-wrk-3077     [kernel.vmlinux]            [k] io_wq_submit_work
