# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 897K of event 'cycles'
# Event count (approx.): 95051495853802
#
# Children      Self  Command          Shared Object               Symbol                                                 
# ........  ........  ...............  ..........................  .......................................................
#
     1.16%     0.10%  fio              [kernel.vmlinux]            [k] io_read
     1.16%     0.00%  iou-wrk-3110     [kernel.vmlinux]            [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3110     [kernel.vmlinux]            [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3126     [kernel.vmlinux]            [k] io_wq_submit_work
     1.16%     0.00%  iou-wrk-3081     [kernel.vmlinux]            [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3081     [kernel.vmlinux]            [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3137     [kernel.vmlinux]            [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3137     [kernel.vmlinux]            [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3129     [kernel.vmlinux]            [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3129     [kernel.vmlinux]            [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3097     [kernel.vmlinux]            [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3097     [kernel.vmlinux]            [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3126     [kernel.vmlinux]            [k] io_issue_sqe
     1.16%     0.00%  iou-wrk-3113     [kernel.vmlinux]            [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3113     [kernel.vmlinux]            [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3080     [kernel.vmlinux]            [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3080     [kernel.vmlinux]            [k] ret_from_fork
     1.16%     0.01%  iou-wrk-3109     [kernel.vmlinux]            [k] io_worker_handle_work
     1.16%     0.00%  iou-wrk-3074     [kernel.vmlinux]            [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3074     [kernel.vmlinux]            [k] ret_from_fork
     1.16%     0.01%  iou-wrk-3062     [kernel.vmlinux]            [k] io_worker_handle_work
     1.16%     0.00%  iou-wrk-3126     [kernel.vmlinux]            [k] io_read
     1.16%     0.00%  iou-wrk-3086     [kernel.vmlinux]            [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3086     [kernel.vmlinux]            [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3135     [kernel.vmlinux]            [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3135     [kernel.vmlinux]            [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3070     [kernel.vmlinux]            [k] io_worker_handle_work
     1.16%     0.00%  iou-wrk-3091     [kernel.vmlinux]            [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3091     [kernel.vmlinux]            [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3134     [kernel.vmlinux]            [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3134     [kernel.vmlinux]            [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3127     [kernel.vmlinux]            [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3127     [kernel.vmlinux]            [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3114     [kernel.vmlinux]            [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3114     [kernel.vmlinux]            [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3104     [kernel.vmlinux]            [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3104     [kernel.vmlinux]            [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3094     [kernel.vmlinux]            [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3094     [kernel.vmlinux]            [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3106     [kernel.vmlinux]            [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3106     [kernel.vmlinux]            [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3064     [kernel.vmlinux]            [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3064     [kernel.vmlinux]            [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3117     [kernel.vmlinux]            [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3117     [kernel.vmlinux]            [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3099     [kernel.vmlinux]            [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3099     [kernel.vmlinux]            [k] ret_from_fork
     1.16%     0.01%  iou-wrk-3115     [kernel.vmlinux]            [k] io_worker_handle_work
     1.16%     0.01%  iou-wrk-3103     [kernel.vmlinux]            [k] io_worker_handle_work
     1.16%     0.00%  iou-wrk-3077     [kernel.vmlinux]            [k] io_worker_handle_work
     1.16%     0.00%  iou-wrk-3111     [kernel.vmlinux]            [k] io_worker_handle_work
     1.16%     0.01%  iou-wrk-3065     [kernel.vmlinux]            [k] io_worker_handle_work
