# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 43K of event 'cycles'
# Event count (approx.): 8777788382501
#
# Children      Self  Command          Shared Object     Symbol                                 
# ........  ........  ...............  ................  .......................................
#
     1.57%     0.24%  fio              [kernel.vmlinux]  [k] pick_next_task_fair
     1.57%     0.00%  iou-wrk-3369     [kernel.vmlinux]  [k] io_issue_sqe
     1.57%     0.00%  iou-wrk-3369     [kernel.vmlinux]  [k] io_wq_submit_work
     1.57%     0.01%  iou-wrk-3364     [kernel.vmlinux]  [k] io_worker_handle_work
     1.57%     0.01%  iou-wrk-3369     [kernel.vmlinux]  [k] io_read
     1.57%     0.01%  iou-wrk-3379     [kernel.vmlinux]  [k] io_worker_handle_work
     1.56%     0.04%  iou-wrk-3386     [kernel.vmlinux]  [k] filemap_read
     1.55%     0.00%  iou-wrk-3359     [kernel.vmlinux]  [k] io_wq_submit_work
     1.55%     0.00%  iou-wrk-3359     [kernel.vmlinux]  [k] io_issue_sqe
     1.55%     0.01%  iou-wrk-3359     [kernel.vmlinux]  [k] io_read
     1.54%     0.02%  iou-wrk-3346     [kernel.vmlinux]  [k] io_worker_handle_work
     1.54%     0.00%  iou-wrk-3344     [kernel.vmlinux]  [k] io_wq_submit_work
     1.54%     0.01%  iou-wrk-3366     [kernel.vmlinux]  [k] io_worker_handle_work
     1.54%     0.00%  iou-wrk-3348     [kernel.vmlinux]  [k] io_worker_handle_work
     1.54%     0.01%  iou-wrk-3344     [kernel.vmlinux]  [k] io_issue_sqe
     1.53%     0.02%  iou-wrk-3380     [kernel.vmlinux]  [k] io_worker_handle_work
     1.53%     0.01%  iou-wrk-3352     [kernel.vmlinux]  [k] io_worker_handle_work
     1.52%     0.01%  iou-wrk-3344     [kernel.vmlinux]  [k] io_read
     1.52%     0.02%  iou-wrk-3369     [kernel.vmlinux]  [k] filemap_read
     1.51%     0.01%  iou-wrk-3355     [kernel.vmlinux]  [k] io_worker_handle_work
     1.51%     0.02%  iou-wrk-3353     [kernel.vmlinux]  [k] io_worker_handle_work
     1.51%     0.04%  iou-wrk-3359     [kernel.vmlinux]  [k] filemap_read
     1.50%     0.01%  iou-wrk-3385     [kernel.vmlinux]  [k] io_worker_handle_work
     1.50%     0.01%  iou-wrk-3379     [kernel.vmlinux]  [k] io_issue_sqe
     1.50%     0.00%  iou-wrk-3379     [kernel.vmlinux]  [k] io_wq_submit_work
     1.50%     0.01%  iou-wrk-3377     [kernel.vmlinux]  [k] io_worker_handle_work
     1.50%     0.01%  iou-wrk-3358     [kernel.vmlinux]  [k] io_worker_handle_work
     1.49%     0.01%  iou-wrk-3379     [kernel.vmlinux]  [k] io_read
     1.49%     0.00%  iou-wrk-3347     [kernel.vmlinux]  [k] io_wq_submit_work
     1.49%     0.01%  iou-wrk-3347     [kernel.vmlinux]  [k] io_read
     1.49%     0.00%  iou-wrk-3347     [kernel.vmlinux]  [k] io_issue_sqe
     1.49%     0.00%  iou-wrk-3364     [kernel.vmlinux]  [k] io_wq_submit_work
     1.48%     0.00%  iou-wrk-3364     [kernel.vmlinux]  [k] io_issue_sqe
     1.48%     0.00%  swapper          [kernel.vmlinux]  [k] cpuidle_enter
     1.48%     0.04%  iou-wrk-3344     [kernel.vmlinux]  [k] filemap_read
     1.48%     0.01%  swapper          [kernel.vmlinux]  [k] cpuidle_enter_state
