# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 789K of event 'cycles'
# Event count (approx.): 71959522793739
#
# Children      Self  Command          Shared Object               Symbol                                        
# ........  ........  ...............  ..........................  ..............................................
#
     0.92%     0.00%  iou-wrk-3044     [kernel.vmlinux]            [k] ret_from_fork
     0.92%     0.01%  iou-wrk-3042     [kernel.vmlinux]            [k] io_wqe_worker
     0.92%     0.00%  iou-wrk-3042     [kernel.vmlinux]            [k] ret_from_fork
     0.92%     0.01%  iou-wrk-3057     [kernel.vmlinux]            [k] io_wqe_worker
     0.92%     0.00%  iou-wrk-3057     [kernel.vmlinux]            [k] ret_from_fork
     0.92%     0.01%  iou-wrk-3049     [kernel.vmlinux]            [k] io_wqe_worker
     0.92%     0.00%  iou-wrk-3049     [kernel.vmlinux]            [k] ret_from_fork
     0.92%     0.00%  iou-wrk-3040     [kernel.vmlinux]            [k] io_wqe_worker
     0.92%     0.00%  iou-wrk-3040     [kernel.vmlinux]            [k] ret_from_fork
     0.92%     0.01%  iou-wrk-3034     [kernel.vmlinux]            [k] io_wqe_worker
     0.92%     0.00%  iou-wrk-3034     [kernel.vmlinux]            [k] ret_from_fork
     0.92%     0.01%  iou-wrk-3076     [kernel.vmlinux]            [k] io_wqe_worker
     0.92%     0.00%  iou-wrk-3076     [kernel.vmlinux]            [k] ret_from_fork
     0.92%     0.01%  iou-wrk-3060     [kernel.vmlinux]            [k] io_wqe_worker
     0.92%     0.00%  iou-wrk-3060     [kernel.vmlinux]            [k] ret_from_fork
     0.92%     0.01%  iou-wrk-3028     [kernel.vmlinux]            [k] io_wqe_worker
     0.92%     0.00%  iou-wrk-3028     [kernel.vmlinux]            [k] ret_from_fork
     0.92%     0.00%  iou-wrk-3080     [kernel.vmlinux]            [k] io_wqe_worker
     0.92%     0.00%  iou-wrk-3080     [kernel.vmlinux]            [k] ret_from_fork
     0.92%     0.01%  iou-wrk-3092     [kernel.vmlinux]            [k] io_wqe_worker
     0.92%     0.00%  iou-wrk-3092     [kernel.vmlinux]            [k] ret_from_fork
     0.92%     0.01%  iou-wrk-3039     [kernel.vmlinux]            [k] io_wqe_worker
     0.92%     0.00%  iou-wrk-3039     [kernel.vmlinux]            [k] ret_from_fork
     0.92%     0.00%  iou-wrk-3069     [kernel.vmlinux]            [k] io_wqe_worker
     0.92%     0.00%  iou-wrk-3069     [kernel.vmlinux]            [k] ret_from_fork
     0.92%     0.00%  iou-wrk-3098     [kernel.vmlinux]            [k] io_wqe_worker
     0.92%     0.00%  iou-wrk-3098     [kernel.vmlinux]            [k] ret_from_fork
     0.92%     0.01%  iou-wrk-3095     [kernel.vmlinux]            [k] io_wqe_worker
     0.92%     0.00%  iou-wrk-3095     [kernel.vmlinux]            [k] ret_from_fork
     0.92%     0.00%  iou-wrk-3085     [kernel.vmlinux]            [k] io_wqe_worker
     0.92%     0.00%  iou-wrk-3085     [kernel.vmlinux]            [k] ret_from_fork
     0.92%     0.01%  iou-wrk-3061     [kernel.vmlinux]            [k] io_wqe_worker
     0.92%     0.00%  iou-wrk-3061     [kernel.vmlinux]            [k] ret_from_fork
     0.92%     0.01%  iou-wrk-3037     [kernel.vmlinux]            [k] io_wqe_worker
     0.92%     0.00%  iou-wrk-3037     [kernel.vmlinux]            [k] ret_from_fork
     0.92%     0.01%  iou-wrk-3075     [kernel.vmlinux]            [k] io_wqe_worker
     0.92%     0.00%  iou-wrk-3075     [kernel.vmlinux]            [k] ret_from_fork
     0.92%     0.00%  iou-wrk-3101     [kernel.vmlinux]            [k] io_wqe_worker
