# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 906K of event 'cycles'
# Event count (approx.): 83830674564148
#
# Children      Self  Command          Shared Object       Symbol                                          
# ........  ........  ...............  ..................  ................................................
#
     1.02%     0.00%  iou-wrk-3183     [kernel.vmlinux]    [k] io_issue_sqe
     1.02%     0.01%  iou-wrk-3181     [kernel.vmlinux]    [k] io_read
     1.02%     0.00%  iou-wrk-3237     [kernel.vmlinux]    [k] io_wqe_worker
     1.02%     0.00%  iou-wrk-3237     [kernel.vmlinux]    [k] ret_from_fork
     1.02%     0.00%  iou-wrk-3183     [kernel.vmlinux]    [k] io_read
     1.02%     0.00%  iou-wrk-3212     [kernel.vmlinux]    [k] io_wqe_worker
     1.02%     0.00%  iou-wrk-3212     [kernel.vmlinux]    [k] ret_from_fork
     1.02%     0.00%  iou-wrk-3211     [kernel.vmlinux]    [k] io_wqe_worker
     1.02%     0.00%  iou-wrk-3211     [kernel.vmlinux]    [k] ret_from_fork
     1.02%     0.00%  iou-wrk-3230     [kernel.vmlinux]    [k] io_wqe_worker
     1.02%     0.00%  iou-wrk-3230     [kernel.vmlinux]    [k] ret_from_fork
     1.02%     0.00%  iou-wrk-3226     [kernel.vmlinux]    [k] io_wqe_worker
     1.02%     0.00%  iou-wrk-3226     [kernel.vmlinux]    [k] ret_from_fork
     1.02%     0.00%  iou-wrk-3228     [kernel.vmlinux]    [k] io_wqe_worker
     1.02%     0.00%  iou-wrk-3228     [kernel.vmlinux]    [k] ret_from_fork
     1.02%     0.00%  iou-wrk-3219     [kernel.vmlinux]    [k] io_wqe_worker
     1.02%     0.00%  iou-wrk-3219     [kernel.vmlinux]    [k] ret_from_fork
     1.02%     0.00%  iou-wrk-3180     [kernel.vmlinux]    [k] io_wq_submit_work
     1.01%     0.00%  iou-wrk-3180     [kernel.vmlinux]    [k] io_issue_sqe
     1.01%     0.00%  iou-wrk-3203     [kernel.vmlinux]    [k] io_wqe_worker
     1.01%     0.00%  iou-wrk-3203     [kernel.vmlinux]    [k] ret_from_fork
     1.01%     0.01%  iou-wrk-3214     [kernel.vmlinux]    [k] io_worker_handle_work
     1.01%     0.01%  iou-wrk-3180     [kernel.vmlinux]    [k] io_read
     1.01%     0.00%  iou-wrk-3178     [kernel.vmlinux]    [k] io_wqe_worker
     1.01%     0.00%  iou-wrk-3178     [kernel.vmlinux]    [k] ret_from_fork
     1.01%     0.00%  iou-wrk-3210     [kernel.vmlinux]    [k] io_wqe_worker
     1.01%     0.00%  iou-wrk-3210     [kernel.vmlinux]    [k] ret_from_fork
     1.01%     0.00%  iou-wrk-3231     [kernel.vmlinux]    [k] io_wqe_worker
     1.01%     0.00%  iou-wrk-3231     [kernel.vmlinux]    [k] ret_from_fork
     1.01%     0.00%  iou-wrk-3165     [kernel.vmlinux]    [k] io_wqe_worker
     1.01%     0.00%  iou-wrk-3165     [kernel.vmlinux]    [k] ret_from_fork
     1.01%     0.00%  iou-wrk-3186     [kernel.vmlinux]    [k] io_wqe_worker
     1.01%     0.00%  iou-wrk-3186     [kernel.vmlinux]    [k] ret_from_fork
     1.01%     0.00%  iou-wrk-3233     [kernel.vmlinux]    [k] io_wqe_worker
     1.01%     0.00%  iou-wrk-3233     [kernel.vmlinux]    [k] ret_from_fork
     1.01%     0.00%  iou-wrk-3184     [kernel.vmlinux]    [k] io_wqe_worker
     1.01%     0.00%  iou-wrk-3184     [kernel.vmlinux]    [k] ret_from_fork
     1.01%     0.00%  iou-wrk-3225     [kernel.vmlinux]    [k] io_wqe_worker
     1.01%     0.00%  iou-wrk-3225     [kernel.vmlinux]    [k] ret_from_fork
     1.01%     0.00%  iou-wrk-3238     [kernel.vmlinux]    [k] io_wqe_worker
     1.01%     0.00%  iou-wrk-3238     [kernel.vmlinux]    [k] ret_from_fork
     1.01%     0.00%  iou-wrk-3227     [kernel.vmlinux]    [k] io_wqe_worker
     1.01%     0.00%  iou-wrk-3227     [kernel.vmlinux]    [k] ret_from_fork
     1.01%     0.00%  iou-wrk-3191     [kernel.vmlinux]    [k] io_wqe_worker
     1.01%     0.00%  iou-wrk-3191     [kernel.vmlinux]    [k] ret_from_fork
     1.01%     0.00%  iou-wrk-3189     [kernel.vmlinux]    [k] io_wqe_worker
     1.01%     0.00%  iou-wrk-3189     [kernel.vmlinux]    [k] ret_from_fork
     1.01%     0.00%  iou-wrk-3185     [kernel.vmlinux]    [k] io_wqe_worker
     1.01%     0.00%  iou-wrk-3185     [kernel.vmlinux]    [k] ret_from_fork
     1.01%     0.00%  iou-wrk-3235     [kernel.vmlinux]    [k] io_wqe_worker
     1.01%     0.00%  iou-wrk-3235     [kernel.vmlinux]    [k] ret_from_fork
     1.00%     0.02%  iou-wrk-3193     [kernel.vmlinux]    [k] filemap_read
     1.00%     0.00%  iou-wrk-3171     [kernel.vmlinux]    [k] io_wqe_worker
     1.00%     0.00%  iou-wrk-3171     [kernel.vmlinux]    [k] ret_from_fork
     1.00%     0.02%  iou-wrk-3208     [kernel.vmlinux]    [k] filemap_read
     1.00%     0.00%  iou-wrk-3198     [kernel.vmlinux]    [k] io_wqe_worker
     1.00%     0.00%  iou-wrk-3198     [kernel.vmlinux]    [k] ret_from_fork
     1.00%     0.00%  iou-wrk-3173     [kernel.vmlinux]    [k] io_wqe_worker
     1.00%     0.00%  iou-wrk-3173     [kernel.vmlinux]    [k] ret_from_fork
     1.00%     0.00%  iou-wrk-3217     [kernel.vmlinux]    [k] io_wqe_worker
     1.00%     0.00%  iou-wrk-3217     [kernel.vmlinux]    [k] ret_from_fork
     1.00%     0.00%  iou-wrk-3234     [kernel.vmlinux]    [k] io_wqe_worker
     1.00%     0.00%  iou-wrk-3234     [kernel.vmlinux]    [k] ret_from_fork
     1.00%     0.00%  iou-wrk-3188     [kernel.vmlinux]    [k] io_wqe_worker
     1.00%     0.00%  iou-wrk-3188     [kernel.vmlinux]    [k] ret_from_fork
     1.00%     0.01%  iou-wrk-3220     [kernel.vmlinux]    [k] io_wqe_worker
     1.00%     0.00%  iou-wrk-3220     [kernel.vmlinux]    [k] ret_from_fork
     1.00%     0.00%  iou-wrk-3218     [kernel.vmlinux]    [k] io_wqe_worker
     1.00%     0.00%  iou-wrk-3218     [kernel.vmlinux]    [k] ret_from_fork
     1.00%     0.00%  iou-wrk-3162     [kernel.vmlinux]    [k] io_wqe_worker
     1.00%     0.00%  iou-wrk-3162     [kernel.vmlinux]    [k] ret_from_fork
     1.00%     0.00%  iou-wrk-3163     [kernel.vmlinux]    [k] io_wqe_worker
     1.00%     0.00%  iou-wrk-3163     [kernel.vmlinux]    [k] ret_from_fork
     1.00%     0.00%  iou-wrk-3201     [kernel.vmlinux]    [k] io_wqe_worker
     1.00%     0.00%  iou-wrk-3201     [kernel.vmlinux]    [k] ret_from_fork
     1.00%     0.00%  iou-wrk-3223     [kernel.vmlinux]    [k] io_wqe_worker
     1.00%     0.00%  iou-wrk-3223     [kernel.vmlinux]    [k] ret_from_fork
     1.00%     0.01%  iou-wrk-3222     [kernel.vmlinux]    [k] io_wqe_worker
     1.00%     0.00%  iou-wrk-3222     [kernel.vmlinux]    [k] ret_from_fork
     1.00%     0.00%  iou-wrk-3204     [kernel.vmlinux]    [k] io_wqe_worker
     1.00%     0.00%  iou-wrk-3204     [kernel.vmlinux]    [k] ret_from_fork
     0.99%     0.02%  iou-wrk-3166     [kernel.vmlinux]    [k] filemap_read
     0.99%     0.00%  iou-wrk-3232     [kernel.vmlinux]    [k] io_wqe_worker
     0.99%     0.00%  iou-wrk-3232     [kernel.vmlinux]    [k] ret_from_fork
     0.99%     0.01%  iou-wrk-3167     [kernel.vmlinux]    [k] io_wqe_worker
     0.99%     0.00%  iou-wrk-3167     [kernel.vmlinux]    [k] ret_from_fork
     0.99%     0.00%  iou-wrk-3174     [kernel.vmlinux]    [k] io_wqe_worker
     0.99%     0.00%  iou-wrk-3174     [kernel.vmlinux]    [k] ret_from_fork
     0.99%     0.01%  iou-wrk-3168     [kernel.vmlinux]    [k] io_wqe_worker
     0.99%     0.00%  iou-wrk-3168     [kernel.vmlinux]    [k] ret_from_fork
     0.99%     0.00%  iou-wrk-3221     [kernel.vmlinux]    [k] io_wqe_worker
     0.99%     0.00%  iou-wrk-3221     [kernel.vmlinux]    [k] ret_from_fork
     0.99%     0.00%  iou-wrk-3206     [kernel.vmlinux]    [k] io_wqe_worker
     0.99%     0.00%  iou-wrk-3206     [kernel.vmlinux]    [k] ret_from_fork
     0.99%     0.00%  iou-wrk-3197     [kernel.vmlinux]    [k] io_wqe_worker
     0.99%     0.00%  iou-wrk-3197     [kernel.vmlinux]    [k] ret_from_fork
     0.99%     0.02%  iou-wrk-3172     [kernel.vmlinux]    [k] filemap_read
     0.99%     0.00%  iou-wrk-3224     [kernel.vmlinux]    [k] io_wqe_worker
     0.99%     0.00%  iou-wrk-3224     [kernel.vmlinux]    [k] ret_from_fork
     0.99%     0.00%  iou-wrk-3202     [kernel.vmlinux]    [k] io_wqe_worker
     0.99%     0.00%  iou-wrk-3202     [kernel.vmlinux]    [k] ret_from_fork
     0.99%     0.01%  iou-wrk-3216     [kernel.vmlinux]    [k] io_wqe_worker
     0.99%     0.00%  iou-wrk-3216     [kernel.vmlinux]    [k] ret_from_fork
     0.99%     0.01%  iou-wrk-3200     [kernel.vmlinux]    [k] io_wqe_worker
     0.99%     0.00%  iou-wrk-3200     [kernel.vmlinux]    [k] ret_from_fork
     0.98%     0.00%  iou-wrk-3170     [kernel.vmlinux]    [k] io_wqe_worker
     0.98%     0.00%  iou-wrk-3170     [kernel.vmlinux]    [k] ret_from_fork
     0.98%     0.01%  iou-wrk-3169     [kernel.vmlinux]    [k] io_wqe_worker
     0.98%     0.00%  iou-wrk-3169     [kernel.vmlinux]    [k] ret_from_fork
     0.98%     0.00%  iou-wrk-3175     [kernel.vmlinux]    [k] io_wqe_worker
     0.98%     0.00%  iou-wrk-3175     [kernel.vmlinux]    [k] ret_from_fork
     0.98%     0.00%  iou-wrk-3179     [kernel.vmlinux]    [k] io_wqe_worker
     0.98%     0.00%  iou-wrk-3179     [kernel.vmlinux]    [k] ret_from_fork
     0.98%     0.00%  iou-wrk-3207     [kernel.vmlinux]    [k] io_wqe_worker
     0.98%     0.00%  iou-wrk-3207     [kernel.vmlinux]    [k] ret_from_fork
     0.98%     0.00%  iou-wrk-3182     [kernel.vmlinux]    [k] io_wqe_worker
     0.98%     0.00%  iou-wrk-3182     [kernel.vmlinux]    [k] ret_from_fork
     0.98%     0.00%  iou-wrk-3196     [kernel.vmlinux]    [k] io_wqe_worker
     0.98%     0.00%  iou-wrk-3196     [kernel.vmlinux]    [k] ret_from_fork
     0.98%     0.00%  iou-wrk-3241     [kernel.vmlinux]    [k] io_wqe_worker
     0.98%     0.00%  iou-wrk-3241     [kernel.vmlinux]    [k] ret_from_fork
     0.98%     0.28%  fio              [kernel.vmlinux]    [k] enqueue_entity
     0.97%     0.01%  iou-wrk-3213     [kernel.vmlinux]    [k] io_worker_handle_work
     0.96%     0.01%  iou-wrk-3209     [kernel.vmlinux]    [k] io_worker_handle_work
     0.96%     0.02%  iou-wrk-3181     [kernel.vmlinux]    [k] filemap_read
     0.96%     0.02%  iou-wrk-3183     [kernel.vmlinux]    [k] filemap_read
     0.96%     0.01%  iou-wrk-3239     [kernel.vmlinux]    [k] io_worker_handle_work
     0.96%     0.01%  iou-wrk-3199     [kernel.vmlinux]    [k] io_worker_handle_work
     0.96%     0.00%  iou-wrk-3214     [kernel.vmlinux]    [k] io_wq_submit_work
     0.95%     0.00%  iou-wrk-3214     [kernel.vmlinux]    [k] io_issue_sqe
     0.95%     0.02%  iou-wrk-3180     [kernel.vmlinux]    [k] filemap_read
     0.95%     0.00%  iou-wrk-3214     [kernel.vmlinux]    [k] io_read
     0.94%     0.01%  iou-wrk-3176     [kernel.vmlinux]    [k] io_worker_handle_work
     0.92%     0.00%  iou-wrk-3213     [kernel.vmlinux]    [k] io_wq_submit_work
     0.92%     0.36%  fio              [kernel.vmlinux]    [k] update_load_avg
     0.92%     0.00%  iou-wrk-3213     [kernel.vmlinux]    [k] io_issue_sqe
     0.92%     0.00%  iou-wrk-3209     [kernel.vmlinux]    [k] io_wq_submit_work
     0.91%     0.00%  iou-wrk-3213     [kernel.vmlinux]    [k] io_read
     0.91%     0.00%  iou-wrk-3209     [kernel.vmlinux]    [k] io_issue_sqe
     0.91%     0.00%  iou-wrk-3209     [kernel.vmlinux]    [k] io_read
     0.91%     0.00%  iou-wrk-3239     [kernel.vmlinux]    [k] io_wq_submit_work
     0.91%     0.00%  iou-wrk-3199     [kernel.vmlinux]    [k] io_wq_submit_work
     0.91%     0.00%  iou-wrk-3239     [kernel.vmlinux]    [k] io_issue_sqe
     0.91%     0.00%  iou-wrk-3199     [kernel.vmlinux]    [k] io_issue_sqe
     0.91%     0.00%  iou-wrk-3239     [kernel.vmlinux]    [k] io_read
     0.90%     0.01%  iou-wrk-3205     [kernel.vmlinux]    [k] io_worker_handle_work
     0.90%     0.00%  iou-wrk-3199     [kernel.vmlinux]    [k] io_read
     0.90%     0.01%  iou-wrk-3215     [kernel.vmlinux]    [k] io_worker_handle_work
     0.90%     0.02%  iou-wrk-3214     [kernel.vmlinux]    [k] filemap_read
     0.90%     0.00%  iou-wrk-3176     [kernel.vmlinux]    [k] io_wq_submit_work
     0.90%     0.01%  iou-wrk-3240     [kernel.vmlinux]    [k] io_worker_handle_work
     0.89%     0.00%  iou-wrk-3176     [kernel.vmlinux]    [k] io_issue_sqe
     0.89%     0.00%  iou-wrk-3176     [kernel.vmlinux]    [k] io_read
     0.89%     0.01%  iou-wrk-3164     [kernel.vmlinux]    [k] io_worker_handle_work
     0.89%     0.01%  iou-wrk-3229     [kernel.vmlinux]    [k] io_worker_handle_work
     0.89%     0.01%  iou-wrk-3187     [kernel.vmlinux]    [k] io_worker_handle_work
     0.88%     0.01%  iou-wrk-3236     [kernel.vmlinux]    [k] io_worker_handle_work
     0.88%     0.01%  iou-wrk-3192     [kernel.vmlinux]    [k] io_worker_handle_work
     0.88%     0.01%  iou-wrk-3211     [kernel.vmlinux]    [k] io_worker_handle_work
     0.88%     0.01%  iou-wrk-3190     [kernel.vmlinux]    [k] io_worker_handle_work
     0.87%     0.02%  iou-wrk-3213     [kernel.vmlinux]    [k] filemap_read
     0.87%     0.01%  iou-wrk-3230     [kernel.vmlinux]    [k] io_worker_handle_work
     0.87%     0.01%  iou-wrk-3194     [kernel.vmlinux]    [k] io_worker_handle_work
     0.87%     0.00%  iou-wrk-3205     [kernel.vmlinux]    [k] io_wq_submit_work
     0.87%     0.02%  iou-wrk-3209     [kernel.vmlinux]    [k] filemap_read
     0.86%     0.00%  kswapd0          [kernel.vmlinux]    [k] balance_pgdat
     0.86%     0.00%  kswapd0          [kernel.vmlinux]    [k] kswapd
     0.86%     0.00%  kswapd0          [kernel.vmlinux]    [k] kthread
     0.86%     0.00%  kswapd0          [kernel.vmlinux]    [k] ret_from_fork
     0.86%     0.02%  iou-wrk-3239     [kernel.vmlinux]    [k] filemap_read
     0.86%     0.00%  kswapd0          [kernel.vmlinux]    [k] shrink_node
     0.86%     0.00%  iou-wrk-3205     [kernel.vmlinux]    [k] io_issue_sqe
     0.86%     0.01%  iou-wrk-3184     [kernel.vmlinux]    [k] io_worker_handle_work
     0.86%     0.02%  iou-wrk-3199     [kernel.vmlinux]    [k] filemap_read
     0.86%     0.01%  iou-wrk-3195     [kernel.vmlinux]    [k] io_worker_handle_work
     0.86%     0.00%  iou-wrk-3205     [kernel.vmlinux]    [k] io_read
     0.86%     0.00%  iou-wrk-3215     [kernel.vmlinux]    [k] io_wq_submit_work
     0.86%     0.01%  iou-wrk-3227     [kernel.vmlinux]    [k] io_worker_handle_work
     0.86%     0.01%  iou-wrk-3233     [kernel.vmlinux]    [k] io_worker_handle_work
     0.86%     0.01%  iou-wrk-3177     [kernel.vmlinux]    [k] io_worker_handle_work
     0.86%     0.00%  iou-wrk-3215     [kernel.vmlinux]    [k] io_issue_sqe
     0.86%     0.01%  iou-wrk-3165     [kernel.vmlinux]    [k] io_worker_handle_work
     0.86%     0.01%  iou-wrk-3189     [kernel.vmlinux]    [k] io_worker_handle_work
     0.86%     0.00%  iou-wrk-3240     [kernel.vmlinux]    [k] io_wq_submit_work
     0.86%     0.01%  iou-wrk-3212     [kernel.vmlinux]    [k] io_worker_handle_work
     0.86%     0.01%  iou-wrk-3185     [kernel.vmlinux]    [k] io_worker_handle_work
     0.86%     0.00%  iou-wrk-3215     [kernel.vmlinux]    [k] io_read
     0.86%     0.00%  iou-wrk-3240     [kernel.vmlinux]    [k] io_issue_sqe
     0.85%     0.01%  iou-wrk-3219     [kernel.vmlinux]    [k] io_worker_handle_work
     0.85%     0.02%  iou-wrk-3176     [kernel.vmlinux]    [k] filemap_read
     0.85%     0.00%  iou-wrk-3240     [kernel.vmlinux]    [k] io_read
     0.85%     0.00%  iou-wrk-3229     [kernel.vmlinux]    [k] io_wq_submit_work
     0.85%     0.00%  kswapd0          [kernel.vmlinux]    [k] lru_gen_shrink_lruvec
     0.85%     0.00%  kswapd0          [kernel.vmlinux]    [k] shrink_lruvec
     0.85%     0.01%  iou-wrk-3203     [kernel.vmlinux]    [k] io_worker_handle_work
     0.85%     0.00%  iou-wrk-3164     [kernel.vmlinux]    [k] io_wq_submit_work
     0.85%     0.01%  iou-wrk-3162     [kernel.vmlinux]    [k] io_worker_handle_work
     0.85%     0.00%  iou-wrk-3229     [kernel.vmlinux]    [k] io_issue_sqe
     0.85%     0.01%  iou-wrk-3237     [kernel.vmlinux]    [k] io_worker_handle_work
     0.85%     0.00%  iou-wrk-3164     [kernel.vmlinux]    [k] io_issue_sqe
     0.85%     0.01%  iou-wrk-3186     [kernel.vmlinux]    [k] io_worker_handle_work
     0.85%     0.01%  iou-wrk-3228     [kernel.vmlinux]    [k] io_worker_handle_work
     0.85%     0.03%  kswapd0          [kernel.vmlinux]    [k] evict_pages
     0.85%     0.00%  iou-wrk-3229     [kernel.vmlinux]    [k] io_read
     0.85%     0.00%  iou-wrk-3164     [kernel.vmlinux]    [k] io_read
     0.84%     0.01%  iou-wrk-3225     [kernel.vmlinux]    [k] io_worker_handle_work
     0.84%     0.01%  iou-wrk-3226     [kernel.vmlinux]    [k] io_worker_handle_work
     0.84%     0.00%  iou-wrk-3187     [kernel.vmlinux]    [k] io_wq_submit_work
     0.84%     0.01%  iou-wrk-3178     [kernel.vmlinux]    [k] io_worker_handle_work
     0.84%     0.01%  iou-wrk-3217     [kernel.vmlinux]    [k] io_worker_handle_work
     0.84%     0.00%  iou-wrk-3211     [kernel.vmlinux]    [k] io_wq_submit_work
     0.84%     0.00%  iou-wrk-3187     [kernel.vmlinux]    [k] io_issue_sqe
     0.84%     0.01%  iou-wrk-3232     [kernel.vmlinux]    [k] io_worker_handle_work
     0.84%     0.01%  iou-wrk-3218     [kernel.vmlinux]    [k] io_worker_handle_work
     0.84%     0.00%  iou-wrk-3192     [kernel.vmlinux]    [k] io_wq_submit_work
     0.84%     0.01%  iou-wrk-3238     [kernel.vmlinux]    [k] io_worker_handle_work
