# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 853K of event 'cycles'
# Event count (approx.): 81032972670636
#
# Children      Self  Command          Shared Object       Symbol                                    
# ........  ........  ...............  ..................  ..........................................
#
     1.43%     0.00%  iou-wrk-3229     [kernel.vmlinux]    [k] io_wq_submit_work
     1.43%     0.00%  iou-wrk-3209     [kernel.vmlinux]    [k] io_issue_sqe
     1.43%     0.00%  iou-wrk-3210     [kernel.vmlinux]    [k] io_issue_sqe
     1.43%     0.00%  iou-wrk-3226     [kernel.vmlinux]    [k] io_wq_submit_work
     1.43%     0.00%  iou-wrk-3226     [kernel.vmlinux]    [k] io_issue_sqe
     1.43%     0.01%  iou-wrk-3229     [kernel.vmlinux]    [k] io_issue_sqe
     1.43%     0.01%  iou-wrk-3216     [kernel.vmlinux]    [k] io_read
     1.43%     0.00%  iou-wrk-3209     [kernel.vmlinux]    [k] io_read
     1.43%     0.01%  iou-wrk-3215     [kernel.vmlinux]    [k] io_worker_handle_work
     1.43%     0.00%  iou-wrk-3210     [kernel.vmlinux]    [k] io_read
     1.43%     0.00%  iou-wrk-3232     [kernel.vmlinux]    [k] io_read
     1.43%     0.01%  iou-wrk-3212     [kernel.vmlinux]    [k] io_worker_handle_work
     1.43%     0.00%  iou-wrk-3198     [kernel.vmlinux]    [k] io_wq_submit_work
     1.43%     0.00%  iou-wrk-3226     [kernel.vmlinux]    [k] io_read
     1.43%     0.00%  iou-wrk-3197     [kernel.vmlinux]    [k] io_wq_submit_work
     1.43%     0.00%  iou-wrk-3198     [kernel.vmlinux]    [k] io_issue_sqe
     1.42%     0.01%  iou-wrk-3229     [kernel.vmlinux]    [k] io_read
     1.42%     0.00%  iou-wrk-3213     [kernel.vmlinux]    [k] io_wq_submit_work
     1.42%     0.01%  iou-wrk-3197     [kernel.vmlinux]    [k] io_issue_sqe
     1.42%     0.00%  iou-wrk-3206     [kernel.vmlinux]    [k] io_wq_submit_work
     1.42%     0.01%  iou-wrk-3213     [kernel.vmlinux]    [k] io_issue_sqe
     1.42%     0.00%  iou-wrk-3231     [kernel.vmlinux]    [k] io_wq_submit_work
     1.42%     0.00%  iou-wrk-3208     [kernel.vmlinux]    [k] io_wq_submit_work
     1.42%     0.01%  iou-wrk-3198     [kernel.vmlinux]    [k] io_read
     1.42%     0.00%  iou-wrk-3231     [kernel.vmlinux]    [k] io_issue_sqe
     1.42%     0.00%  iou-wrk-3206     [kernel.vmlinux]    [k] io_issue_sqe
     1.42%     0.00%  iou-wrk-3208     [kernel.vmlinux]    [k] io_issue_sqe
     1.42%     0.00%  iou-wrk-3222     [kernel.vmlinux]    [k] io_wq_submit_work
     1.42%     0.00%  iou-wrk-3218     [kernel.vmlinux]    [k] io_wq_submit_work
     1.42%     0.00%  iou-wrk-3197     [kernel.vmlinux]    [k] io_read
     1.42%     0.00%  iou-wrk-3222     [kernel.vmlinux]    [k] io_issue_sqe
     1.42%     0.00%  iou-wrk-3208     [kernel.vmlinux]    [k] io_read
     1.42%     0.01%  iou-wrk-3231     [kernel.vmlinux]    [k] io_read
     1.42%     0.00%  iou-wrk-3213     [kernel.vmlinux]    [k] io_read
     1.42%     0.00%  iou-wrk-3200     [kernel.vmlinux]    [k] io_wq_submit_work
     1.42%     0.00%  iou-wrk-3206     [kernel.vmlinux]    [k] io_read
     1.42%     0.01%  iou-wrk-3218     [kernel.vmlinux]    [k] io_issue_sqe
     1.41%     0.00%  iou-wrk-3217     [kernel.vmlinux]    [k] io_wq_submit_work
     1.41%     0.00%  iou-wrk-3224     [kernel.vmlinux]    [k] io_wq_submit_work
     1.41%     0.00%  iou-wrk-3217     [kernel.vmlinux]    [k] io_issue_sqe
     1.41%     0.00%  iou-wrk-3233     [kernel.vmlinux]    [k] io_wq_submit_work
     1.41%     0.00%  iou-wrk-3200     [kernel.vmlinux]    [k] io_issue_sqe
     1.41%     0.00%  iou-wrk-3222     [kernel.vmlinux]    [k] io_read
     1.41%     0.00%  iou-wrk-3214     [kernel.vmlinux]    [k] io_wq_submit_work
     1.41%     0.00%  iou-wrk-3224     [kernel.vmlinux]    [k] io_issue_sqe
     1.41%     0.00%  iou-wrk-3233     [kernel.vmlinux]    [k] io_issue_sqe
     1.41%     0.00%  iou-wrk-3220     [kernel.vmlinux]    [k] io_wq_submit_work
     1.41%     0.00%  iou-wrk-3214     [kernel.vmlinux]    [k] io_issue_sqe
     1.41%     0.01%  iou-wrk-3218     [kernel.vmlinux]    [k] io_read
     1.41%     0.00%  iou-wrk-3217     [kernel.vmlinux]    [k] io_read
     1.41%     0.00%  iou-wrk-3203     [kernel.vmlinux]    [k] io_wq_submit_work
     1.41%     0.00%  iou-wrk-3236     [kernel.vmlinux]    [k] io_wq_submit_work
     1.41%     0.00%  iou-wrk-3200     [kernel.vmlinux]    [k] io_read
     1.41%     0.00%  iou-wrk-3224     [kernel.vmlinux]    [k] io_read
     1.41%     0.00%  iou-wrk-3223     [kernel.vmlinux]    [k] io_wq_submit_work
     1.41%     0.00%  iou-wrk-3220     [kernel.vmlinux]    [k] io_issue_sqe
     1.41%     0.00%  iou-wrk-3203     [kernel.vmlinux]    [k] io_issue_sqe
     1.41%     0.01%  iou-wrk-3233     [kernel.vmlinux]    [k] io_read
     1.41%     0.00%  iou-wrk-3223     [kernel.vmlinux]    [k] io_issue_sqe
     1.41%     0.00%  iou-wrk-3236     [kernel.vmlinux]    [k] io_issue_sqe
     1.41%     0.00%  iou-wrk-3214     [kernel.vmlinux]    [k] io_read
     1.40%     0.01%  iou-wrk-3220     [kernel.vmlinux]    [k] io_read
     1.40%     0.00%  iou-wrk-3203     [kernel.vmlinux]    [k] io_read
     1.40%     0.00%  iou-wrk-3228     [kernel.vmlinux]    [k] io_wq_submit_work
     1.40%     0.00%  iou-wrk-3199     [kernel.vmlinux]    [k] io_wq_submit_work
     1.40%     0.01%  iou-wrk-3236     [kernel.vmlinux]    [k] io_read
     1.40%     0.00%  iou-wrk-3223     [kernel.vmlinux]    [k] io_read
     1.40%     0.00%  iou-wrk-3228     [kernel.vmlinux]    [k] io_issue_sqe
     1.40%     0.00%  iou-wrk-3227     [kernel.vmlinux]    [k] io_wq_submit_work
     1.40%     0.00%  iou-wrk-3199     [kernel.vmlinux]    [k] io_issue_sqe
     1.40%     0.03%  iou-wrk-3194     [kernel.vmlinux]    [k] filemap_read
     1.40%     0.00%  iou-wrk-3227     [kernel.vmlinux]    [k] io_issue_sqe
     1.40%     0.00%  iou-wrk-3228     [kernel.vmlinux]    [k] io_read
     1.40%     0.03%  iou-wrk-3234     [kernel.vmlinux]    [k] filemap_read
     1.40%     0.00%  iou-wrk-3199     [kernel.vmlinux]    [k] io_read
     1.39%     0.00%  iou-wrk-3227     [kernel.vmlinux]    [k] io_read
     1.39%     0.03%  iou-wrk-3204     [kernel.vmlinux]    [k] filemap_read
     1.39%     0.00%  iou-wrk-3196     [kernel.vmlinux]    [k] io_wq_submit_work
     1.39%     0.00%  iou-wrk-3235     [kernel.vmlinux]    [k] io_wq_submit_work
     1.39%     0.03%  iou-wrk-3230     [kernel.vmlinux]    [k] filemap_read
     1.39%     0.00%  iou-wrk-3225     [kernel.vmlinux]    [k] io_wq_submit_work
     1.39%     0.00%  iou-wrk-3235     [kernel.vmlinux]    [k] io_issue_sqe
     1.39%     0.01%  iou-wrk-3196     [kernel.vmlinux]    [k] io_issue_sqe
     1.39%     0.00%  iou-wrk-3225     [kernel.vmlinux]    [k] io_issue_sqe
     1.39%     0.00%  iou-wrk-3235     [kernel.vmlinux]    [k] io_read
     1.38%     0.03%  iou-wrk-3209     [kernel.vmlinux]    [k] filemap_read
     1.38%     0.00%  iou-wrk-3225     [kernel.vmlinux]    [k] io_read
     1.38%     0.00%  iou-wrk-3196     [kernel.vmlinux]    [k] io_read
     1.38%     0.00%  iou-wrk-3195     [kernel.vmlinux]    [k] io_wq_submit_work
     1.38%     0.03%  iou-wrk-3232     [kernel.vmlinux]    [k] filemap_read
     1.38%     0.03%  iou-wrk-3216     [kernel.vmlinux]    [k] filemap_read
     1.38%     0.03%  iou-wrk-3210     [kernel.vmlinux]    [k] filemap_read
     1.38%     0.00%  iou-wrk-3195     [kernel.vmlinux]    [k] io_issue_sqe
     1.38%     0.00%  iou-wrk-3219     [kernel.vmlinux]    [k] io_wq_submit_work
     1.38%     0.00%  iou-wrk-3205     [kernel.vmlinux]    [k] io_wq_submit_work
     1.38%     0.03%  iou-wrk-3229     [kernel.vmlinux]    [k] filemap_read
     1.38%     0.03%  iou-wrk-3226     [kernel.vmlinux]    [k] filemap_read
     1.38%     0.00%  iou-wrk-3219     [kernel.vmlinux]    [k] io_issue_sqe
     1.38%     0.00%  iou-wrk-3205     [kernel.vmlinux]    [k] io_issue_sqe
     1.37%     0.00%  iou-wrk-3195     [kernel.vmlinux]    [k] io_read
     1.37%     0.03%  iou-wrk-3198     [kernel.vmlinux]    [k] filemap_read
     1.37%     0.00%  iou-wrk-3219     [kernel.vmlinux]    [k] io_read
     1.37%     0.03%  iou-wrk-3197     [kernel.vmlinux]    [k] filemap_read
     1.37%     0.00%  iou-wrk-3205     [kernel.vmlinux]    [k] io_read
     1.37%     0.03%  iou-wrk-3231     [kernel.vmlinux]    [k] filemap_read
     1.37%     0.00%  iou-wrk-3221     [kernel.vmlinux]    [k] io_wq_submit_work
     1.37%     0.03%  iou-wrk-3208     [kernel.vmlinux]    [k] filemap_read
     1.37%     0.03%  iou-wrk-3206     [kernel.vmlinux]    [k] filemap_read
     1.37%     0.00%  iou-wrk-3221     [kernel.vmlinux]    [k] io_issue_sqe
     1.36%     0.03%  iou-wrk-3213     [kernel.vmlinux]    [k] filemap_read
     1.36%     0.03%  iou-wrk-3222     [kernel.vmlinux]    [k] filemap_read
     1.36%     0.00%  iou-wrk-3221     [kernel.vmlinux]    [k] io_read
     1.36%     0.00%  iou-wrk-3212     [kernel.vmlinux]    [k] io_wq_submit_work
     1.36%     0.03%  iou-wrk-3218     [kernel.vmlinux]    [k] filemap_read
     1.36%     0.00%  iou-wrk-3202     [kernel.vmlinux]    [k] io_wq_submit_work
     1.36%     0.00%  iou-wrk-3212     [kernel.vmlinux]    [k] io_issue_sqe
     1.36%     0.00%  iou-wrk-3202     [kernel.vmlinux]    [k] io_issue_sqe
     1.36%     0.03%  iou-wrk-3200     [kernel.vmlinux]    [k] filemap_read
     1.36%     0.03%  iou-wrk-3217     [kernel.vmlinux]    [k] filemap_read
     1.36%     0.03%  iou-wrk-3233     [kernel.vmlinux]    [k] filemap_read
     1.36%     0.03%  iou-wrk-3224     [kernel.vmlinux]    [k] filemap_read
     1.36%     0.03%  iou-wrk-3214     [kernel.vmlinux]    [k] filemap_read
     1.36%     0.03%  iou-wrk-3203     [kernel.vmlinux]    [k] filemap_read
     1.36%     0.00%  iou-wrk-3212     [kernel.vmlinux]    [k] io_read
     1.36%     0.00%  iou-wrk-3202     [kernel.vmlinux]    [k] io_read
     1.35%     0.00%  iou-wrk-3215     [kernel.vmlinux]    [k] io_wq_submit_work
     1.35%     0.03%  iou-wrk-3223     [kernel.vmlinux]    [k] filemap_read
     1.35%     0.03%  iou-wrk-3199     [kernel.vmlinux]    [k] filemap_read
     1.35%     0.03%  iou-wrk-3236     [kernel.vmlinux]    [k] filemap_read
     1.35%     0.00%  iou-wrk-3215     [kernel.vmlinux]    [k] io_issue_sqe
     1.35%     0.03%  iou-wrk-3220     [kernel.vmlinux]    [k] filemap_read
     1.35%     0.03%  iou-wrk-3227     [kernel.vmlinux]    [k] filemap_read
     1.35%     0.03%  iou-wrk-3228     [kernel.vmlinux]    [k] filemap_read
     1.35%     0.00%  iou-wrk-3215     [kernel.vmlinux]    [k] io_read
     1.34%     0.03%  iou-wrk-3235     [kernel.vmlinux]    [k] filemap_read
     1.34%     0.03%  iou-wrk-3225     [kernel.vmlinux]    [k] filemap_read
     1.33%     0.03%  iou-wrk-3196     [kernel.vmlinux]    [k] filemap_read
     1.33%     0.03%  iou-wrk-3195     [kernel.vmlinux]    [k] filemap_read
     1.33%     0.03%  iou-wrk-3205     [kernel.vmlinux]    [k] filemap_read
     1.32%     0.03%  iou-wrk-3219     [kernel.vmlinux]    [k] filemap_read
     1.32%     0.03%  iou-wrk-3221     [kernel.vmlinux]    [k] filemap_read
     1.31%     0.03%  iou-wrk-3202     [kernel.vmlinux]    [k] filemap_read
     1.31%     0.03%  iou-wrk-3212     [kernel.vmlinux]    [k] filemap_read
     1.30%     0.03%  iou-wrk-3215     [kernel.vmlinux]    [k] filemap_read
     1.21%     0.00%  iou-wrk-3194     [kernel.vmlinux]    [k] filemap_get_pages
     1.20%     0.00%  iou-wrk-3234     [kernel.vmlinux]    [k] filemap_get_pages
     1.20%     0.00%  iou-wrk-3204     [kernel.vmlinux]    [k] filemap_get_pages
     1.20%     0.00%  iou-wrk-3230     [kernel.vmlinux]    [k] filemap_get_pages
     1.20%     0.00%  iou-wrk-3209     [kernel.vmlinux]    [k] filemap_get_pages
