# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 43K of event 'cycles'
# Event count (approx.): 9102693993722
#
# Children      Self  Command          Shared Object     Symbol                                  
# ........  ........  ...............  ................  ........................................
#
     1.61%     0.00%  iou-wrk-3153     [kernel.vmlinux]  [k] io_wqe_worker
     1.61%     0.00%  iou-wrk-3153     [kernel.vmlinux]  [k] ret_from_fork
     1.60%     0.00%  iou-wrk-3161     [kernel.vmlinux]  [k] io_read
     1.60%     0.01%  iou-wrk-3136     [kernel.vmlinux]  [k] io_worker_handle_work
     1.60%     0.03%  iou-wrk-3137     [kernel.vmlinux]  [k] filemap_read
     1.60%     0.02%  iou-wrk-3163     [kernel.vmlinux]  [k] io_worker_handle_work
     1.59%     0.24%  fio              [kernel.vmlinux]  [k] pick_next_task_fair
     1.58%     0.03%  iou-wrk-3158     [kernel.vmlinux]  [k] filemap_read
     1.58%     0.01%  iou-wrk-3160     [kernel.vmlinux]  [k] io_worker_handle_work
     1.58%     0.02%  iou-wrk-3133     [kernel.vmlinux]  [k] io_worker_handle_work
     1.57%     0.03%  iou-wrk-3162     [kernel.vmlinux]  [k] filemap_read
     1.57%     0.00%  iou-wrk-3149     [kernel.vmlinux]  [k] io_issue_sqe
     1.57%     0.00%  iou-wrk-3149     [kernel.vmlinux]  [k] io_wq_submit_work
     1.56%     0.02%  iou-wrk-3148     [kernel.vmlinux]  [k] io_worker_handle_work
     1.56%     0.02%  iou-wrk-3149     [kernel.vmlinux]  [k] io_read
     1.56%     0.04%  iou-wrk-3151     [kernel.vmlinux]  [k] filemap_read
     1.55%     0.01%  iou-wrk-3127     [kernel.vmlinux]  [k] io_worker_handle_work
     1.55%     0.00%  iou-wrk-3143     [kernel.vmlinux]  [k] io_wq_submit_work
     1.54%     0.00%  iou-wrk-3143     [kernel.vmlinux]  [k] io_issue_sqe
     1.54%     0.01%  iou-wrk-3166     [kernel.vmlinux]  [k] io_wqe_worker
     1.54%     0.00%  iou-wrk-3166     [kernel.vmlinux]  [k] ret_from_fork
     1.54%     0.00%  iou-wrk-3143     [kernel.vmlinux]  [k] io_read
     1.54%     0.43%  fio              [kernel.vmlinux]  [k] enqueue_entity
     1.53%     0.03%  iou-wrk-3161     [kernel.vmlinux]  [k] filemap_read
     1.53%     0.00%  iou-wrk-3152     [kernel.vmlinux]  [k] io_wq_submit_work
     1.53%     0.01%  iou-wrk-3152     [kernel.vmlinux]  [k] io_issue_sqe
     1.53%     0.01%  iou-wrk-3139     [kernel.vmlinux]  [k] io_worker_handle_work
     1.52%     0.00%  iou-wrk-3152     [kernel.vmlinux]  [k] io_read
     1.52%     0.00%  iou-wrk-3133     [kernel.vmlinux]  [k] io_issue_sqe
     1.52%     0.00%  iou-wrk-3133     [kernel.vmlinux]  [k] io_wq_submit_work
     1.52%     0.01%  iou-wrk-3141     [kernel.vmlinux]  [k] io_worker_handle_work
     1.52%     0.00%  iou-wrk-3163     [kernel.vmlinux]  [k] io_issue_sqe
     1.52%     0.00%  iou-wrk-3163     [kernel.vmlinux]  [k] io_wq_submit_work
     1.52%     0.00%  iou-wrk-3133     [kernel.vmlinux]  [k] io_read
     1.52%     0.00%  iou-wrk-3136     [kernel.vmlinux]  [k] io_wq_submit_work
     1.52%     0.01%  iou-wrk-3163     [kernel.vmlinux]  [k] io_read
     1.51%     0.01%  iou-wrk-3136     [kernel.vmlinux]  [k] io_issue_sqe
     1.51%     0.00%  iou-wrk-3136     [kernel.vmlinux]  [k] io_read
     1.51%     0.01%  iou-wrk-3160     [kernel.vmlinux]  [k] io_issue_sqe
     1.51%     0.00%  iou-wrk-3160     [kernel.vmlinux]  [k] io_wq_submit_work
     1.50%     0.01%  iou-wrk-3142     [kernel.vmlinux]  [k] io_worker_handle_work
     1.50%     0.00%  iou-wrk-3160     [kernel.vmlinux]  [k] io_read
     1.50%     0.00%  iou-wrk-3130     [kernel.vmlinux]  [k] io_worker_handle_work
     1.50%     0.01%  iou-wrk-3138     [kernel.vmlinux]  [k] io_worker_handle_work
     1.49%     0.02%  iou-wrk-3152     [kernel.vmlinux]  [k] filemap_read
     1.49%     0.03%  iou-wrk-3149     [kernel.vmlinux]  [k] filemap_read
     1.49%     0.01%  iou-wrk-3165     [kernel.vmlinux]  [k] io_worker_handle_work
     1.49%     0.02%  iou-wrk-3143     [kernel.vmlinux]  [k] filemap_read
