# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 50663668354832
#
# Children      Self  Command          Shared Object               Symbol                                        
# ........  ........  ...............  ..........................  ..............................................
#
     1.34%     0.02%  iou-wrk-3244     [kernel.vmlinux]            [k] io_worker_handle_work
     1.33%     0.02%  iou-wrk-3233     [kernel.vmlinux]            [k] io_worker_handle_work
     1.33%     0.02%  iou-wrk-3250     [kernel.vmlinux]            [k] io_worker_handle_work
     1.33%     0.02%  iou-wrk-3253     [kernel.vmlinux]            [k] io_worker_handle_work
     1.32%     0.02%  iou-wrk-3259     [kernel.vmlinux]            [k] io_worker_handle_work
     1.32%     0.02%  iou-wrk-3255     [kernel.vmlinux]            [k] io_worker_handle_work
     1.32%     0.02%  iou-wrk-3226     [kernel.vmlinux]            [k] io_worker_handle_work
     1.32%     0.02%  iou-wrk-3236     [kernel.vmlinux]            [k] io_worker_handle_work
     1.32%     0.02%  iou-wrk-3225     [kernel.vmlinux]            [k] io_worker_handle_work
     1.32%     0.02%  iou-wrk-3254     [kernel.vmlinux]            [k] io_worker_handle_work
     1.31%     0.02%  iou-wrk-3256     [kernel.vmlinux]            [k] io_worker_handle_work
     1.31%     0.01%  iou-wrk-3241     [kernel.vmlinux]            [k] io_worker_handle_work
     1.31%     0.02%  iou-wrk-3240     [kernel.vmlinux]            [k] io_worker_handle_work
     1.31%     0.02%  iou-wrk-3234     [kernel.vmlinux]            [k] io_worker_handle_work
     1.31%     0.02%  iou-wrk-3258     [kernel.vmlinux]            [k] io_worker_handle_work
     1.31%     0.02%  iou-wrk-3223     [kernel.vmlinux]            [k] io_worker_handle_work
     1.31%     0.02%  iou-wrk-3252     [kernel.vmlinux]            [k] io_worker_handle_work
     1.31%     0.02%  iou-wrk-3245     [kernel.vmlinux]            [k] io_worker_handle_work
     1.31%     0.02%  iou-wrk-3228     [kernel.vmlinux]            [k] io_worker_handle_work
     1.31%     0.02%  iou-wrk-3249     [kernel.vmlinux]            [k] io_worker_handle_work
     1.31%     0.02%  iou-wrk-3246     [kernel.vmlinux]            [k] io_worker_handle_work
     1.30%     0.01%  iou-wrk-3239     [kernel.vmlinux]            [k] io_worker_handle_work
     1.30%     0.02%  iou-wrk-3229     [kernel.vmlinux]            [k] io_worker_handle_work
     1.30%     0.02%  iou-wrk-3247     [kernel.vmlinux]            [k] io_worker_handle_work
     1.30%     0.01%  iou-wrk-3251     [kernel.vmlinux]            [k] io_worker_handle_work
     1.30%     0.02%  iou-wrk-3235     [kernel.vmlinux]            [k] io_worker_handle_work
     1.30%     0.02%  iou-wrk-3224     [kernel.vmlinux]            [k] io_worker_handle_work
     1.30%     0.02%  iou-wrk-3227     [kernel.vmlinux]            [k] io_worker_handle_work
     1.30%     0.02%  iou-wrk-3221     [kernel.vmlinux]            [k] io_worker_handle_work
     1.30%     0.02%  iou-wrk-3243     [kernel.vmlinux]            [k] io_worker_handle_work
     1.29%     0.02%  iou-wrk-3257     [kernel.vmlinux]            [k] io_worker_handle_work
     1.29%     0.02%  iou-wrk-3231     [kernel.vmlinux]            [k] io_worker_handle_work
     1.29%     0.02%  iou-wrk-3248     [kernel.vmlinux]            [k] io_worker_handle_work
     1.28%     0.02%  iou-wrk-3230     [kernel.vmlinux]            [k] io_worker_handle_work
     1.28%     0.02%  iou-wrk-3232     [kernel.vmlinux]            [k] io_worker_handle_work
     1.28%     0.02%  iou-wrk-3222     [kernel.vmlinux]            [k] io_worker_handle_work
     1.28%     0.01%  iou-wrk-3238     [kernel.vmlinux]            [k] io_worker_handle_work
     1.26%     0.02%  iou-wrk-3237     [kernel.vmlinux]            [k] io_worker_handle_work
     1.25%     0.00%  kswapd0          [kernel.vmlinux]            [k] shrink_inactive_list
     1.25%     0.00%  iou-wrk-3260     [kernel.vmlinux]            [k] io_wq_submit_work
     1.24%     0.00%  iou-wrk-3242     [kernel.vmlinux]            [k] io_wq_submit_work
     1.24%     0.00%  iou-wrk-3260     [kernel.vmlinux]            [k] io_issue_sqe
     1.24%     0.00%  iou-wrk-3244     [kernel.vmlinux]            [k] io_wq_submit_work
     1.24%     0.00%  iou-wrk-3242     [kernel.vmlinux]            [k] io_issue_sqe
     1.24%     0.00%  iou-wrk-3244     [kernel.vmlinux]            [k] io_issue_sqe
     1.24%     0.01%  iou-wrk-3260     [kernel.vmlinux]            [k] io_read
     1.24%     0.00%  iou-wrk-3233     [kernel.vmlinux]            [k] io_wq_submit_work
     1.24%     0.01%  iou-wrk-3242     [kernel.vmlinux]            [k] io_read
     1.24%     0.00%  iou-wrk-3233     [kernel.vmlinux]            [k] io_issue_sqe
     1.24%     0.01%  iou-wrk-3244     [kernel.vmlinux]            [k] io_read
     1.23%     0.00%  iou-wrk-3253     [kernel.vmlinux]            [k] io_wq_submit_work
     1.23%     0.01%  iou-wrk-3233     [kernel.vmlinux]            [k] io_read
