# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 31979551606917
#
# Children      Self  Command          Shared Object               Symbol                                              
# ........  ........  ...............  ..........................  ....................................................
#
     2.21%     0.00%  iou-wrk-3114     [kernel.vmlinux]            [k] ret_from_fork
     2.21%     0.00%  iou-wrk-3124     [kernel.vmlinux]            [k] io_worker_handle_work
     2.21%     0.00%  iou-wrk-3094     [kernel.vmlinux]            [k] io_issue_sqe
     2.21%     0.00%  iou-wrk-3092     [kernel.vmlinux]            [k] io_read
     2.21%     0.01%  iou-wrk-3098     [kernel.vmlinux]            [k] io_worker_handle_work
     2.21%     0.00%  iou-wrk-3134     [kernel.vmlinux]            [k] io_read
     2.21%     0.00%  iou-wrk-3094     [kernel.vmlinux]            [k] io_read
     2.21%     0.00%  iou-wrk-3128     [kernel.vmlinux]            [k] io_wqe_worker
     2.21%     0.00%  iou-wrk-3128     [kernel.vmlinux]            [k] ret_from_fork
     2.21%     0.00%  iou-wrk-3106     [kernel.vmlinux]            [k] io_wq_submit_work
     2.21%     0.01%  iou-wrk-3101     [kernel.vmlinux]            [k] io_worker_handle_work
     2.20%     0.01%  iou-wrk-3091     [kernel.vmlinux]            [k] io_worker_handle_work
     2.20%     0.00%  iou-wrk-3106     [kernel.vmlinux]            [k] io_issue_sqe
     2.20%     0.01%  iou-wrk-3112     [kernel.vmlinux]            [k] io_worker_handle_work
     2.20%     0.01%  iou-wrk-3100     [kernel.vmlinux]            [k] io_worker_handle_work
     2.20%     0.00%  iou-wrk-3118     [kernel.vmlinux]            [k] io_wq_submit_work
     2.20%     0.00%  iou-wrk-3113     [kernel.vmlinux]            [k] io_wq_submit_work
     2.20%     0.00%  iou-wrk-3106     [kernel.vmlinux]            [k] io_read
     2.20%     0.02%  iou-wrk-3107     [kernel.vmlinux]            [k] filemap_read
     2.20%     0.00%  iou-wrk-3118     [kernel.vmlinux]            [k] io_issue_sqe
     2.20%     0.00%  iou-wrk-3113     [kernel.vmlinux]            [k] io_issue_sqe
     2.20%     0.01%  iou-wrk-3099     [kernel.vmlinux]            [k] io_worker_handle_work
     2.20%     0.00%  iou-wrk-3118     [kernel.vmlinux]            [k] io_read
     2.20%     0.02%  iou-wrk-3116     [kernel.vmlinux]            [k] filemap_read
     2.20%     0.01%  iou-wrk-3129     [kernel.vmlinux]            [k] io_worker_handle_work
     2.19%     0.00%  iou-wrk-3113     [kernel.vmlinux]            [k] io_read
