# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 35462259346850
#
# Children      Self  Command          Shared Object       Symbol                                        
# ........  ........  ...............  ..................  ..............................................
#
     1.02%     0.01%  iou-wrk-3118     [kernel.vmlinux]    [k] io_worker_handle_work
     1.02%     0.00%  iou-wrk-3163     [kernel.vmlinux]    [k] io_wq_submit_work
     1.02%     0.00%  iou-wrk-3152     [kernel.vmlinux]    [k] io_read
     1.02%     0.01%  iou-wrk-3155     [kernel.vmlinux]    [k] io_worker_handle_work
     1.02%     0.00%  iou-wrk-3122     [kernel.vmlinux]    [k] io_read
     1.02%     0.00%  iou-wrk-3133     [kernel.vmlinux]    [k] io_wq_submit_work
     1.02%     0.01%  iou-wrk-3119     [kernel.vmlinux]    [k] io_worker_handle_work
     1.02%     0.00%  iou-wrk-3116     [kernel.vmlinux]    [k] io_issue_sqe
     1.02%     0.01%  iou-wrk-3172     [kernel.vmlinux]    [k] io_worker_handle_work
     1.02%     0.00%  iou-wrk-3183     [kernel.vmlinux]    [k] io_issue_sqe
     1.02%     0.00%  iou-wrk-3176     [kernel.vmlinux]    [k] io_issue_sqe
     1.02%     0.01%  iou-wrk-3138     [kernel.vmlinux]    [k] io_worker_handle_work
     1.02%     0.00%  iou-wrk-3114     [kernel.vmlinux]    [k] io_issue_sqe
     1.02%     0.00%  iou-wrk-3159     [kernel.vmlinux]    [k] io_issue_sqe
     1.02%     0.00%  iou-wrk-3163     [kernel.vmlinux]    [k] io_issue_sqe
     1.02%     0.00%  iou-wrk-3133     [kernel.vmlinux]    [k] io_issue_sqe
     1.02%     0.01%  iou-wrk-3113     [kernel.vmlinux]    [k] io_worker_handle_work
     1.02%     0.00%  iou-wrk-3183     [kernel.vmlinux]    [k] io_read
     1.02%     0.00%  iou-wrk-3176     [kernel.vmlinux]    [k] io_read
     1.02%     0.00%  iou-wrk-3116     [kernel.vmlinux]    [k] io_read
     1.02%     0.01%  iou-wrk-3154     [kernel.vmlinux]    [k] io_worker_handle_work
     1.02%     0.00%  iou-wrk-3163     [kernel.vmlinux]    [k] io_read
     1.02%     0.00%  iou-wrk-3181     [kernel.vmlinux]    [k] io_wq_submit_work
     1.02%     0.00%  iou-wrk-3159     [kernel.vmlinux]    [k] io_read
     1.02%     0.00%  iou-wrk-3114     [kernel.vmlinux]    [k] io_read
     1.02%     0.00%  iou-wrk-3133     [kernel.vmlinux]    [k] io_read
     1.02%     0.00%  iou-wrk-3189     [kernel.vmlinux]    [k] io_wq_submit_work
     1.02%     0.00%  iou-wrk-3181     [kernel.vmlinux]    [k] io_issue_sqe
     1.01%     0.00%  iou-wrk-3184     [kernel.vmlinux]    [k] io_wq_submit_work
     1.01%     0.00%  iou-wrk-3181     [kernel.vmlinux]    [k] io_read
