# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 64155171953591
#
# Children      Self  Command          Shared Object       Symbol                                             
# ........  ........  ...............  ..................  ...................................................
#
     2.21%     0.02%  iou-wrk-2946     [kernel.vmlinux]    [k] filemap_read
     2.21%     0.01%  iou-wrk-2930     [kernel.vmlinux]    [k] io_worker_handle_work
     2.21%     0.01%  iou-wrk-2951     [kernel.vmlinux]    [k] io_worker_handle_work
     2.21%     0.00%  iou-wrk-2961     [kernel.vmlinux]    [k] io_read
     2.21%     0.01%  iou-wrk-2959     [kernel.vmlinux]    [k] io_worker_handle_work
     2.21%     0.01%  iou-wrk-2934     [kernel.vmlinux]    [k] io_worker_handle_work
     2.21%     0.01%  iou-wrk-2948     [kernel.vmlinux]    [k] io_worker_handle_work
     2.21%     0.00%  iou-wrk-2932     [kernel.vmlinux]    [k] io_wq_submit_work
     2.21%     0.00%  iou-wrk-2967     [kernel.vmlinux]    [k] io_wq_submit_work
     2.20%     0.00%  iou-wrk-2967     [kernel.vmlinux]    [k] io_issue_sqe
     2.20%     0.00%  iou-wrk-2947     [kernel.vmlinux]    [k] io_wq_submit_work
     2.20%     0.00%  iou-wrk-2932     [kernel.vmlinux]    [k] io_issue_sqe
     2.20%     0.00%  iou-wrk-2943     [kernel.vmlinux]    [k] io_wq_submit_work
     2.20%     0.00%  iou-wrk-2947     [kernel.vmlinux]    [k] io_issue_sqe
     2.20%     0.00%  iou-wrk-2967     [kernel.vmlinux]    [k] io_read
     2.20%     0.01%  iou-wrk-2954     [kernel.vmlinux]    [k] io_worker_handle_work
     2.20%     0.00%  iou-wrk-2932     [kernel.vmlinux]    [k] io_read
     2.20%     0.00%  iou-wrk-2943     [kernel.vmlinux]    [k] io_issue_sqe
     2.20%     0.00%  iou-wrk-2947     [kernel.vmlinux]    [k] io_read
     2.20%     0.00%  iou-wrk-2953     [kernel.vmlinux]    [k] io_wq_submit_work
