# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 32094324233218
#
# Children      Self  Command          Shared Object       Symbol                                              
# ........  ........  ...............  ..................  ....................................................
#
     2.21%     0.00%  iou-wrk-3667     [kernel.vmlinux]    [k] io_read
     2.20%     0.01%  iou-wrk-3660     [kernel.vmlinux]    [k] io_worker_handle_work
     2.20%     0.00%  iou-wrk-3649     [kernel.vmlinux]    [k] io_wq_submit_work
     2.20%     0.01%  iou-wrk-3627     [kernel.vmlinux]    [k] io_worker_handle_work
     2.20%     0.01%  iou-wrk-3647     [kernel.vmlinux]    [k] io_worker_handle_work
     2.20%     0.00%  iou-wrk-3649     [kernel.vmlinux]    [k] io_issue_sqe
     2.20%     0.00%  iou-wrk-3649     [kernel.vmlinux]    [k] io_read
     2.20%     0.00%  iou-wrk-3664     [kernel.vmlinux]    [k] io_worker_handle_work
     2.20%     0.00%  iou-wrk-3638     [kernel.vmlinux]    [k] io_wq_submit_work
     2.20%     0.01%  iou-wrk-3659     [kernel.vmlinux]    [k] io_worker_handle_work
     2.19%     0.00%  iou-wrk-3638     [kernel.vmlinux]    [k] io_issue_sqe
     2.19%     0.00%  iou-wrk-3638     [kernel.vmlinux]    [k] io_read
     2.19%     0.01%  iou-wrk-3656     [kernel.vmlinux]    [k] io_worker_handle_work
     2.19%     0.01%  iou-wrk-3663     [kernel.vmlinux]    [k] io_worker_handle_work
     2.19%     0.02%  iou-wrk-3653     [kernel.vmlinux]    [k] filemap_read
     2.19%     0.02%  iou-wrk-3645     [kernel.vmlinux]    [k] filemap_read
     2.18%     0.01%  iou-wrk-3661     [kernel.vmlinux]    [k] io_worker_handle_work
     2.18%     0.00%  iou-wrk-3643     [kernel.vmlinux]    [k] io_wq_submit_work
     2.18%     0.00%  iou-wrk-3648     [kernel.vmlinux]    [k] io_wq_submit_work
     2.18%     0.00%  iou-wrk-3643     [kernel.vmlinux]    [k] io_issue_sqe
     2.18%     0.00%  iou-wrk-3648     [kernel.vmlinux]    [k] io_issue_sqe
     2.18%     0.00%  iou-wrk-3643     [kernel.vmlinux]    [k] io_read
     2.18%     0.00%  iou-wrk-3648     [kernel.vmlinux]    [k] io_read
     2.18%     0.00%  iou-wrk-3665     [kernel.vmlinux]    [k] io_wq_submit_work
     2.18%     0.01%  iou-wrk-3644     [kernel.vmlinux]    [k] io_worker_handle_work
     2.18%     0.02%  iou-wrk-3628     [kernel.vmlinux]    [k] filemap_read
     2.17%     0.00%  iou-wrk-3641     [kernel.vmlinux]    [k] io_wq_submit_work
     2.17%     0.00%  iou-wrk-3665     [kernel.vmlinux]    [k] io_issue_sqe
     2.17%     0.01%  iou-wrk-3639     [kernel.vmlinux]    [k] io_worker_handle_work
     2.17%     0.01%  iou-wrk-3657     [kernel.vmlinux]    [k] io_worker_handle_work
     2.17%     0.00%  iou-wrk-3641     [kernel.vmlinux]    [k] io_issue_sqe
     2.17%     0.00%  iou-wrk-3665     [kernel.vmlinux]    [k] io_read
     2.17%     0.01%  iou-wrk-3635     [kernel.vmlinux]    [k] io_worker_handle_work
     2.17%     0.01%  iou-wrk-3630     [kernel.vmlinux]    [k] io_worker_handle_work
     2.17%     0.00%  iou-wrk-3641     [kernel.vmlinux]    [k] io_read
     2.17%     0.01%  iou-wrk-3640     [kernel.vmlinux]    [k] io_worker_handle_work
     2.17%     0.02%  iou-wrk-3629     [kernel.vmlinux]    [k] filemap_read
     2.17%     0.01%  iou-wrk-3634     [kernel.vmlinux]    [k] io_worker_handle_work
     2.17%     0.02%  iou-wrk-3667     [kernel.vmlinux]    [k] filemap_read
     2.16%     0.00%  iou-wrk-3627     [kernel.vmlinux]    [k] io_wq_submit_work
     2.16%     0.00%  iou-wrk-3627     [kernel.vmlinux]    [k] io_issue_sqe
     2.16%     0.00%  iou-wrk-3664     [kernel.vmlinux]    [k] io_wq_submit_work
     2.16%     0.00%  iou-wrk-3660     [kernel.vmlinux]    [k] io_wq_submit_work
     2.16%     0.00%  iou-wrk-3664     [kernel.vmlinux]    [k] io_issue_sqe
     2.16%     0.00%  iou-wrk-3627     [kernel.vmlinux]    [k] io_read
     2.16%     0.00%  iou-wrk-3660     [kernel.vmlinux]    [k] io_issue_sqe
     2.16%     0.02%  iou-wrk-3649     [kernel.vmlinux]    [k] filemap_read
     2.16%     0.00%  iou-wrk-3647     [kernel.vmlinux]    [k] io_wq_submit_work
     2.16%     0.00%  iou-wrk-3664     [kernel.vmlinux]    [k] io_read
     2.16%     0.00%  iou-wrk-3647     [kernel.vmlinux]    [k] io_issue_sqe
     2.16%     0.00%  iou-wrk-3660     [kernel.vmlinux]    [k] io_read
     2.16%     0.00%  iou-wrk-3659     [kernel.vmlinux]    [k] io_wq_submit_work
     2.16%     0.01%  iou-wrk-3650     [kernel.vmlinux]    [k] io_worker_handle_work
     2.16%     0.00%  iou-wrk-3647     [kernel.vmlinux]    [k] io_read
     2.15%     0.00%  iou-wrk-3659     [kernel.vmlinux]    [k] io_issue_sqe
     2.15%     0.01%  iou-wrk-3632     [kernel.vmlinux]    [k] io_worker_handle_work
     2.15%     0.00%  iou-wrk-3656     [kernel.vmlinux]    [k] io_wq_submit_work
     2.15%     0.00%  iou-wrk-3659     [kernel.vmlinux]    [k] io_read
     2.15%     0.02%  iou-wrk-3638     [kernel.vmlinux]    [k] filemap_read
     2.15%     0.00%  iou-wrk-3656     [kernel.vmlinux]    [k] io_issue_sqe
     2.15%     0.00%  iou-wrk-3663     [kernel.vmlinux]    [k] io_wq_submit_work
     2.15%     0.00%  iou-wrk-3656     [kernel.vmlinux]    [k] io_read
     2.15%     0.00%  iou-wrk-3663     [kernel.vmlinux]    [k] io_issue_sqe
     2.14%     0.01%  iou-wrk-3666     [kernel.vmlinux]    [k] io_worker_handle_work
     2.14%     0.00%  iou-wrk-3663     [kernel.vmlinux]    [k] io_read
     2.14%     0.00%  iou-wrk-3661     [kernel.vmlinux]    [k] io_wq_submit_work
     2.14%     0.02%  iou-wrk-3648     [kernel.vmlinux]    [k] filemap_read
     2.14%     0.00%  iou-wrk-3661     [kernel.vmlinux]    [k] io_issue_sqe
     2.14%     0.00%  iou-wrk-3661     [kernel.vmlinux]    [k] io_read
     2.14%     0.00%  iou-wrk-3644     [kernel.vmlinux]    [k] io_wq_submit_work
     2.14%     0.02%  iou-wrk-3643     [kernel.vmlinux]    [k] filemap_read
     2.14%     0.00%  iou-wrk-3639     [kernel.vmlinux]    [k] io_wq_submit_work
     2.14%     0.02%  iou-wrk-3665     [kernel.vmlinux]    [k] filemap_read
     2.14%     0.00%  iou-wrk-3644     [kernel.vmlinux]    [k] io_issue_sqe
     2.14%     0.00%  iou-wrk-3639     [kernel.vmlinux]    [k] io_issue_sqe
     2.14%     0.01%  iou-wrk-3636     [kernel.vmlinux]    [k] io_worker_handle_work
     2.14%     0.00%  iou-wrk-3657     [kernel.vmlinux]    [k] io_wq_submit_work
     2.13%     0.00%  iou-wrk-3644     [kernel.vmlinux]    [k] io_read
     2.13%     0.00%  iou-wrk-3635     [kernel.vmlinux]    [k] io_wq_submit_work
     2.13%     0.00%  iou-wrk-3630     [kernel.vmlinux]    [k] io_wq_submit_work
     2.13%     0.00%  iou-wrk-3657     [kernel.vmlinux]    [k] io_issue_sqe
     2.13%     0.00%  iou-wrk-3640     [kernel.vmlinux]    [k] io_wq_submit_work
     2.13%     0.00%  iou-wrk-3630     [kernel.vmlinux]    [k] io_issue_sqe
     2.13%     0.00%  iou-wrk-3639     [kernel.vmlinux]    [k] io_read
     2.13%     0.00%  iou-wrk-3635     [kernel.vmlinux]    [k] io_issue_sqe
     2.13%     0.02%  iou-wrk-3641     [kernel.vmlinux]    [k] filemap_read
     2.13%     0.00%  iou-wrk-3657     [kernel.vmlinux]    [k] io_read
     2.13%     0.00%  iou-wrk-3640     [kernel.vmlinux]    [k] io_issue_sqe
     2.13%     0.00%  iou-wrk-3634     [kernel.vmlinux]    [k] io_wq_submit_work
     2.13%     0.00%  iou-wrk-3635     [kernel.vmlinux]    [k] io_read
     2.13%     0.00%  iou-wrk-3630     [kernel.vmlinux]    [k] io_read
     2.13%     0.00%  iou-wrk-3640     [kernel.vmlinux]    [k] io_read
     2.13%     0.01%  iou-wrk-3626     [kernel.vmlinux]    [k] io_worker_handle_work
     2.13%     0.00%  iou-wrk-3634     [kernel.vmlinux]    [k] io_issue_sqe
     2.13%     0.00%  iou-wrk-3634     [kernel.vmlinux]    [k] io_read
     2.13%     0.02%  iou-wrk-3627     [kernel.vmlinux]    [k] filemap_read
     2.12%     0.01%  iou-wrk-3655     [kernel.vmlinux]    [k] io_worker_handle_work
     2.12%     0.01%  iou-wrk-3652     [kernel.vmlinux]    [k] io_worker_handle_work
     2.12%     0.02%  iou-wrk-3664     [kernel.vmlinux]    [k] filemap_read
     2.12%     0.00%  iou-wrk-3650     [kernel.vmlinux]    [k] io_wq_submit_work
     2.12%     0.00%  iou-wrk-3632     [kernel.vmlinux]    [k] io_wq_submit_work
