# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 31618580708647
#
# Children      Self  Command          Shared Object         Symbol                                        
# ........  ........  ...............  ....................  ..............................................
#
     1.17%     0.01%  iou-wrk-3037     [kernel.vmlinux]      [k] io_worker_handle_work
     1.17%     0.01%  iou-wrk-3101     [kernel.vmlinux]      [k] io_worker_handle_work
     1.17%     0.00%  iou-wrk-3095     [kernel.vmlinux]      [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3095     [kernel.vmlinux]      [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3068     [kernel.vmlinux]      [k] io_wq_submit_work
     1.17%     0.00%  iou-wrk-3100     [kernel.vmlinux]      [k] io_issue_sqe
     1.17%     0.00%  iou-wrk-3104     [kernel.vmlinux]      [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3104     [kernel.vmlinux]      [k] ret_from_fork
     1.17%     0.01%  iou-wrk-3034     [kernel.vmlinux]      [k] io_worker_handle_work
     1.17%     0.00%  iou-wrk-3100     [kernel.vmlinux]      [k] io_read
     1.17%     0.00%  iou-wrk-3045     [kernel.vmlinux]      [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3045     [kernel.vmlinux]      [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3075     [kernel.vmlinux]      [k] io_wq_submit_work
     1.17%     0.00%  iou-wrk-3068     [kernel.vmlinux]      [k] io_issue_sqe
     1.17%     0.00%  iou-wrk-3038     [kernel.vmlinux]      [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3038     [kernel.vmlinux]      [k] ret_from_fork
     1.17%     0.01%  iou-wrk-3057     [kernel.vmlinux]      [k] io_worker_handle_work
     1.17%     0.00%  iou-wrk-3050     [kernel.vmlinux]      [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3050     [kernel.vmlinux]      [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3055     [kernel.vmlinux]      [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3055     [kernel.vmlinux]      [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3068     [kernel.vmlinux]      [k] io_read
     1.16%     0.00%  iou-wrk-3029     [kernel.vmlinux]      [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3029     [kernel.vmlinux]      [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3089     [kernel.vmlinux]      [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3089     [kernel.vmlinux]      [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3102     [kernel.vmlinux]      [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3102     [kernel.vmlinux]      [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3075     [kernel.vmlinux]      [k] io_issue_sqe
     1.16%     0.00%  iou-wrk-3087     [kernel.vmlinux]      [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3087     [kernel.vmlinux]      [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3043     [kernel.vmlinux]      [k] io_wq_submit_work
     1.16%     0.00%  iou-wrk-3098     [kernel.vmlinux]      [k] io_wqe_worker
