# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 32050145111127
#
# Children      Self  Command          Shared Object       Symbol                                        
# ........  ........  ...............  ..................  ..............................................
#
     1.17%     0.00%  iou-wrk-3310     [kernel.vmlinux]    [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3271     [kernel.vmlinux]    [k] io_issue_sqe
     1.17%     0.00%  iou-wrk-3296     [kernel.vmlinux]    [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3296     [kernel.vmlinux]    [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3321     [kernel.vmlinux]    [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3321     [kernel.vmlinux]    [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3299     [kernel.vmlinux]    [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3299     [kernel.vmlinux]    [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3329     [kernel.vmlinux]    [k] io_issue_sqe
     1.16%     0.00%  iou-wrk-3325     [kernel.vmlinux]    [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3325     [kernel.vmlinux]    [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3271     [kernel.vmlinux]    [k] io_read
     1.16%     0.00%  iou-wrk-3308     [kernel.vmlinux]    [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3308     [kernel.vmlinux]    [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3293     [kernel.vmlinux]    [k] io_wq_submit_work
     1.16%     0.01%  iou-wrk-3288     [kernel.vmlinux]    [k] io_worker_handle_work
     1.16%     0.00%  iou-wrk-3329     [kernel.vmlinux]    [k] io_read
     1.16%     0.00%  iou-wrk-3293     [kernel.vmlinux]    [k] io_issue_sqe
     1.16%     0.00%  iou-wrk-3274     [kernel.vmlinux]    [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3274     [kernel.vmlinux]    [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3331     [kernel.vmlinux]    [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3331     [kernel.vmlinux]    [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3317     [kernel.vmlinux]    [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3317     [kernel.vmlinux]    [k] ret_from_fork
