# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 721K of event 'cycles'
# Event count (approx.): 64064804027726
#
# Children      Self  Command          Shared Object       Symbol                                 
# ........  ........  ...............  ..................  .......................................
#
     0.88%     0.00%  iou-wrk-3452     [kernel.vmlinux]    [k] ret_from_fork
     0.88%     0.01%  iou-wrk-3420     [kernel.vmlinux]    [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3420     [kernel.vmlinux]    [k] ret_from_fork
     0.88%     0.01%  iou-wrk-3461     [kernel.vmlinux]    [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3461     [kernel.vmlinux]    [k] ret_from_fork
     0.88%     0.01%  iou-wrk-3458     [kernel.vmlinux]    [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3458     [kernel.vmlinux]    [k] ret_from_fork
     0.88%     0.01%  iou-wrk-3432     [kernel.vmlinux]    [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3432     [kernel.vmlinux]    [k] ret_from_fork
     0.88%     0.01%  iou-wrk-3454     [kernel.vmlinux]    [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3454     [kernel.vmlinux]    [k] ret_from_fork
     0.88%     0.01%  iou-wrk-3401     [kernel.vmlinux]    [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3401     [kernel.vmlinux]    [k] ret_from_fork
     0.88%     0.01%  iou-wrk-3396     [kernel.vmlinux]    [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3396     [kernel.vmlinux]    [k] ret_from_fork
     0.88%     0.01%  iou-wrk-3413     [kernel.vmlinux]    [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3413     [kernel.vmlinux]    [k] ret_from_fork
     0.88%     0.01%  iou-wrk-3430     [kernel.vmlinux]    [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3430     [kernel.vmlinux]    [k] ret_from_fork
     0.88%     0.01%  iou-wrk-3399     [kernel.vmlinux]    [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3399     [kernel.vmlinux]    [k] ret_from_fork
     0.88%     0.01%  iou-wrk-3443     [kernel.vmlinux]    [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3443     [kernel.vmlinux]    [k] ret_from_fork
     0.87%     0.01%  iou-wrk-3435     [kernel.vmlinux]    [k] io_wqe_worker
     0.87%     0.00%  iou-wrk-3435     [kernel.vmlinux]    [k] ret_from_fork
     0.87%     0.01%  iou-wrk-3451     [kernel.vmlinux]    [k] io_wqe_worker
     0.87%     0.00%  iou-wrk-3451     [kernel.vmlinux]    [k] ret_from_fork
     0.87%     0.01%  iou-wrk-3445     [kernel.vmlinux]    [k] io_wqe_worker
     0.87%     0.00%  iou-wrk-3445     [kernel.vmlinux]    [k] ret_from_fork
     0.87%     0.01%  iou-wrk-3456     [kernel.vmlinux]    [k] io_wqe_worker
     0.87%     0.00%  iou-wrk-3456     [kernel.vmlinux]    [k] ret_from_fork
     0.87%     0.01%  iou-wrk-3394     [kernel.vmlinux]    [k] io_wqe_worker
     0.87%     0.00%  iou-wrk-3394     [kernel.vmlinux]    [k] ret_from_fork
     0.87%     0.01%  iou-wrk-3422     [kernel.vmlinux]    [k] io_wqe_worker
     0.87%     0.00%  iou-wrk-3422     [kernel.vmlinux]    [k] ret_from_fork
     0.87%     0.01%  iou-wrk-3438     [kernel.vmlinux]    [k] io_wqe_worker
     0.87%     0.00%  iou-wrk-3438     [kernel.vmlinux]    [k] ret_from_fork
     0.87%     0.01%  iou-wrk-3402     [kernel.vmlinux]    [k] io_wqe_worker
     0.87%     0.00%  iou-wrk-3402     [kernel.vmlinux]    [k] ret_from_fork
     0.87%     0.01%  iou-wrk-3417     [kernel.vmlinux]    [k] io_wqe_worker
     0.87%     0.00%  iou-wrk-3417     [kernel.vmlinux]    [k] ret_from_fork
     0.87%     0.01%  iou-wrk-3397     [kernel.vmlinux]    [k] io_wqe_worker
     0.87%     0.00%  iou-wrk-3397     [kernel.vmlinux]    [k] ret_from_fork
     0.87%     0.01%  iou-wrk-3419     [kernel.vmlinux]    [k] io_wqe_worker
     0.87%     0.00%  iou-wrk-3419     [kernel.vmlinux]    [k] ret_from_fork
     0.87%     0.01%  iou-wrk-3385     [kernel.vmlinux]    [k] io_wqe_worker
     0.87%     0.00%  iou-wrk-3385     [kernel.vmlinux]    [k] ret_from_fork
     0.87%     0.01%  iou-wrk-3404     [kernel.vmlinux]    [k] io_wqe_worker
     0.87%     0.00%  iou-wrk-3404     [kernel.vmlinux]    [k] ret_from_fork
     0.87%     0.01%  iou-wrk-3423     [kernel.vmlinux]    [k] io_wqe_worker
     0.87%     0.00%  iou-wrk-3423     [kernel.vmlinux]    [k] ret_from_fork
