# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 720K of event 'cycles'
# Event count (approx.): 63497295424487
#
# Children      Self  Command          Shared Object       Symbol                                          
# ........  ........  ...............  ..................  ................................................
#
     0.87%     0.00%  iou-wrk-3230     [kernel.vmlinux]    [k] ret_from_fork
     0.87%     0.00%  iou-wrk-3210     [kernel.vmlinux]    [k] io_wqe_worker
     0.87%     0.00%  iou-wrk-3210     [kernel.vmlinux]    [k] ret_from_fork
     0.87%     0.01%  iou-wrk-3166     [kernel.vmlinux]    [k] io_wqe_worker
     0.87%     0.00%  iou-wrk-3166     [kernel.vmlinux]    [k] ret_from_fork
     0.87%     0.01%  iou-wrk-3196     [kernel.vmlinux]    [k] io_wqe_worker
     0.87%     0.00%  iou-wrk-3196     [kernel.vmlinux]    [k] ret_from_fork
     0.87%     0.00%  iou-wrk-3183     [kernel.vmlinux]    [k] io_wqe_worker
     0.87%     0.00%  iou-wrk-3183     [kernel.vmlinux]    [k] ret_from_fork
     0.87%     0.01%  iou-wrk-3188     [kernel.vmlinux]    [k] io_wqe_worker
     0.87%     0.00%  iou-wrk-3188     [kernel.vmlinux]    [k] ret_from_fork
     0.87%     0.01%  iou-wrk-3223     [kernel.vmlinux]    [k] io_wqe_worker
     0.87%     0.00%  iou-wrk-3223     [kernel.vmlinux]    [k] ret_from_fork
     0.86%     0.01%  iou-wrk-3176     [kernel.vmlinux]    [k] io_wqe_worker
     0.86%     0.00%  iou-wrk-3176     [kernel.vmlinux]    [k] ret_from_fork
     0.86%     0.01%  iou-wrk-3155     [kernel.vmlinux]    [k] io_wqe_worker
     0.86%     0.00%  iou-wrk-3155     [kernel.vmlinux]    [k] ret_from_fork
     0.86%     0.01%  iou-wrk-3193     [kernel.vmlinux]    [k] io_wqe_worker
     0.86%     0.00%  iou-wrk-3193     [kernel.vmlinux]    [k] ret_from_fork
     0.86%     0.01%  iou-wrk-3169     [kernel.vmlinux]    [k] io_wqe_worker
     0.86%     0.00%  iou-wrk-3169     [kernel.vmlinux]    [k] ret_from_fork
     0.86%     0.01%  iou-wrk-3189     [kernel.vmlinux]    [k] io_wqe_worker
     0.86%     0.00%  iou-wrk-3189     [kernel.vmlinux]    [k] ret_from_fork
     0.86%     0.01%  iou-wrk-3197     [kernel.vmlinux]    [k] io_wqe_worker
     0.86%     0.00%  iou-wrk-3197     [kernel.vmlinux]    [k] ret_from_fork
     0.86%     0.01%  iou-wrk-3182     [kernel.vmlinux]    [k] io_wqe_worker
     0.86%     0.00%  iou-wrk-3182     [kernel.vmlinux]    [k] ret_from_fork
     0.86%     0.01%  iou-wrk-3227     [kernel.vmlinux]    [k] io_wqe_worker
     0.86%     0.00%  iou-wrk-3227     [kernel.vmlinux]    [k] ret_from_fork
     0.86%     0.01%  iou-wrk-3160     [kernel.vmlinux]    [k] io_wqe_worker
     0.86%     0.00%  iou-wrk-3160     [kernel.vmlinux]    [k] ret_from_fork
     0.86%     0.00%  iou-wrk-3224     [kernel.vmlinux]    [k] io_wqe_worker
     0.86%     0.00%  iou-wrk-3224     [kernel.vmlinux]    [k] ret_from_fork
     0.86%     0.01%  iou-wrk-3159     [kernel.vmlinux]    [k] io_wqe_worker
     0.86%     0.00%  iou-wrk-3159     [kernel.vmlinux]    [k] ret_from_fork
     0.86%     0.01%  iou-wrk-3190     [kernel.vmlinux]    [k] io_wqe_worker
     0.86%     0.00%  iou-wrk-3190     [kernel.vmlinux]    [k] ret_from_fork
     0.86%     0.01%  iou-wrk-3211     [kernel.vmlinux]    [k] io_wqe_worker
     0.86%     0.00%  iou-wrk-3211     [kernel.vmlinux]    [k] ret_from_fork
