# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 31306094655244
#
# Children      Self  Command          Shared Object               Symbol                                       
# ........  ........  ...............  ..........................  .............................................
#
     2.16%     0.00%  iou-wrk-3008     [kernel.vmlinux]            [k] io_wq_submit_work
     2.16%     0.00%  iou-wrk-3032     [kernel.vmlinux]            [k] io_issue_sqe
     2.16%     0.01%  iou-wrk-3006     [kernel.vmlinux]            [k] io_worker_handle_work
     2.16%     0.00%  iou-wrk-3008     [kernel.vmlinux]            [k] io_issue_sqe
     2.16%     0.00%  iou-wrk-3030     [kernel.vmlinux]            [k] io_wq_submit_work
     2.16%     0.00%  iou-wrk-3032     [kernel.vmlinux]            [k] io_read
     2.16%     0.00%  iou-wrk-3030     [kernel.vmlinux]            [k] io_issue_sqe
     2.16%     0.02%  iou-wrk-3007     [kernel.vmlinux]            [k] filemap_read
     2.15%     0.00%  iou-wrk-3008     [kernel.vmlinux]            [k] io_read
     2.15%     0.00%  iou-wrk-3030     [kernel.vmlinux]            [k] io_read
     2.15%     0.01%  iou-wrk-3005     [kernel.vmlinux]            [k] io_worker_handle_work
     2.15%     0.02%  iou-wrk-3011     [kernel.vmlinux]            [k] filemap_read
     2.15%     0.01%  iou-wrk-3025     [kernel.vmlinux]            [k] io_worker_handle_work
     2.15%     0.02%  iou-wrk-3041     [kernel.vmlinux]            [k] filemap_read
     2.14%     0.00%  iou-wrk-3010     [kernel.vmlinux]            [k] io_wq_submit_work
     2.14%     0.02%  iou-wrk-3019     [kernel.vmlinux]            [k] filemap_read
     2.14%     0.00%  iou-wrk-3010     [kernel.vmlinux]            [k] io_issue_sqe
     2.14%     0.00%  iou-wrk-3010     [kernel.vmlinux]            [k] io_read
     2.14%     0.02%  iou-wrk-3026     [kernel.vmlinux]            [k] filemap_read
     2.14%     0.02%  iou-wrk-3039     [kernel.vmlinux]            [k] filemap_read
     2.14%     0.02%  iou-wrk-3014     [kernel.vmlinux]            [k] filemap_read
     2.13%     0.01%  iou-wrk-3027     [kernel.vmlinux]            [k] io_worker_handle_work
