# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 11K of event 'cycles'
# Event count (approx.): 2398592790048
#
# Children      Self  Command          Shared Object     Symbol                                         
# ........  ........  ...............  ................  ...............................................
#
     1.03%     0.00%  iou-wrk-3061     [kernel.vmlinux]  [k] io_issue_sqe
     1.03%     0.00%  iou-wrk-3061     [kernel.vmlinux]  [k] io_read
     1.03%     0.04%  iou-wrk-3070     [kernel.vmlinux]  [k] filemap_read
     1.01%     0.01%  iou-wrk-3064     [kernel.vmlinux]  [k] io_read
     1.01%     0.00%  iou-wrk-3064     [kernel.vmlinux]  [k] io_issue_sqe
     1.01%     0.00%  iou-wrk-3064     [kernel.vmlinux]  [k] io_wq_submit_work
     1.01%     0.00%  iou-wrk-3080     [kernel.vmlinux]  [k] io_wqe_worker
     1.01%     0.00%  iou-wrk-3080     [kernel.vmlinux]  [k] ret_from_fork
     1.01%     0.00%  iou-wrk-3081     [kernel.vmlinux]  [k] io_worker_handle_work
     1.00%     0.01%  iou-wrk-3067     [kernel.vmlinux]  [k] io_issue_sqe
     1.00%     0.00%  iou-wrk-3067     [kernel.vmlinux]  [k] io_wq_submit_work
     1.00%     0.05%  fio              [kernel.vmlinux]  [k] ttwu_do_wakeup
     1.00%     0.24%  iou-wrk-3067     [kernel.vmlinux]  [k] io_read
     0.99%     0.01%  iou-wrk-3060     [kernel.vmlinux]  [k] io_wqe_worker
     0.99%     0.00%  iou-wrk-3060     [kernel.vmlinux]  [k] ret_from_fork
     0.99%     0.13%  fio              [kernel.vmlinux]  [k] put_prev_entity
     0.99%     0.02%  iou-wrk-3083     [kernel.vmlinux]  [k] io_worker_handle_work
     0.99%     0.04%  iou-wrk-3068     [kernel.vmlinux]  [k] filemap_read
     0.99%     0.02%  iou-wrk-3075     [kernel.vmlinux]  [k] io_worker_handle_work
     0.99%     0.00%  iou-wrk-3077     [kernel.vmlinux]  [k] io_issue_sqe
     0.99%     0.00%  iou-wrk-3077     [kernel.vmlinux]  [k] io_read
     0.99%     0.00%  iou-wrk-3077     [kernel.vmlinux]  [k] io_wq_submit_work
     0.98%     0.63%  fio              [kernel.vmlinux]  [k] reweight_entity
     0.98%     0.07%  iou-wrk-3074     [kernel.vmlinux]  [k] filemap_read
     0.98%     0.11%  fio              [kernel.vmlinux]  [k] check_preempt_curr
     0.98%     0.31%  iou-wrk-3061     [kernel.vmlinux]  [k] filemap_read
     0.98%     0.97%  fio              [kernel.vmlinux]  [k] available_idle_cpu
     0.97%     0.01%  iou-wrk-3056     [kernel.vmlinux]  [k] io_read
     0.97%     0.00%  iou-wrk-3056     [kernel.vmlinux]  [k] io_issue_sqe
     0.97%     0.00%  iou-wrk-3056     [kernel.vmlinux]  [k] io_wq_submit_work
     0.97%     0.02%  iou-wrk-3082     [kernel.vmlinux]  [k] io_worker_handle_work
     0.97%     0.07%  iou-wrk-3085     [kernel.vmlinux]  [k] filemap_read
     0.97%     0.01%  iou-wrk-3049     [kernel.vmlinux]  [k] io_wq_submit_work
     0.96%     0.01%  iou-wrk-3076     [kernel.vmlinux]  [k] io_issue_sqe
     0.96%     0.00%  iou-wrk-3076     [kernel.vmlinux]  [k] io_wq_submit_work
     0.96%     0.01%  iou-wrk-3057     [kernel.vmlinux]  [k] io_worker_handle_work
     0.96%     0.01%  iou-wrk-3049     [kernel.vmlinux]  [k] io_issue_sqe
     0.95%     0.00%  iou-wrk-3076     [kernel.vmlinux]  [k] io_read
     0.95%     0.01%  iou-wrk-3049     [kernel.vmlinux]  [k] io_read
     0.94%     0.03%  iou-wrk-3077     [kernel.vmlinux]  [k] filemap_read
     0.94%     0.02%  iou-wrk-3055     [kernel.vmlinux]  [k] io_worker_handle_work
     0.94%     0.05%  iou-wrk-3065     [kernel.vmlinux]  [k] filemap_read
     0.93%     0.02%  iou-wrk-3059     [kernel.vmlinux]  [k] io_worker_handle_work
     0.92%     0.01%  iou-wrk-3071     [kernel.vmlinux]  [k] io_issue_sqe
     0.92%     0.00%  iou-wrk-3071     [kernel.vmlinux]  [k] io_wq_submit_work
     0.91%     0.02%  iou-wrk-3052     [kernel.vmlinux]  [k] io_worker_handle_work
     0.91%     0.00%  iou-wrk-3082     [kernel.vmlinux]  [k] io_issue_sqe
     0.91%     0.00%  iou-wrk-3082     [kernel.vmlinux]  [k] io_read
     0.91%     0.00%  iou-wrk-3082     [kernel.vmlinux]  [k] io_wq_submit_work
     0.91%     0.00%  iou-wrk-3071     [kernel.vmlinux]  [k] io_read
     0.91%     0.57%  fio              [kernel.vmlinux]  [k] psi_task_switch
     0.90%     0.00%  iou-wrk-3051     [kernel.vmlinux]  [k] io_worker_handle_work
     0.90%     0.01%  iou-wrk-3062     [kernel.vmlinux]  [k] io_worker_handle_work
     0.90%     0.01%  iou-wrk-3086     [kernel.vmlinux]  [k] io_worker_handle_work
     0.90%     0.02%  iou-wrk-3048     [kernel.vmlinux]  [k] io_worker_handle_work
     0.90%     0.02%  iou-wrk-3076     [kernel.vmlinux]  [k] filemap_read
     0.89%     0.01%  iou-wrk-3057     [kernel.vmlinux]  [k] io_read
     0.89%     0.00%  iou-wrk-3057     [kernel.vmlinux]  [k] io_issue_sqe
     0.89%     0.00%  iou-wrk-3057     [kernel.vmlinux]  [k] io_wq_submit_work
     0.89%     0.05%  iou-wrk-3082     [kernel.vmlinux]  [k] filemap_read
     0.88%     0.02%  iou-wrk-3081     [kernel.vmlinux]  [k] io_read
     0.88%     0.00%  iou-wrk-3081     [kernel.vmlinux]  [k] io_issue_sqe
     0.88%     0.00%  iou-wrk-3081     [kernel.vmlinux]  [k] io_wq_submit_work
     0.88%     0.03%  iou-wrk-3063     [kernel.vmlinux]  [k] io_worker_handle_work
     0.88%     0.03%  iou-wrk-3049     [kernel.vmlinux]  [k] filemap_read
     0.88%     0.01%  iou-wrk-3054     [kernel.vmlinux]  [k] io_worker_handle_work
     0.88%     0.01%  iou-wrk-3075     [kernel.vmlinux]  [k] io_read
     0.88%     0.00%  iou-wrk-3075     [kernel.vmlinux]  [k] io_issue_sqe
     0.88%     0.00%  iou-wrk-3075     [kernel.vmlinux]  [k] io_wq_submit_work
     0.88%     0.02%  iou-wrk-3050     [kernel.vmlinux]  [k] io_worker_handle_work
     0.87%     0.02%  iou-wrk-3056     [kernel.vmlinux]  [k] filemap_read
     0.87%     0.00%  iou-wrk-3072     [kernel.vmlinux]  [k] io_read
     0.86%     0.00%  iou-wrk-3059     [kernel.vmlinux]  [k] schedule_timeout
     0.86%     0.00%  kswapd0          [kernel.vmlinux]  [k] balance_pgdat
     0.86%     0.00%  kswapd0          [kernel.vmlinux]  [k] kswapd
     0.86%     0.00%  kswapd0          [kernel.vmlinux]  [k] kthread
     0.86%     0.00%  kswapd0          [kernel.vmlinux]  [k] ret_from_fork
     0.86%     0.00%  kswapd0          [kernel.vmlinux]  [k] shrink_node
     0.85%     0.00%  iou-wrk-3083     [kernel.vmlinux]  [k] io_issue_sqe
     0.85%     0.00%  iou-wrk-3083     [kernel.vmlinux]  [k] io_read
     0.85%     0.00%  iou-wrk-3083     [kernel.vmlinux]  [k] io_wq_submit_work
     0.85%     0.06%  swapper          [kernel.vmlinux]  [k] __schedule
     0.85%     0.00%  swapper          [kernel.vmlinux]  [k] schedule_idle
     0.85%     0.01%  iou-wrk-3084     [kernel.vmlinux]  [k] filemap_get_pages
     0.85%     0.05%  iou-wrk-3087     [kernel.vmlinux]  [k] filemap_read
     0.85%     0.06%  iou-wrk-3057     [kernel.vmlinux]  [k] filemap_read
     0.84%     0.03%  iou-wrk-3071     [kernel.vmlinux]  [k] filemap_read
     0.84%     0.04%  iou-wrk-3078     [kernel.vmlinux]  [k] io_worker_handle_work
     0.83%     0.02%  iou-wrk-3079     [kernel.vmlinux]  [k] io_worker_handle_work
     0.83%     0.00%  iou-wrk-3054     [kernel.vmlinux]  [k] io_issue_sqe
     0.83%     0.00%  iou-wrk-3054     [kernel.vmlinux]  [k] io_read
     0.83%     0.00%  iou-wrk-3054     [kernel.vmlinux]  [k] io_wq_submit_work
     0.83%     0.01%  kswapd0          [kernel.vmlinux]  [k] evict_pages
     0.83%     0.00%  kswapd0          [kernel.vmlinux]  [k] lru_gen_shrink_lruvec
     0.83%     0.00%  kswapd0          [kernel.vmlinux]  [k] shrink_lruvec
     0.83%     0.34%  fio              [kernel.vmlinux]  [k] check_preempt_wakeup
     0.82%     0.00%  iou-wrk-3068     [kernel.vmlinux]  [k] filemap_get_pages
     0.82%     0.05%  iou-wrk-3075     [kernel.vmlinux]  [k] filemap_read
     0.82%     0.01%  iou-wrk-3052     [kernel.vmlinux]  [k] io_issue_sqe
     0.82%     0.00%  iou-wrk-3052     [kernel.vmlinux]  [k] io_wq_submit_work
     0.82%     0.02%  iou-wrk-3072     [kernel.vmlinux]  [k] filemap_read
     0.82%     0.05%  iou-wrk-3081     [kernel.vmlinux]  [k] filemap_read
     0.81%     0.02%  iou-wrk-3086     [kernel.vmlinux]  [k] io_wq_submit_work
     0.81%     0.01%  iou-wrk-3062     [kernel.vmlinux]  [k] io_read
     0.81%     0.00%  iou-wrk-3062     [kernel.vmlinux]  [k] io_issue_sqe
     0.81%     0.00%  iou-wrk-3062     [kernel.vmlinux]  [k] io_wq_submit_work
     0.81%     0.00%  iou-wrk-3052     [kernel.vmlinux]  [k] io_read
     0.81%     0.00%  iou-wrk-3053     [kernel.vmlinux]  [k] io_worker_handle_work
     0.81%     0.02%  iou-wrk-3055     [kernel.vmlinux]  [k] io_read
     0.81%     0.01%  iou-wrk-3055     [kernel.vmlinux]  [k] io_issue_sqe
     0.81%     0.00%  iou-wrk-3055     [kernel.vmlinux]  [k] io_wq_submit_work
     0.81%     0.01%  iou-wrk-3066     [kernel.vmlinux]  [k] io_worker_handle_work
     0.81%     0.01%  iou-wrk-3058     [kernel.vmlinux]  [k] io_worker_handle_work
     0.81%     0.01%  iou-wrk-3051     [kernel.vmlinux]  [k] io_wq_submit_work
     0.81%     0.01%  iou-wrk-3048     [kernel.vmlinux]  [k] io_issue_sqe
