# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 43K of event 'cycles'
# Event count (approx.): 8853140402121
#
# Children      Self  Command          Shared Object       Symbol                                 
# ........  ........  ...............  ..................  .......................................
#
     1.51%     0.00%  iou-wrk-3178     [kernel.vmlinux]    [k] io_issue_sqe
     1.51%     0.00%  iou-wrk-3178     [kernel.vmlinux]    [k] io_wq_submit_work
     1.51%     0.04%  iou-wrk-3191     [kernel.vmlinux]    [k] filemap_read
     1.51%     0.01%  iou-wrk-3160     [kernel.vmlinux]    [k] io_worker_handle_work
     1.51%     0.01%  iou-wrk-3178     [kernel.vmlinux]    [k] io_read
     1.51%     0.02%  iou-wrk-3172     [kernel.vmlinux]    [k] io_worker_handle_work
     1.49%     0.01%  iou-wrk-3197     [kernel.vmlinux]    [k] io_worker_handle_work
     1.49%     0.01%  iou-wrk-3181     [kernel.vmlinux]    [k] io_issue_sqe
     1.49%     0.00%  iou-wrk-3181     [kernel.vmlinux]    [k] io_wq_submit_work
     1.49%     0.01%  iou-wrk-3193     [kernel.vmlinux]    [k] io_worker_handle_work
     1.49%     0.01%  iou-wrk-3181     [kernel.vmlinux]    [k] io_read
     1.49%     0.00%  iou-wrk-3187     [kernel.vmlinux]    [k] io_wq_submit_work
     1.49%     0.01%  iou-wrk-3187     [kernel.vmlinux]    [k] io_issue_sqe
     1.48%     0.01%  iou-wrk-3190     [kernel.vmlinux]    [k] io_issue_sqe
     1.48%     0.00%  iou-wrk-3190     [kernel.vmlinux]    [k] io_wq_submit_work
     1.48%     0.01%  iou-wrk-3199     [kernel.vmlinux]    [k] io_worker_handle_work
     1.48%     0.00%  iou-wrk-3187     [kernel.vmlinux]    [k] io_read
     1.48%     0.00%  iou-wrk-3190     [kernel.vmlinux]    [k] io_read
     1.47%     0.01%  iou-wrk-3182     [kernel.vmlinux]    [k] io_worker_handle_work
     1.47%     0.02%  iou-wrk-3188     [kernel.vmlinux]    [k] io_worker_handle_work
     1.47%     0.00%  iou-wrk-3195     [kernel.vmlinux]    [k] io_worker_handle_work
     1.47%     0.03%  iou-wrk-3178     [kernel.vmlinux]    [k] filemap_read
     1.46%     0.02%  iou-wrk-3179     [kernel.vmlinux]    [k] io_worker_handle_work
     1.46%     0.00%  iou-wrk-3192     [kernel.vmlinux]    [k] io_wq_submit_work
     1.46%     0.02%  iou-wrk-3158     [kernel.vmlinux]    [k] io_worker_handle_work
     1.46%     0.01%  iou-wrk-3192     [kernel.vmlinux]    [k] io_issue_sqe
     1.46%     0.02%  iou-wrk-3184     [kernel.vmlinux]    [k] io_worker_handle_work
     1.45%     0.00%  iou-wrk-3166     [kernel.vmlinux]    [k] io_issue_sqe
     1.45%     0.00%  iou-wrk-3166     [kernel.vmlinux]    [k] io_wq_submit_work
     1.45%     0.01%  iou-wrk-3192     [kernel.vmlinux]    [k] io_read
     1.45%     0.00%  swapper          [kernel.vmlinux]    [k] cpuidle_enter_state
     1.45%     0.00%  swapper          [kernel.vmlinux]    [k] cpuidle_enter
     1.45%     0.01%  iou-wrk-3166     [kernel.vmlinux]    [k] io_read
     1.45%     0.00%  iou-wrk-3160     [kernel.vmlinux]    [k] io_wq_submit_work
     1.45%     0.00%  iou-wrk-3185     [kernel.vmlinux]    [k] io_issue_sqe
     1.45%     0.00%  iou-wrk-3185     [kernel.vmlinux]    [k] io_wq_submit_work
     1.45%     0.00%  iou-wrk-3160     [kernel.vmlinux]    [k] io_issue_sqe
     1.44%     0.00%  iou-wrk-3185     [kernel.vmlinux]    [k] io_read
     1.44%     0.01%  iou-wrk-3165     [kernel.vmlinux]    [k] io_worker_handle_work
     1.44%     0.01%  iou-wrk-3186     [kernel.vmlinux]    [k] io_worker_handle_work
     1.44%     0.00%  iou-wrk-3160     [kernel.vmlinux]    [k] io_read
     1.44%     0.01%  iou-wrk-3169     [kernel.vmlinux]    [k] io_issue_sqe
