# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 32981024708691
#
# Children      Self  Command          Shared Object       Symbol                                               
# ........  ........  ...............  ..................  .....................................................
#
     0.00%     0.00%  iou-wrk-3165     [kernel.vmlinux]    [k] task_tick_fair
     0.00%     0.00%  swapper          [kernel.vmlinux]    [k] cpuidle_select
     0.00%     0.00%  iou-wrk-3154     [kernel.vmlinux]    [k] xas_clear_mark
     0.00%     0.00%  iou-wrk-3154     [kernel.vmlinux]    [k] xas_init_marks
     0.00%     0.00%  iou-wrk-3170     [kernel.vmlinux]    [k] xas_clear_mark
     0.00%     0.00%  iou-wrk-3170     [kernel.vmlinux]    [k] xas_init_marks
     0.00%     0.00%  iou-wrk-3175     [kernel.vmlinux]    [k] sysvec_call_function_single
     0.00%     0.00%  kcompactd0       [kernel.vmlinux]    [k] rmap_walk_file
     0.00%     0.00%  iou-wrk-3172     [kernel.vmlinux]    [k] sched_ttwu_pending
     0.00%     0.00%  iou-wrk-3139     [kernel.vmlinux]    [k] unlock_page
     0.00%     0.00%  iou-wrk-3169     [kernel.vmlinux]    [k] task_tick_fair
     0.00%     0.00%  iou-wrk-3165     [kernel.vmlinux]    [k] wakeup_preempt_entity.isra.0
     0.00%     0.00%  iou-wrk-3150     [kernel.vmlinux]    [k] bad_range
     0.00%     0.00%  iou-wrk-3160     [kernel.vmlinux]    [k] bad_range
     0.00%     0.00%  iou-wrk-3165     [kernel.vmlinux]    [k] kthread_blkcg
     0.00%     0.00%  iou-wrk-3170     [kernel.vmlinux]    [k] read_tsc
     0.00%     0.00%  iou-wrk-3155     [kernel.vmlinux]    [k] _raw_read_lock
     0.00%     0.00%  iou-wrk-3177     [kernel.vmlinux]    [k] task_tick_fair
     0.00%     0.00%  iou-wrk-3175     [kernel.vmlinux]    [k] lru_gen_del_page
     0.00%     0.00%  iou-wrk-3149     [kernel.vmlinux]    [k] down_read
     0.00%     0.00%  iou-wrk-3156     [kernel.vmlinux]    [k] init_timer_key
     0.00%     0.00%  iou-wrk-3158     [kernel.vmlinux]    [k] sugov_update_single_freq
     0.00%     0.00%  iou-wrk-3166     [kernel.vmlinux]    [k] workingset_eviction
     0.00%     0.00%  iou-wrk-3174     [kernel.vmlinux]    [k] mem_cgroup_charge_statistics.isra.0
     0.00%     0.00%  iou-wrk-3140     [kernel.vmlinux]    [k] task_tick_fair
     0.00%     0.00%  iou-wrk-3163     [kernel.vmlinux]    [k] mem_cgroup_charge_statistics.isra.0
     0.00%     0.00%  swapper          [kernel.vmlinux]    [k] tick_nohz_idle_retain_tick
     0.00%     0.00%  iou-wrk-3163     [kernel.vmlinux]    [k] xas_init_marks
     0.00%     0.00%  iou-wrk-3151     [kernel.vmlinux]    [k] up_read
     0.00%     0.00%  iou-wrk-3161     [kernel.vmlinux]    [k] sysvec_call_function_single
     0.00%     0.00%  iou-wrk-3162     [kernel.vmlinux]    [k] ktime_get_coarse_real_ts64
     0.00%     0.00%  :-1              [kernel.vmlinux]    [k] release_task
     0.00%     0.00%  iou-wrk-3139     [kernel.vmlinux]    [k] page_counter_try_charge
     0.00%     0.00%  iou-wrk-3156     [kernel.vmlinux]    [k] bad_range
     0.00%     0.00%  iou-wrk-3155     [kernel.vmlinux]    [k] __io_complete_rw_common
     0.00%     0.00%  iou-wrk-3168     [kernel.vmlinux]    [k] xas_clear_mark
     0.00%     0.00%  iou-wrk-3168     [kernel.vmlinux]    [k] xas_init_marks
     0.00%     0.00%  iou-wrk-3142     [kernel.vmlinux]    [k] bio_uninit
     0.00%     0.00%  iou-wrk-3146     [kernel.vmlinux]    [k] mem_cgroup_charge_statistics.isra.0
     0.00%     0.00%  iou-wrk-3162     [kernel.vmlinux]    [k] force_page_cache_ra
     0.00%     0.00%  iou-wrk-3149     [kernel.vmlinux]    [k] sysvec_call_function_single
     0.00%     0.00%  iou-wrk-3148     [kernel.vmlinux]    [k] xas_find_conflict
     0.00%     0.00%  iou-wrk-3168     [kernel.vmlinux]    [k] autoremove_wake_function
     0.00%     0.00%  iou-wrk-3170     [kernel.vmlinux]    [k] unlock_page
     0.00%     0.00%  iou-wrk-3169     [kernel.vmlinux]    [k] bio_endio
     0.00%     0.00%  iou-wrk-3157     [kernel.vmlinux]    [k] preempt_schedule_common
     0.00%     0.00%  iou-wrk-3166     [kernel.vmlinux]    [k] __io_complete_rw_common
     0.00%     0.00%  iou-wrk-3173     [kernel.vmlinux]    [k] mem_cgroup_charge_statistics.isra.0
     0.00%     0.00%  iou-wrk-3144     [kernel.vmlinux]    [k] bad_range
     0.00%     0.00%  iou-wrk-3157     [kernel.vmlinux]    [k] blk_cgroup_bio_start
     0.00%     0.00%  iou-wrk-3159     [kernel.vmlinux]    [k] __sysvec_call_function_single
     0.00%     0.00%  iou-wrk-3149     [kernel.vmlinux]    [k] blk_cgroup_bio_start
     0.00%     0.00%  iou-wrk-3160     [kernel.vmlinux]    [k] raw_spin_rq_unlock
     0.00%     0.00%  iou-wrk-3164     [kernel.vmlinux]    [k] read_tsc
     0.00%     0.00%  swapper          [kernel.vmlinux]    [k] rcu_qs
     0.00%     0.00%  iou-wrk-3168     [kernel.vmlinux]    [k] raw_spin_rq_unlock
     0.00%     0.00%  iou-wrk-3152     [kernel.vmlinux]    [k] kmem_cache_alloc
     0.00%     0.00%  iou-wrk-3170     [kernel.vmlinux]    [k] page_counter_try_charge
     0.00%     0.00%  iou-wrk-3149     [kernel.vmlinux]    [k] native_load_tls
     0.00%     0.00%  iou-wrk-3175     [kernel.vmlinux]    [k] bio_endio
     0.00%     0.00%  iou-wrk-3172     [kernel.vmlinux]    [k] kmem_cache_alloc
     0.00%     0.00%  iou-wrk-3154     [kernel.vmlinux]    [k] __io_complete_rw_common
     0.00%     0.00%  iou-wrk-3145     [kernel.vmlinux]    [k] blk_throtl_bio
     0.00%     0.00%  iou-wrk-3150     [kernel.vmlinux]    [k] generic_file_read_iter
     0.00%     0.00%  iou-wrk-3151     [kernel.vmlinux]    [k] sugov_update_single_freq
     0.00%     0.00%  iou-wrk-3176     [kernel.vmlinux]    [k] perf_event_task_tick
     0.00%     0.00%  iou-wrk-3169     [kernel.vmlinux]    [k] ext4_readahead
     0.00%     0.00%  iou-wrk-3174     [kernel.vmlinux]    [k] bio_endio
     0.00%     0.00%  iou-wrk-3164     [kernel.vmlinux]    [k] release_pages
     0.00%     0.00%  iou-wrk-3162     [kernel.vmlinux]    [k] bio_add_page
     0.00%     0.00%  iou-wrk-3169     [kernel.vmlinux]    [k] wakeup_preempt_entity.isra.0
     0.00%     0.00%  iou-wrk-3154     [kernel.vmlinux]    [k] lru_gen_del_page
     0.00%     0.00%  iou-wrk-3175     [kernel.vmlinux]    [k] task_tick_fair
     0.00%     0.00%  iou-wrk-3162     [kernel.vmlinux]    [k] to_nd_region
     0.00%     0.00%  iou-wrk-3156     [kernel.vmlinux]    [k] clear_buddies
     0.00%     0.00%  iou-wrk-3151     [kernel.vmlinux]    [k] bio_add_page
     0.00%     0.00%  iou-wrk-3171     [kernel.vmlinux]    [k] perf_event_task_tick
     0.00%     0.00%  iou-wrk-3168     [kernel.vmlinux]    [k] lru_gen_del_page
     0.00%     0.00%  iou-wrk-3149     [kernel.vmlinux]    [k] ktime_get_coarse_real_ts64
     0.00%     0.00%  iou-wrk-3148     [kernel.vmlinux]    [k] release_pages
     0.00%     0.00%  iou-wrk-3143     [kernel.vmlinux]    [k] wakeup_preempt_entity.isra.0
     0.00%     0.00%  iou-wrk-3162     [kernel.vmlinux]    [k] ktime_get
     0.00%     0.00%  iou-wrk-3147     [kernel.vmlinux]    [k] try_to_wake_up
     0.00%     0.00%  iou-wrk-3149     [kernel.vmlinux]    [k] avc_policy_seqno
     0.00%     0.00%  iou-wrk-3176     [kernel.vmlinux]    [k] page_counter_try_charge
     0.00%     0.00%  iou-wrk-3162     [kernel.vmlinux]    [k] unlock_page
     0.00%     0.00%  iou-wrk-3176     [kernel.vmlinux]    [k] _raw_read_lock
     0.00%     0.00%  kswapd0          [kernel.vmlinux]    [k] task_tick_fair
     0.00%     0.00%  iou-wrk-3146     [kernel.vmlinux]    [k] bad_range
     0.00%     0.00%  iou-wrk-3143     [kernel.vmlinux]    [k] __wake_up_common
     0.00%     0.00%  iou-wrk-3171     [kernel.vmlinux]    [k] workingset_eviction
     0.00%     0.00%  iou-wrk-3149     [kernel.vmlinux]    [k] rw_verify_area
     0.00%     0.00%  iou-wrk-3151     [kernel.vmlinux]    [k] __wake_up_common
     0.00%     0.00%  iou-wrk-3160     [kernel.vmlinux]    [k] bio_uninit
     0.00%     0.00%  iou-wrk-3176     [kernel.vmlinux]    [k] wakeup_preempt_entity.isra.0
     0.00%     0.00%  iou-wrk-3171     [kernel.vmlinux]    [k] wake_all_kswapds
     0.00%     0.00%  fio              [kernel.vmlinux]    [k] __bitmap_intersects
     0.00%     0.00%  iou-wrk-3147     [kernel.vmlinux]    [k] kmem_cache_alloc
     0.00%     0.00%  iou-wrk-3143     [kernel.vmlinux]    [k] try_to_wake_up
     0.00%     0.00%  iou-wrk-3153     [kernel.vmlinux]    [k] sysvec_call_function_single
     0.00%     0.00%  iou-wrk-3169     [kernel.vmlinux]    [k] sugov_update_single_freq
     0.00%     0.00%  iou-wrk-3170     [kernel.vmlinux]    [k] __io_complete_rw_common
     0.00%     0.00%  iou-wrk-3163     [kernel.vmlinux]    [k] clear_buddies
     0.00%     0.00%  iou-wrk-3177     [kernel.vmlinux]    [k] autoremove_wake_function
     0.00%     0.00%  iou-wrk-3155     [kernel.vmlinux]    [k] preempt_schedule_common
     0.00%     0.00%  iou-wrk-3145     [kernel.vmlinux]    [k] raw_spin_rq_unlock
     0.00%     0.00%  iou-wrk-3173     [kernel.vmlinux]    [k] wakeup_preempt_entity.isra.0
     0.00%     0.00%  iou-wrk-3153     [kernel.vmlinux]    [k] ktime_get
     0.00%     0.00%  iou-wrk-3150     [kernel.vmlinux]    [k] _raw_read_lock
     0.00%     0.00%  iou-wrk-3168     [kernel.vmlinux]    [k] __enqueue_entity
     0.00%     0.00%  iou-wrk-3158     [kernel.vmlinux]    [k] init_timer_key
     0.00%     0.00%  iou-wrk-3154     [kernel.vmlinux]    [k] autoremove_wake_function
     0.00%     0.00%  iou-wrk-3161     [kernel.vmlinux]    [k] preempt_schedule_common
     0.00%     0.00%  iou-wrk-3142     [kernel.vmlinux]    [k] try_to_wake_up
     0.00%     0.00%  iou-wrk-3142     [kernel.vmlinux]    [k] __wake_up_common
     0.00%     0.00%  fio              [kernel.vmlinux]    [k] fput
     0.00%     0.00%  fio              [kernel.vmlinux]    [k] perf_swevent_stop
     0.00%     0.00%  fio              [kernel.vmlinux]    [k] security_task_alloc
     0.00%     0.00%  kcompactd0       [kernel.vmlinux]    [k] lock_page_lruvec_irqsave
     0.00%     0.00%  iou-wrk-3172     [kernel.vmlinux]    [k] preempt_schedule_common
     0.00%     0.00%  iou-wrk-3138     [kernel.vmlinux]    [k] up_read
     0.00%     0.00%  iou-wrk-3161     [kernel.vmlinux]    [k] xas_init_marks
     0.00%     0.00%  iou-wrk-3161     [kernel.vmlinux]    [k] workingset_update_node
     0.00%     0.00%  iou-wrk-3144     [kernel.vmlinux]    [k] ttwu_do_activate
     0.00%     0.00%  iou-wrk-3155     [kernel.vmlinux]    [k] try_to_wake_up
     0.00%     0.00%  iou-wrk-3143     [kernel.vmlinux]    [k] preempt_schedule_common
     0.00%     0.00%  swapper          [kernel.vmlinux]    [k] sugov_update_single_freq
     0.00%     0.00%  iou-wrk-3166     [kernel.vmlinux]    [k] try_to_wake_up
     0.00%     0.00%  iou-wrk-3171     [kernel.vmlinux]    [k] task_tick_fair
     0.00%     0.00%  iou-wrk-3164     [kernel.vmlinux]    [k] task_tick_fair
     0.00%     0.00%  iou-wrk-3167     [kernel.vmlinux]    [k] preempt_schedule_common
     0.00%     0.00%  fio              [kernel.vmlinux]    [k] finish_wait
     0.00%     0.00%  iou-wrk-3146     [kernel.vmlinux]    [k] task_tick_fair
     0.00%     0.00%  iou-wrk-3157     [kernel.vmlinux]    [k] unlock_page
     0.00%     0.00%  iou-wrk-3149     [kernel.vmlinux]    [k] preempt_schedule_common
     0.00%     0.00%  iou-wrk-3140     [kernel.vmlinux]    [k] preempt_schedule_common
     0.00%     0.00%  iou-wrk-3172     [kernel.vmlinux]    [k] mem_cgroup_charge_statistics.isra.0
     0.00%     0.00%  iou-wrk-3147     [kernel.vmlinux]    [k] workingset_update_node
     0.00%     0.00%  iou-wrk-3165     [kernel.vmlinux]    [k] workingset_update_node
     0.00%     0.00%  iou-wrk-3163     [kernel.vmlinux]    [k] workingset_eviction
     0.00%     0.00%  iou-wrk-3173     [kernel.vmlinux]    [k] workingset_update_node
     0.00%     0.00%  iou-wrk-3168     [kernel.vmlinux]    [k] _raw_read_lock
     0.00%     0.00%  iou-wrk-3175     [kernel.vmlinux]    [k] xas_clear_mark
     0.00%     0.00%  iou-wrk-3155     [kernel.vmlinux]    [k] xas_init_marks
     0.00%     0.00%  iou-wrk-3161     [kernel.vmlinux]    [k] ktime_get
     0.00%     0.00%  iou-wrk-3145     [kernel.vmlinux]    [k] bio_free
     0.00%     0.00%  iou-wrk-3175     [kernel.vmlinux]    [k] up_read
     0.00%     0.00%  iou-wrk-3154     [kernel.vmlinux]    [k] __enqueue_entity
     0.00%     0.00%  iou-wrk-3176     [kernel.vmlinux]    [k] force_page_cache_ra
     0.00%     0.00%  iou-wrk-3157     [kernel.vmlinux]    [k] down_read
     0.00%     0.00%  iou-wrk-3159     [kernel.vmlinux]    [k] lru_gen_del_page
     0.00%     0.00%  iou-wrk-3139     [kernel.vmlinux]    [k] preempt_schedule_common
     0.00%     0.00%  iou-wrk-3139     [kernel.vmlinux]    [k] up_read
     0.00%     0.00%  iou-wrk-3158     [kernel.vmlinux]    [k] ktime_get
     0.00%     0.00%  iou-wrk-3171     [kernel.vmlinux]    [k] blk_cgroup_bio_start
     0.00%     0.00%  iou-wrk-3143     [kernel.vmlinux]    [k] rw_verify_area
     0.00%     0.00%  fio              [kernel.vmlinux]    [k] snprintf
     0.00%     0.00%  iou-wrk-3163     [kernel.vmlinux]    [k] __free_one_page
     0.00%     0.00%  iou-wrk-3165     [kernel.vmlinux]    [k] __xas_next
     0.00%     0.00%  iou-wrk-3156     [kernel.vmlinux]    [k] workingset_update_node
     0.00%     0.00%  iou-wrk-3157     [kernel.vmlinux]    [k] raw_spin_rq_lock_nested
     0.00%     0.00%  iou-wrk-3154     [kernel.vmlinux]    [k] init_timer_key
     0.00%     0.00%  iou-wrk-3156     [kernel.vmlinux]    [k] try_to_wake_up
     0.00%     0.00%  iou-wrk-3177     [kernel.vmlinux]    [k] __enqueue_entity
     0.00%     0.00%  iou-wrk-3146     [kernel.vmlinux]    [k] _raw_read_lock
     0.00%     0.00%  iou-wrk-3168     [kernel.vmlinux]    [k] sched_ttwu_pending
     0.00%     0.00%  iou-wrk-3154     [kernel.vmlinux]    [k] down_read
     0.00%     0.00%  iou-wrk-3162     [kernel.vmlinux]    [k] _raw_read_lock
     0.00%     0.00%  iou-wrk-3141     [kernel.vmlinux]    [k] __free_one_page
     0.00%     0.00%  iou-wrk-3157     [kernel.vmlinux]    [k] lru_gen_del_page
     0.00%     0.00%  iou-wrk-3152     [kernel.vmlinux]    [k] perf_event_task_tick
     0.00%     0.00%  iou-wrk-3175     [kernel.vmlinux]    [k] bio_add_page
     0.00%     0.00%  iou-wrk-3163     [kernel.vmlinux]    [k] lru_gen_del_page
     0.00%     0.00%  iou-wrk-3152     [kernel.vmlinux]    [k] rw_verify_area
     0.00%     0.00%  iou-wrk-3151     [kernel.vmlinux]    [k] xas_clear_mark
     0.00%     0.00%  iou-wrk-3176     [kernel.vmlinux]    [k] to_nd_region
     0.00%     0.00%  iou-wrk-3177     [kernel.vmlinux]    [k] bad_range
     0.00%     0.00%  iou-wrk-3164     [kernel.vmlinux]    [k] bio_uninit
     0.00%     0.00%  iou-wrk-3150     [kernel.vmlinux]    [k] perf_event_task_tick
     0.00%     0.00%  iou-wrk-3140     [kernel.vmlinux]    [k] page_counter_try_charge
     0.00%     0.00%  iou-wrk-3173     [kernel.vmlinux]    [k] read_tsc
     0.00%     0.00%  iou-wrk-3145     [kernel.vmlinux]    [k] perf_event_task_tick
     0.00%     0.00%  iou-wrk-3175     [kernel.vmlinux]    [k] __sysvec_call_function_single
     0.00%     0.00%  iou-wrk-3151     [kernel.vmlinux]    [k] page_counter_try_charge
     0.00%     0.00%  iou-wrk-3151     [kernel.vmlinux]    [k] mem_cgroup_charge_statistics.isra.0
     0.00%     0.00%  iou-wrk-3168     [kernel.vmlinux]    [k] page_counter_try_charge
     0.00%     0.00%  iou-wrk-3142     [kernel.vmlinux]    [k] unlock_page
     0.00%     0.00%  iou-wrk-3159     [kernel.vmlinux]    [k] page_counter_try_charge
     0.00%     0.00%  iou-wrk-3146     [kernel.vmlinux]    [k] raw_spin_rq_unlock
     0.00%     0.00%  swapper          [kernel.vmlinux]    [k] timer_clear_idle
     0.00%     0.00%  iou-wrk-3168     [kernel.vmlinux]    [k] force_page_cache_ra
     0.00%     0.00%  iou-wrk-3172     [kernel.vmlinux]    [k] rcu_qs
     0.00%     0.00%  iou-wrk-3144     [kernel.vmlinux]    [k] ktime_get
     0.00%     0.00%  iou-wrk-3145     [kernel.vmlinux]    [k] set_next_task_idle
     0.00%     0.00%  iou-wrk-3158     [kernel.vmlinux]    [k] sysvec_call_function_single
     0.00%     0.00%  iou-wrk-3140     [kernel.vmlinux]    [k] sysvec_call_function_single
     0.00%     0.00%  iou-wrk-3170     [kernel.vmlinux]    [k] up_read
     0.00%     0.00%  iou-wrk-3162     [kernel.vmlinux]    [k] kmem_cache_alloc
     0.00%     0.00%  iou-wrk-3176     [kernel.vmlinux]    [k] raw_spin_rq_unlock
     0.00%     0.00%  iou-wrk-3140     [kernel.vmlinux]    [k] blk_start_plug
     0.00%     0.00%  iou-wrk-3151     [kernel.vmlinux]    [k] bio_uninit
     0.00%     0.00%  iou-wrk-3146     [kernel.vmlinux]    [k] ttwu_do_activate
     0.00%     0.00%  iou-wrk-3167     [kernel.vmlinux]    [k] xas_init_marks
     0.00%     0.00%  iou-wrk-3146     [kernel.vmlinux]    [k] sugov_update_single_freq
     0.00%     0.00%  iou-wrk-3164     [kernel.vmlinux]    [k] bio_add_page
     0.00%     0.00%  iou-wrk-3177     [kernel.vmlinux]    [k] kmem_cache_alloc
     0.00%     0.00%  iou-wrk-3155     [kernel.vmlinux]    [k] asm_sysvec_call_function_single
     0.00%     0.00%  iou-wrk-3163     [kernel.vmlinux]    [k] asm_sysvec_call_function_single
     0.00%     0.00%  iou-wrk-3177     [kernel.vmlinux]    [k] down_read
     0.00%     0.00%  iou-wrk-3153     [kernel.vmlinux]    [k] mem_cgroup_charge_statistics.isra.0
     0.00%     0.00%  iou-wrk-3176     [kernel.vmlinux]    [k] workingset_update_node
     0.00%     0.00%  iou-wrk-3169     [kernel.vmlinux]    [k] page_counter_try_charge
     0.00%     0.00%  iou-wrk-3140     [kernel.vmlinux]    [k] __wake_up_common
     0.00%     0.00%  iou-wrk-3163     [kernel.vmlinux]    [k] kmem_cache_alloc
     0.00%     0.00%  iou-wrk-3142     [kernel.vmlinux]    [k] kmem_cache_alloc
     0.00%     0.00%  iou-wrk-3146     [kernel.vmlinux]    [k] bio_uninit
     0.00%     0.00%  iou-wrk-3140     [kernel.vmlinux]    [k] bio_uninit
     0.00%     0.00%  iou-wrk-3158     [kernel.vmlinux]    [k] blk_cgroup_bio_start
     0.00%     0.00%  iou-wrk-3158     [kernel.vmlinux]    [k] to_nd_region
     0.00%     0.00%  iou-wrk-3166     [kernel.vmlinux]    [k] ext4_readahead
     0.00%     0.00%  iou-wrk-3152     [kernel.vmlinux]    [k] wakeup_preempt_entity.isra.0
     0.00%     0.00%  fail2ban-server  [kernel.vmlinux]    [k] find_busiest_group
     0.00%     0.00%  iou-wrk-3146     [kernel.vmlinux]    [k] init_timer_key
     0.00%     0.00%  fio              [kernel.vmlinux]    [k] update_sd_lb_stats.constprop.0
     0.00%     0.00%  iou-wrk-3141     [kernel.vmlinux]    [k] avc_policy_seqno
     0.00%     0.00%  iou-wrk-3164     [kernel.vmlinux]    [k] wakeup_preempt_entity.isra.0
     0.00%     0.00%  iou-wrk-3171     [kernel.vmlinux]    [k] ext4_readahead
     0.00%     0.00%  iou-wrk-3141     [kernel.vmlinux]    [k] blk_cgroup_bio_start
     0.00%     0.00%  iou-wrk-3144     [kernel.vmlinux]    [k] bio_uninit
     0.00%     0.00%  iou-wrk-3153     [kernel.vmlinux]    [k] sched_clock
     0.00%     0.00%  fail2ban-server  [kernel.vmlinux]    [k] update_sd_lb_stats.constprop.0
     0.00%     0.00%  iou-wrk-3153     [kernel.vmlinux]    [k] wake_all_kswapds
     0.00%     0.00%  iou-wrk-3156     [kernel.vmlinux]    [k] workingset_eviction
     0.00%     0.00%  iou-wrk-3150     [kernel.vmlinux]    [k] avc_policy_seqno
     0.00%     0.00%  iou-wrk-3169     [kernel.vmlinux]    [k] __free_one_page
     0.00%     0.00%  iou-wrk-3160     [kernel.vmlinux]    [k] force_page_cache_ra
     0.00%     0.00%  iou-wrk-3166     [kernel.vmlinux]    [k] asm_sysvec_call_function_single
     0.00%     0.00%  iou-wrk-3147     [kernel.vmlinux]    [k] sugov_update_single_freq
     0.00%     0.00%  iou-wrk-3162     [kernel.vmlinux]    [k] init_timer_key
     0.00%     0.00%  iou-wrk-3150     [kernel.vmlinux]    [k] pick_next_task_idle
     0.00%     0.00%  iou-wrk-3156     [kernel.vmlinux]    [k] sched_ttwu_pending
     0.00%     0.00%  iou-wrk-3143     [kernel.vmlinux]    [k] bio_uninit
     0.00%     0.00%  iou-wrk-3146     [kernel.vmlinux]    [k] kthread_blkcg
     0.00%     0.00%  iou-wrk-3143     [kernel.vmlinux]    [k] __free_one_page
     0.00%     0.00%  iou-wrk-3168     [kernel.vmlinux]    [k] up_read
     0.00%     0.00%  iou-wrk-3168     [kernel.vmlinux]    [k] down_read
     0.00%     0.00%  iou-wrk-3158     [kernel.vmlinux]    [k] __wake_up_common_lock
     0.00%     0.00%  iou-wrk-3149     [kernel.vmlinux]    [k] kmem_cache_alloc
     0.00%     0.00%  iou-wrk-3175     [kernel.vmlinux]    [k] raw_spin_rq_unlock
     0.00%     0.00%  iou-wrk-3153     [kernel.vmlinux]    [k] init_timer_key
     0.00%     0.00%  iou-wrk-3166     [kernel.vmlinux]    [k] __xas_next
     0.00%     0.00%  iou-wrk-3173     [kernel.vmlinux]    [k] sched_clock
     0.00%     0.00%  iou-wrk-3145     [kernel.vmlinux]    [k] blk_cgroup_bio_start
     0.00%     0.00%  iou-wrk-3143     [kernel.vmlinux]    [k] autoremove_wake_function
     0.00%     0.00%  iou-wrk-3160     [kernel.vmlinux]    [k] read_tsc
     0.00%     0.00%  iou-wrk-3177     [kernel.vmlinux]    [k] mem_cgroup_charge_statistics.isra.0
     0.00%     0.00%  iou-wrk-3144     [kernel.vmlinux]    [k] __wake_up_common_lock
     0.00%     0.00%  iou-wrk-3165     [kernel.vmlinux]    [k] generic_file_read_iter
     0.00%     0.00%  iou-wrk-3143     [kernel.vmlinux]    [k] sugov_update_single_freq
     0.00%     0.00%  iou-wrk-3173     [kernel.vmlinux]    [k] bio_free
     0.00%     0.00%  iou-wrk-3153     [kernel.vmlinux]    [k] __sysvec_call_function_single
     0.00%     0.00%  iou-wrk-3169     [kernel.vmlinux]    [k] preempt_schedule_common
     0.00%     0.00%  kcompactd0       [kernel.vmlinux]    [k] __mod_zone_page_state
     0.00%     0.00%  kcompactd0       [kernel.vmlinux]    [k] split_map_pages
     0.00%     0.00%  fio              [kernel.vmlinux]    [k] __irqentry_text_end
     0.00%     0.00%  iou-wrk-3149     [kernel.vmlinux]    [k] bio_uninit
     0.00%     0.00%  perf             [kernel.vmlinux]    [k] __x64_sys_sched_setaffinity
     0.00%     0.00%  iou-wrk-3158     [kernel.vmlinux]    [k] raw_spin_rq_unlock
     0.00%     0.00%  iou-wrk-3171     [kernel.vmlinux]    [k] preempt_schedule_common
     0.00%     0.00%  iou-wrk-3139     [kernel.vmlinux]    [k] __io_complete_rw_common
     0.00%     0.00%  iou-wrk-3153     [kernel.vmlinux]    [k] wakeup_preempt_entity.isra.0
     0.00%     0.00%  kcompactd0       [kernel.vmlinux]    [k] _find_next_bit
     0.00%     0.00%  iou-wrk-3162     [kernel.vmlinux]    [k] bpf_lsm_file_permission
     0.00%     0.00%  fio              [kernel.vmlinux]    [k] cpu_cgroup_fork
     0.00%     0.00%  kcompactd0       [kernel.vmlinux]    [k] __hrtimer_run_queues
     0.00%     0.00%  fio              [kernel.vmlinux]    [k] __memcg_kmem_charge_page
     0.00%     0.00%  iou-wrk-3160     [kernel.vmlinux]    [k] unlock_page
     0.00%     0.00%  fio              [kernel.vmlinux]    [k] calc_global_load_tick
     0.00%     0.00%  iou-wrk-3167     [kernel.vmlinux]    [k] __wake_up_common_lock
     0.00%     0.00%  perf             [kernel.vmlinux]    [k] sched_setaffinity
     0.00%     0.00%  fio              [kernel.vmlinux]    [k] idr_get_free
     0.00%     0.00%  iou-wrk-3159     [kernel.vmlinux]    [k] unlock_page
     0.00%     0.00%  iou-wrk-3151     [kernel.vmlinux]    [k] page_mapping
     0.00%     0.00%  iou-wrk-3145     [kernel.vmlinux]    [k] up_read
     0.00%     0.00%  iou-wrk-3171     [kernel.vmlinux]    [k] unlock_page
     0.00%     0.00%  kcompactd0       [kernel.vmlinux]    [k] free_unref_page_prepare.part.0
     0.00%     0.00%  iou-wrk-3139     [kernel.vmlinux]    [k] ttwu_do_activate
     0.00%     0.00%  iou-wrk-3165     [kernel.vmlinux]    [k] _raw_read_lock
     0.00%     0.00%  iou-wrk-3156     [kernel.vmlinux]    [k] release_pages
     0.00%     0.00%  iou-wrk-3171     [kernel.vmlinux]    [k] _raw_read_lock
     0.00%     0.00%  iou-wrk-3166     [kernel.vmlinux]    [k] __enqueue_entity
     0.00%     0.00%  iou-wrk-3156     [kernel.vmlinux]    [k] unlock_page
     0.00%     0.00%  iou-wrk-3162     [kernel.vmlinux]    [k] try_to_wake_up
     0.00%     0.00%  iou-wrk-3162     [kernel.vmlinux]    [k] autoremove_wake_function
     0.00%     0.00%  iou-wrk-3177     [kernel.vmlinux]    [k] __mod_memcg_lruvec_state
     0.00%     0.00%  iou-wrk-3159     [kernel.vmlinux]    [k] task_tick_fair
     0.00%     0.00%  iou-wrk-3166     [kernel.vmlinux]    [k] autoremove_wake_function
     0.00%     0.00%  iou-wrk-3173     [kernel.vmlinux]    [k] blk_cgroup_bio_start
     0.00%     0.00%  iou-wrk-3173     [kernel.vmlinux]    [k] task_tick_fair
     0.00%     0.00%  iou-wrk-3138     [kernel.vmlinux]    [k] enqueue_task_fair
     0.00%     0.00%  iou-wrk-3149     [kernel.vmlinux]    [k] __enqueue_entity
     0.00%     0.00%  iou-wrk-3156     [kernel.vmlinux]    [k] ttwu_do_activate
     0.00%     0.00%  iou-wrk-3161     [kernel.vmlinux]    [k] xas_clear_mark
     0.00%     0.00%  iou-wrk-3143     [kernel.vmlinux]    [k] __enqueue_entity
     0.00%     0.00%  iou-wrk-3171     [kernel.vmlinux]    [k] down_read
     0.00%     0.00%  iou-wrk-3177     [kernel.vmlinux]    [k] up_read
     0.00%     0.00%  iou-wrk-3166     [kernel.vmlinux]    [k] rw_verify_area
     0.00%     0.00%  perf             [kernel.vmlinux]    [k] __sched_setaffinity
     0.00%     0.00%  iou-wrk-3161     [kernel.vmlinux]    [k] __enqueue_entity
