# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 32981024708691
#
# Children      Self  Command          Shared Object       Symbol                                               
# ........  ........  ...............  ..................  .....................................................
#
     1.09%     0.02%  iou-wrk-3160     [kernel.vmlinux]    [k] io_worker_handle_work
     1.09%     0.02%  iou-wrk-3163     [kernel.vmlinux]    [k] io_worker_handle_work
     1.09%     0.03%  iou-wrk-3170     [kernel.vmlinux]    [k] io_worker_handle_work
     1.08%     0.02%  iou-wrk-3172     [kernel.vmlinux]    [k] io_worker_handle_work
     1.07%     0.02%  iou-wrk-3168     [kernel.vmlinux]    [k] io_worker_handle_work
     1.07%     0.02%  iou-wrk-3149     [kernel.vmlinux]    [k] io_worker_handle_work
     1.07%     0.03%  iou-wrk-3152     [kernel.vmlinux]    [k] io_worker_handle_work
     1.07%     0.02%  iou-wrk-3157     [kernel.vmlinux]    [k] io_worker_handle_work
     1.07%     0.02%  iou-wrk-3164     [kernel.vmlinux]    [k] io_worker_handle_work
     1.05%     0.00%  kswapd0          [kernel.vmlinux]    [k] kswapd
     1.05%     0.00%  kswapd0          [kernel.vmlinux]    [k] kthread
     1.05%     0.00%  kswapd0          [kernel.vmlinux]    [k] ret_from_fork
     1.05%     0.00%  kswapd0          [kernel.vmlinux]    [k] balance_pgdat
     1.05%     0.00%  kswapd0          [kernel.vmlinux]    [k] shrink_node
     1.05%     0.00%  swapper          [kernel.vmlinux]    [k] schedule_idle
     1.05%     0.02%  iou-wrk-3177     [kernel.vmlinux]    [k] io_worker_handle_work
     1.05%     0.08%  swapper          [kernel.vmlinux]    [k] __schedule
     1.05%     0.02%  iou-wrk-3159     [kernel.vmlinux]    [k] io_worker_handle_work
     1.05%     0.02%  iou-wrk-3161     [kernel.vmlinux]    [k] io_worker_handle_work
     1.04%     0.06%  fio              [kernel.vmlinux]    [k] ttwu_do_wakeup
     1.03%     0.02%  iou-wrk-3145     [kernel.vmlinux]    [k] io_worker_handle_work
     1.03%     0.02%  iou-wrk-3140     [kernel.vmlinux]    [k] io_worker_handle_work
     1.03%     0.00%  kswapd0          [kernel.vmlinux]    [k] shrink_lruvec
     1.03%     0.00%  kswapd0          [kernel.vmlinux]    [k] lru_gen_shrink_lruvec
     1.03%     0.02%  iou-wrk-3142     [kernel.vmlinux]    [k] io_worker_handle_work
     1.03%     0.02%  iou-wrk-3166     [kernel.vmlinux]    [k] io_worker_handle_work
     1.02%     0.06%  kswapd0          [kernel.vmlinux]    [k] evict_pages
     1.02%     0.02%  iou-wrk-3148     [kernel.vmlinux]    [k] io_worker_handle_work
     1.02%     0.02%  iou-wrk-3158     [kernel.vmlinux]    [k] io_worker_handle_work
     1.01%     0.02%  iou-wrk-3156     [kernel.vmlinux]    [k] io_worker_handle_work
     1.01%     0.02%  iou-wrk-3176     [kernel.vmlinux]    [k] io_worker_handle_work
     1.01%     0.02%  iou-wrk-3143     [kernel.vmlinux]    [k] io_worker_handle_work
     1.00%     0.02%  iou-wrk-3155     [kernel.vmlinux]    [k] io_worker_handle_work
     0.99%     0.02%  iou-wrk-3165     [kernel.vmlinux]    [k] io_worker_handle_work
     0.99%     0.02%  iou-wrk-3150     [kernel.vmlinux]    [k] io_worker_handle_work
     0.99%     0.00%  iou-wrk-3175     [kernel.vmlinux]    [k] io_wq_submit_work
     0.98%     0.01%  iou-wrk-3175     [kernel.vmlinux]    [k] io_issue_sqe
     0.98%     0.02%  iou-wrk-3167     [kernel.vmlinux]    [k] io_worker_handle_work
     0.98%     0.02%  iou-wrk-3153     [kernel.vmlinux]    [k] io_worker_handle_work
     0.98%     0.01%  iou-wrk-3175     [kernel.vmlinux]    [k] io_read
     0.98%     0.12%  fio              [kernel.vmlinux]    [k] check_preempt_curr
