# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 889K of event 'cycles'
# Event count (approx.): 81621143610943
#
# Children      Self  Command          Shared Object               Symbol                                              
# ........  ........  ...............  ..........................  ....................................................
#
     1.72%     0.01%  iou-wrk-3239     [kernel.vmlinux]            [k] io_wqe_worker
     1.72%     0.00%  iou-wrk-3239     [kernel.vmlinux]            [k] ret_from_fork
     1.71%     0.01%  iou-wrk-3243     [kernel.vmlinux]            [k] io_wqe_worker
     1.71%     0.00%  iou-wrk-3243     [kernel.vmlinux]            [k] ret_from_fork
     1.71%     0.01%  iou-wrk-3232     [kernel.vmlinux]            [k] io_wqe_worker
     1.71%     0.00%  iou-wrk-3232     [kernel.vmlinux]            [k] ret_from_fork
     1.69%     0.01%  iou-wrk-3259     [kernel.vmlinux]            [k] io_wqe_worker
     1.69%     0.00%  iou-wrk-3259     [kernel.vmlinux]            [k] ret_from_fork
     1.69%     0.01%  iou-wrk-3242     [kernel.vmlinux]            [k] io_wqe_worker
     1.69%     0.00%  iou-wrk-3242     [kernel.vmlinux]            [k] ret_from_fork
     1.68%     0.01%  iou-wrk-3251     [kernel.vmlinux]            [k] io_wqe_worker
     1.68%     0.00%  iou-wrk-3251     [kernel.vmlinux]            [k] ret_from_fork
     1.68%     0.01%  iou-wrk-3250     [kernel.vmlinux]            [k] io_wqe_worker
     1.68%     0.00%  iou-wrk-3250     [kernel.vmlinux]            [k] ret_from_fork
     1.68%     0.42%  fio              [kernel.vmlinux]            [k] enqueue_entity
     1.33%     0.00%  swapper          [kernel.vmlinux]            [k] cpu_startup_entry
     1.33%     0.00%  swapper          [kernel.vmlinux]            [k] secondary_startup_64_no_verify
     1.33%     0.02%  swapper          [kernel.vmlinux]            [k] do_idle
     1.33%     0.02%  iou-wrk-3231     [kernel.vmlinux]            [k] io_worker_handle_work
     1.31%     0.02%  iou-wrk-3240     [kernel.vmlinux]            [k] io_worker_handle_work
     1.31%     0.02%  iou-wrk-3247     [kernel.vmlinux]            [k] io_worker_handle_work
     1.31%     0.02%  iou-wrk-3248     [kernel.vmlinux]            [k] io_worker_handle_work
     1.30%     0.02%  iou-wrk-3265     [kernel.vmlinux]            [k] io_worker_handle_work
     1.30%     0.00%  swapper          [kernel.vmlinux]            [k] start_secondary
     1.30%     0.02%  iou-wrk-3245     [kernel.vmlinux]            [k] io_worker_handle_work
     1.30%     0.02%  iou-wrk-3270     [kernel.vmlinux]            [k] io_worker_handle_work
     1.29%     0.02%  iou-wrk-3256     [kernel.vmlinux]            [k] io_worker_handle_work
     1.29%     0.02%  iou-wrk-3246     [kernel.vmlinux]            [k] io_worker_handle_work
