# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 65408539148108
#
# Children      Self  Command          Shared Object         Symbol                                     
# ........  ........  ...............  ....................  ...........................................
#
     0.88%     0.01%  iou-wrk-3284     [kernel.vmlinux]      [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3284     [kernel.vmlinux]      [k] ret_from_fork
     0.88%     0.01%  iou-wrk-3296     [kernel.vmlinux]      [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3296     [kernel.vmlinux]      [k] ret_from_fork
     0.88%     0.01%  iou-wrk-3305     [kernel.vmlinux]      [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3305     [kernel.vmlinux]      [k] ret_from_fork
     0.88%     0.01%  iou-wrk-3264     [kernel.vmlinux]      [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3264     [kernel.vmlinux]      [k] ret_from_fork
     0.88%     0.01%  iou-wrk-3280     [kernel.vmlinux]      [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3280     [kernel.vmlinux]      [k] ret_from_fork
     0.88%     0.01%  iou-wrk-3313     [kernel.vmlinux]      [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3313     [kernel.vmlinux]      [k] ret_from_fork
     0.88%     0.01%  iou-wrk-3271     [kernel.vmlinux]      [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3271     [kernel.vmlinux]      [k] ret_from_fork
     0.88%     0.01%  iou-wrk-3287     [kernel.vmlinux]      [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3287     [kernel.vmlinux]      [k] ret_from_fork
     0.88%     0.01%  iou-wrk-3339     [kernel.vmlinux]      [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3339     [kernel.vmlinux]      [k] ret_from_fork
     0.88%     0.01%  iou-wrk-3278     [kernel.vmlinux]      [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3278     [kernel.vmlinux]      [k] ret_from_fork
     0.88%     0.01%  iou-wrk-3319     [kernel.vmlinux]      [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3319     [kernel.vmlinux]      [k] ret_from_fork
     0.88%     0.01%  iou-wrk-3337     [kernel.vmlinux]      [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3337     [kernel.vmlinux]      [k] ret_from_fork
     0.88%     0.01%  iou-wrk-3291     [kernel.vmlinux]      [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3291     [kernel.vmlinux]      [k] ret_from_fork
     0.88%     0.00%  iou-wrk-3298     [kernel.vmlinux]      [k] io_wq_submit_work
     0.88%     0.01%  iou-wrk-3335     [kernel.vmlinux]      [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3335     [kernel.vmlinux]      [k] ret_from_fork
     0.88%     0.01%  iou-wrk-3289     [kernel.vmlinux]      [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3289     [kernel.vmlinux]      [k] ret_from_fork
     0.88%     0.01%  iou-wrk-3274     [kernel.vmlinux]      [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3274     [kernel.vmlinux]      [k] ret_from_fork
     0.88%     0.01%  iou-wrk-3302     [kernel.vmlinux]      [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3302     [kernel.vmlinux]      [k] ret_from_fork
