# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 40K of event 'cycles'
# Event count (approx.): 7894515641663
#
# Children      Self  Command          Shared Object     Symbol                                  
# ........  ........  ...............  ................  ........................................
#
     1.03%     0.00%  iou-wrk-3263     [kernel.vmlinux]  [k] io_wq_submit_work
     1.02%     0.02%  iou-wrk-3232     [kernel.vmlinux]  [k] io_worker_handle_work
     1.02%     0.01%  iou-wrk-3236     [kernel.vmlinux]  [k] io_read
     1.02%     0.00%  iou-wrk-3263     [kernel.vmlinux]  [k] io_read
     1.02%     0.00%  iou-wrk-3252     [kernel.vmlinux]  [k] io_wq_submit_work
     1.02%     0.00%  iou-wrk-3252     [kernel.vmlinux]  [k] io_issue_sqe
     1.02%     0.02%  iou-wrk-3233     [kernel.vmlinux]  [k] io_worker_handle_work
     1.01%     0.00%  iou-wrk-3252     [kernel.vmlinux]  [k] io_read
     1.01%     0.04%  iou-wrk-3248     [kernel.vmlinux]  [k] filemap_read
     1.01%     0.01%  iou-wrk-3234     [kernel.vmlinux]  [k] io_worker_handle_work
     1.00%     0.00%  iou-wrk-3259     [kernel.vmlinux]  [k] io_issue_sqe
     1.00%     0.00%  iou-wrk-3259     [kernel.vmlinux]  [k] io_wq_submit_work
     1.00%     0.03%  iou-wrk-3229     [kernel.vmlinux]  [k] io_worker_handle_work
     1.00%     0.02%  iou-wrk-3240     [kernel.vmlinux]  [k] io_worker_handle_work
     1.00%     0.00%  iou-wrk-3258     [kernel.vmlinux]  [k] io_issue_sqe
     1.00%     0.00%  iou-wrk-3258     [kernel.vmlinux]  [k] io_wq_submit_work
     1.00%     0.00%  iou-wrk-3259     [kernel.vmlinux]  [k] io_read
     1.00%     0.05%  iou-wrk-3251     [kernel.vmlinux]  [k] filemap_read
     1.00%     1.00%  fio              [kernel.vmlinux]  [k] native_queued_spin_lock_slowpath
     0.99%     0.02%  iou-wrk-3258     [kernel.vmlinux]  [k] io_read
     0.99%     0.00%  iou-wrk-3230     [kernel.vmlinux]  [k] io_wq_submit_work
     0.99%     0.00%  iou-wrk-3244     [kernel.vmlinux]  [k] io_wq_submit_work
     0.99%     0.01%  iou-wrk-3244     [kernel.vmlinux]  [k] io_read
     0.99%     0.00%  iou-wrk-3244     [kernel.vmlinux]  [k] io_issue_sqe
     0.99%     0.01%  iou-wrk-3230     [kernel.vmlinux]  [k] io_issue_sqe
